"Intervention.package","Sub.components","metric","Base","Pessimistic","Optimistic"
"Outpatient cardiometabolic and respiratory disease package",NA,"DALYs averted (millions)",42,30,53
"Outpatient cardiometabolic and respiratory disease package","Aspirin for suspected ACS","BCR",75,53,96
"Outpatient cardiometabolic and respiratory disease package","Aspirin for suspected ACS","DALYs averted (millions)",0.056,0.04,0.072
"Outpatient cardiometabolic and respiratory disease package","Asthma/COPD chronic treatment","BCR",1.4,0.99,1.8
"Outpatient cardiometabolic and respiratory disease package","Asthma/COPD chronic treatment","DALYs averted (millions)",0.56,0.4,0.72
"Outpatient cardiometabolic and respiratory disease package","CVD primary prevention","BCR",19,14,25
"Outpatient cardiometabolic and respiratory disease package","CVD primary prevention","DALYs averted (millions)",18,13,23
"Outpatient cardiometabolic and respiratory disease package","CVD secondary prevention","BCR",6.6,4.7,8.4
"Outpatient cardiometabolic and respiratory disease package","CVD secondary prevention","DALYs averted (millions)",12,8.9,16
"Outpatient cardiometabolic and respiratory disease package","Diabetes screening and treatment","BCR",0.61,0.43,0.78
"Outpatient cardiometabolic and respiratory disease package","Diabetes screening and treatment","DALYs averted (millions)",3.4,2.4,4.4
"Outpatient cardiometabolic and respiratory disease package","Heart failure chronic treatment","BCR",52,37,67
"Outpatient cardiometabolic and respiratory disease package","Heart failure chronic treatment","DALYs averted (millions)",7,5,9
"Outpatient cardiometabolic and respiratory disease package","Pulmonary rehabilitation","BCR",25,18,32
"Outpatient cardiometabolic and respiratory disease package","Pulmonary rehabilitation","DALYs averted (millions)",0.36,0.26,0.47
"Outpatient mental, neurological, and substance use disorder package",NA,"BCR",4.6,3.3,5.8
"Outpatient mental, neurological, and substance use disorder package",NA,"DALYs averted (millions)",4.5,3.2,5.7
"Outpatient mental, neurological, and substance use disorder package","Alcohol use screening/brief intervention","BCR",2.2,1.6,2.9
"Outpatient mental, neurological, and substance use disorder package","Alcohol use screening/brief intervention","DALYs averted (millions)",0.46,0.33,0.59
"Outpatient mental, neurological, and substance use disorder package","Bipolar disorder chronic treatment","BCR",0.61,0.43,0.78
"Outpatient mental, neurological, and substance use disorder package","Bipolar disorder chronic treatment","DALYs averted (millions)",0.26,0.19,0.34
"Outpatient mental, neurological, and substance use disorder package","Depression chronic treatment","BCR",13,9.2,17
"Outpatient mental, neurological, and substance use disorder package","Depression chronic treatment","DALYs averted (millions)",0.45,0.32,0.58
"Outpatient mental, neurological, and substance use disorder package","Epilepsy acute and chronic treatment","BCR",110,77,140
"Outpatient mental, neurological, and substance use disorder package","Epilepsy acute and chronic treatment","DALYs averted (millions)",2.7,1.9,3.4
"Outpatient mental, neurological, and substance use disorder package","IDU harm reduction measures","BCR",7.2,5.2,9.3
"Outpatient mental, neurological, and substance use disorder package","IDU harm reduction measures","DALYs averted (millions)",0.14,0.1,0.18
"Outpatient mental, neurological, and substance use disorder package","Schizophrenia chronic treatment","BCR",1.7,1.2,2.2
"Outpatient mental, neurological, and substance use disorder package","Schizophrenia chronic treatment","DALYs averted (millions)",0.47,0.34,0.61
"Referral hospital NCDs package",NA,"BCR",1.6,1.2,2.1
"Referral hospital NCDs package",NA,"DALYs averted (millions)",0.85,0.6,1.1
"Referral hospital NCDs package","Management of acute ventilatory failure","BCR",2.1,1.5,2.7
"Referral hospital NCDs package","Management of acute ventilatory failure","DALYs averted (millions)",0.073,0.052,0.094
"Referral hospital NCDs package","PCI for ACS","BCR",1.1,0.8,1.4
"Referral hospital NCDs package","PCI for ACS","DALYs averted (millions)",0.5,0.36,0.65
"Referral hospital NCDs package","Treatment of early-stage breast cancer","BCR",40,28,51
"Referral hospital NCDs package","Treatment of early-stage breast cancer","DALYs averted (millions)",0.16,0.12,0.21
"Referral hospital NCDs package","Treatment of early-stage colorectal cancer","BCR",3.3,2.4,4.3
"Referral hospital NCDs package","Treatment of early-stage colorectal cancer","DALYs averted (millions)",0.11,0.076,0.14
"Sodium regulations",NA,"BCR",24,10,44
"Sodium regulations",NA,"DALYs averted (millions)",0.61,0.44,0.79
"Tobacco regulations",NA,"BCR",42,18,76
"Tobacco regulations",NA,"DALYs averted (millions)",0.71,0.51,0.92
"Tobacco tax",NA,"BCR",620,270,1100
"Tobacco tax",NA,"DALYs averted (millions)",1.7,1.2,2.2
"Trans fat regulations",NA,"BCR",40,17,71
"Trans fat regulations",NA,"DALYs averted (millions)",0.91,0.65,1.2
