"Intervention.package","Sub.components","metric","Base","Pessimistic","Optimistic"
"Outpatient cardiometabolic and respiratory disease package","CVD secondary prevention","BCR",6.2,4.4,8
"Outpatient cardiometabolic and respiratory disease package","CVD secondary prevention","DALYs averted (millions)",9.1,6.5,12
"Outpatient cardiometabolic and respiratory disease package","Diabetes screening and treatment","BCR",0.57,0.41,0.73
"Outpatient cardiometabolic and respiratory disease package","Diabetes screening and treatment","DALYs averted (millions)",2.5,1.8,3.2
"Outpatient cardiometabolic and respiratory disease package","Heart failure chronic treatment","BCR",49,35,63
"Outpatient cardiometabolic and respiratory disease package","Heart failure chronic treatment","DALYs averted (millions)",5.1,3.7,6.6
"Outpatient cardiometabolic and respiratory disease package","Pulmonary rehabilitation","BCR",24,17,30
"Outpatient cardiometabolic and respiratory disease package","Pulmonary rehabilitation","DALYs averted (millions)",0.27,0.19,0.34
"Outpatient mental, neurological, and substance use disorder package",NA,"BCR",4.4,3.1,5.6
"Outpatient mental, neurological, and substance use disorder package",NA,"DALYs averted (millions)",3.4,2.4,4.3
"Outpatient mental, neurological, and substance use disorder package","Alcohol use screening/brief intervention","BCR",2.1,1.5,2.7
"Outpatient mental, neurological, and substance use disorder package","Alcohol use screening/brief intervention","DALYs averted (millions)",0.34,0.24,0.43
"Outpatient mental, neurological, and substance use disorder package","Bipolar disorder chronic treatment","BCR",0.59,0.42,0.76
"Outpatient mental, neurological, and substance use disorder package","Bipolar disorder chronic treatment","DALYs averted (millions)",0.2,0.14,0.26
"Outpatient mental, neurological, and substance use disorder package","Depression chronic treatment","BCR",12,8.7,16
"Outpatient mental, neurological, and substance use disorder package","Depression chronic treatment","DALYs averted (millions)",0.33,0.24,0.43
"Outpatient mental, neurological, and substance use disorder package","Epilepsy acute and chronic treatment","BCR",100,74,130
"Outpatient mental, neurological, and substance use disorder package","Epilepsy acute and chronic treatment","DALYs averted (millions)",2,1.5,2.6
"Outpatient mental, neurological, and substance use disorder package","IDU harm reduction measures","BCR",6.7,4.8,8.6
"Outpatient mental, neurological, and substance use disorder package","IDU harm reduction measures","DALYs averted (millions)",0.1,0.074,0.13
"Outpatient mental, neurological, and substance use disorder package","Schizophrenia chronic treatment","BCR",1.7,1.2,2.2
"Outpatient mental, neurological, and substance use disorder package","Schizophrenia chronic treatment","DALYs averted (millions)",0.36,0.26,0.47
"Referral hospital NCDs package",NA,"BCR",1.5,1.1,2
"Referral hospital NCDs package",NA,"DALYs averted (millions)",0.62,0.44,0.8
"Referral hospital NCDs package","Management of acute ventilatory failure","BCR",2,1.4,2.6
"Referral hospital NCDs package","Management of acute ventilatory failure","DALYs averted (millions)",0.054,0.038,0.069
"Referral hospital NCDs package","PCI for ACS","BCR",1.1,0.76,1.4
"Referral hospital NCDs package","PCI for ACS","DALYs averted (millions)",0.37,0.26,0.47
"Referral hospital NCDs package","Treatment of early-stage breast cancer","BCR",37,27,48
"Referral hospital NCDs package","Treatment of early-stage breast cancer","DALYs averted (millions)",0.12,0.086,0.15
"Referral hospital NCDs package","Treatment of early-stage colorectal cancer","BCR",3.1,2.2,4
"Referral hospital NCDs package","Treatment of early-stage colorectal cancer","DALYs averted (millions)",0.078,0.056,0.1
"Sodium regulations",NA,"BCR",23,9.7,41
"Sodium regulations",NA,"DALYs averted (millions)",0.45,0.32,0.58
"Tobacco regulations",NA,"BCR",39,17,69
"Tobacco regulations",NA,"DALYs averted (millions)",0.5,0.36,0.65
"Tobacco tax",NA,"BCR",560,240,1000
"Tobacco tax",NA,"DALYs averted (millions)",1.2,0.86,1.5
"Trans fat regulations",NA,"BCR",37,16,67
"Trans fat regulations",NA,"DALYs averted (millions)",0.67,0.48,0.86
