"WB_Region","Code","Intervention","Metric","Base","Pessimistic","Optimistic"
"LIC/LMC",3.1,"Medical management of ACS","BCR",6.95469643500688,4.97027469408699,8.93700445141799
"LIC/LMC",3.1,"Medical management of ACS","DALYS.avert",8835547.86743899,6309409.65414028,11363046.4329911
"LIC/LMC",4.1,"PCI for ACS","BCR",0.912798035626892,0.652015302932762,1.17356633981965
"LIC/LMC",4.1,"PCI for ACS","DALYS.avert",782457.1977096,558884.080870673,1006040.26224081
"LIC/LMC",1.2,"Pulmonary rehabilitation","BCR",20.5509007767015,14.6793974774316,26.4222265377529
"LIC/LMC",1.2,"Pulmonary rehabilitation","DALYS.avert",625190.178086533,446549.246078529,803842.004193427
"LIC/LMC",3.9,"Repair of gastrointestinal perforations","BCR",4.2854471444046,3.06095955195309,5.50988410835374
"LIC/LMC",3.9,"Repair of gastrointestinal perforations","DALYS.avert",87750.7190049781,62677.3893856705,112822.998674374
"LIC/LMC",3.8,"Repair of hernias","BCR",0.925126331278936,0.669718316818672,1.1734028679867
"LIC/LMC",3.8,"Repair of hernias","DALYS.avert",3709058.34545532,2683431.70823077,4707398.52713109
"LIC/LMC",5.5,"Salt regulations","BCR",34.7784012061983,24.2950973127381,45.4899614022687
"LIC/LMC",5.5,"Salt regulations","DALYS.avert",1998815.95329838,1427499.22245108,2570314.08660637
"LIC/LMC",2.12,"Schizophrenia chronic treatment","BCR",1.3492261038033,0.964094632303592,1.73406821448917
"LIC/LMC",2.12,"Schizophrenia chronic treatment","DALYS.avert",624885.61122675,446503.072980479,803143.183211098
"LIC/LMC",5.3,"Tobacco regulations","BCR",90.4731251139824,54.1292579946447,129.086671148996
"LIC/LMC",5.3,"Tobacco regulations","DALYS.avert",1344214.01152295,960110.467442869,1728351.48597474
"LIC/LMC",5.1,"Tobacco tax","BCR",100.555828638789,59.0913999264919,145.25158387492
"LIC/LMC",5.1,"Tobacco tax","DALYS.avert",6264484.05705724,4473436.31366197,8056490.17686267
"LIC/LMC",5.6,"Trans fat regulations","BCR",38.4751258121113,26.8174051765584,50.4130021427641
"LIC/LMC",5.6,"Trans fat regulations","DALYS.avert",1351388.19634951,965208.842653918,1737622.36405463
"LIC/LMC",4.3,"Treatment of early-stage breast cancer","BCR",37.107444411632,26.5053107449771,47.7096450452737
"LIC/LMC",4.3,"Treatment of early-stage breast cancer","DALYS.avert",436914.479944094,312079.108433857,561752.930141521
"LIC/LMC",4.4,"Treatment of early-stage colorectal cancer","BCR",2.86793807603288,2.0485163970079,3.68734573594415
"LIC/LMC",4.4,"Treatment of early-stage colorectal cancer","DALYS.avert",265653.08590657,189749.351555837,341556.429877225
"LMC",5.4,"Alcohol regulations","BCR",76.8265000487915,47.1187430757784,107.831046210755
"LMC",5.4,"Alcohol regulations","DALYS.avert",688760.985243721,491961.95187059,885568.164191467
"LMC",5.2,"Alcohol tax","BCR",55.1929857327248,35.253914742587,75.5178596265934
"LMC",5.2,"Alcohol tax","DALYS.avert",340657.268109847,243324.298621619,437992.939658264
"LMC",2.9,"Alcohol use screening/brief intervention","BCR",2.06867572724713,1.47762137930904,2.65973338753441
"LMC",2.9,"Alcohol use screening/brief intervention","DALYS.avert",1147400.53212386,819566.28577059,1475239.19704786
"LMC",2.5,"Aspirin for suspected ACS","BCR",68.9011296231508,49.214380646846,88.5891721535645
"LMC",2.5,"Aspirin for suspected ACS","DALYS.avert",86060.9485734256,61470.9209271598,110653.280768476
"LMC",3.4,"Asthma/COPD acute treatment","BCR",7.31115414410767,5.29645276503242,9.26645623409553
"LMC",3.4,"Asthma/COPD acute treatment","DALYS.avert",11136406.4815152,8058956.90921016,14130022.7313046
"LMC",2.14,"Asthma/COPD chronic treatment","BCR",1.28892288337897,0.920661313954626,1.65718276298651
"LMC",2.14,"Asthma/COPD chronic treatment","DALYS.avert",881057.613801022,629317.364487507,1132805.46635527
"LMC",2.11,"Bipolar disorder chronic treatment","BCR",0.933105272460522,0.667329945195256,1.19821965632709
"LMC",2.11,"Bipolar disorder chronic treatment","DALYS.avert",1030048.23847136,736598.189808788,1322818.72856874
"LMC",3.3,"Cervical cancer screening and treatment","BCR",3.8547181751605,2.75321925686079,4.95633787384125
"LMC",3.3,"Cervical cancer screening and treatment","DALYS.avert",2591237.7504409,1850727.91111752,3331872.6270079
"LMC",2.4,"CVD primary prevention","BCR",17.9414252814188,12.811366785143,23.0746459391993
"LMC",2.4,"CVD primary prevention","DALYS.avert",27457705.8748222,19594981.0521252,35334664.1046926
"LMC",2.6,"CVD secondary prevention","BCR",6.20177709798073,4.43507354518424,7.96428666830588
"LMC",2.6,"CVD secondary prevention","DALYS.avert",19081325.8713598,13620929.7334939,24548629.6667173
"LMC",2.1,"Depression chronic treatment","BCR",27.3980910827671,19.5775520898988,35.2126220256885
"LMC",2.1,"Depression chronic treatment","DALYS.avert",1562072.33131456,1116173.33881584,2007643.9345943
"LMC",2.3,"Diabetes screening and treatment","BCR",0.583349697284249,0.416692185223661,0.74999614252204
"LMC",2.3,"Diabetes screening and treatment","DALYS.avert",5428185.69218763,3876912.73054401,6979749.05001475
"LMC",2.13,"Epilepsy acute and chronic treatment","BCR",31.5799856004916,22.8914647573401,40.0010397297347
"LMC",2.13,"Epilepsy acute and chronic treatment","DALYS.avert",2781446.90409527,2014419.58830428,3526336.28095379
"LMC",3.2,"Heart failure acute treatment","BCR",13.1945074102495,9.70925324506135,16.4734992022284
"LMC",3.2,"Heart failure acute treatment","DALYS.avert",22700080.5673031,16639747.2657573,28446916.9586682
"LMC",2.7,"Heart failure chronic treatment","BCR",45.8255399711063,33.1313212702076,58.2131710277212
"LMC",2.7,"Heart failure chronic treatment","DALYS.avert",10705037.0832282,7727251.5992623,13620288.6651104
"LMC",1.1,"IDU harm reduction measures","BCR",32.6435463624013,23.3166598715414,41.9705595245245
"LMC",1.1,"IDU harm reduction measures","DALYS.avert",1731347.49915092,1236667.88916518,2226034.22673197
"LMC",4.2,"Management of acute ventilatory failure","BCR",1.96687891409529,1.40503980399964,2.52854332554665
"LMC",4.2,"Management of acute ventilatory failure","DALYS.avert",114660.274086112,81906.0734168895,147404.653760274
"LMC",3.7,"Management of appendicitis","BCR",8.42151943985427,6.06622391726671,10.7360960412867
"LMC",3.7,"Management of appendicitis","DALYS.avert",428737.985234094,308713.80667437,546781.734494988
"LMC",3.6,"Management of bowel obstruction","BCR",2.93608841833282,2.09720015990494,3.77498135753261
"LMC",3.6,"Management of bowel obstruction","DALYS.avert",1995618.82083811,1425414.41626258,2565845.30890009
"LMC",3.1,"Medical management of ACS","BCR",8.08191715908572,5.77599445205174,10.3852753561293
"LMC",3.1,"Medical management of ACS","DALYS.avert",7785801.47482485,5559817.33757135,10012964.2693725
"LMC",4.1,"PCI for ACS","BCR",1.09521791988053,0.782318535376609,1.40810001958332
"LMC",4.1,"PCI for ACS","DALYS.avert",782457.1977096,558884.080870673,1006040.26224081
"LMC",1.2,"Pulmonary rehabilitation","BCR",23.5140937523506,16.7959783079087,30.2320128877487
"LMC",1.2,"Pulmonary rehabilitation","DALYS.avert",577614.270409763,412566.978119774,742672.038144516
"LMC",3.9,"Repair of gastrointestinal perforations","BCR",4.43952995899156,3.17099785260125,5.70799751154562
"LMC",3.9,"Repair of gastrointestinal perforations","DALYS.avert",71033.3369281643,50736.4135639227,91329.2012415783
"LMC",3.8,"Repair of hernias","BCR",0.961526792326841,0.696274354840559,1.21920311997599
"LMC",3.8,"Repair of hernias","DALYS.avert",2984314.56538326,2159667.25771342,3786548.10034591
"LMC",5.5,"Salt regulations","BCR",43.6441843678023,30.3194907584702,57.33747138186
"LMC",5.5,"Salt regulations","DALYS.avert",1844177.26320142,1317057.73466218,2371466.40377393
"LMC",2.12,"Schizophrenia chronic treatment","BCR",1.45007609422495,1.03613845977198,1.86371787184409
"LMC",2.12,"Schizophrenia chronic treatment","DALYS.avert",520055.503744563,371591.667609304,668420.579354885
"LMC",5.3,"Tobacco regulations","BCR",92.7823081312069,55.2817233084985,132.753094274961
"LMC",5.3,"Tobacco regulations","DALYS.avert",1224092.20834061,874312.279192383,1573903.5870349
"LMC",5.1,"Tobacco tax","BCR",101.806277654936,59.6947836476546,147.283443207129
"LMC",5.1,"Tobacco tax","DALYS.avert",5754225.31248509,4109080.59374761,7400236.16084481
"LMC",5.6,"Trans fat regulations","BCR",46.2043168849778,32.0492620851659,60.7729695645622
"LMC",5.6,"Trans fat regulations","DALYS.avert",1238544.84783288,884609.583651265,1592532.41874715
"LMC",4.3,"Treatment of early-stage breast cancer","BCR",37.9032350071632,27.0737444224792,48.7327995710901
"LMC",4.3,"Treatment of early-stage breast cancer","DALYS.avert",350168.929441105,250118.648592772,450221.770825066
"LMC",4.4,"Treatment of early-stage colorectal cancer","BCR",3.16736685091922,2.26239726663384,4.07232631342038
"LMC",4.4,"Treatment of early-stage colorectal cancer","DALYS.avert",228163.981503386,162972.206098928,293355.946834217
