WB_region15,GBD_region,Country,iso3,LocID,X1.1,X1.2,X3.3,X3.1,X3.5,X3.4,X3.2,X3.6,X3.7,X3.8,X3.9,X2.8,X2.4,X2.14,X2.5,X2.2,X2.3,X2.1,X2.6,X2.7,X2.11,X2.10,X2.13,X2.12,X2.9,X4.2,X4.1,X4.3,X4.4,X5.1,X5.2,X5.3,X5.4,X5.5,X5.6,X5.7
HIC,North Africa and Middle East,Bahrain,BHR,48,0.103,0.420758088,0.63,0.93,0.93,0.93,0.93,0.736,0.736,0.736,0.736,0.63,0.420758088,0.420758088,0.420758088,0.420758088,0.420758088,0.420758088,0.420758088,0.420758088,0.224,0.224,0.9,0.7,0.103,0.93,0.93,0.63,0.63,0,0,0.5,0,1,0.75,0
LMIC,South Asia,Bangladesh,BGD,50,0.01,0.38397136,0.13,0.31,0.31,0.31,0.31,0.03,0.03,0.03,0.03,0.13,0.38397136,0.38397136,0.38397136,0.38397136,0.38397136,0.38397136,0.38397136,0.38397136,0.037,0.037,0.5,0.4,0.01,0.31,0.31,0.13,0.13,1,0.5,0.666666667,1,0,0.25,0
HIC,Caribbean,Barbados,BRB,52,0.103,0.604597772,0.63,0.93,0.93,0.93,0.93,0.736,0.736,0.736,0.736,0.63,0.604597772,0.604597772,0.604597772,0.604597772,0.604597772,0.604597772,0.604597772,0.604597772,0.224,0.224,0.9,0.7,0.103,0.93,0.93,0.63,0.63,0,0.5,0.333333333,0,0,0.25,0
UMIC,Eastern Europe,Belarus,BLR,112,0.043,0.476519681,0.46,0.62,0.62,0.62,0.62,0.317,0.317,0.317,0.317,0.46,0.476519681,0.476519681,0.476519681,0.476519681,0.476519681,0.476519681,0.476519681,0.476519681,0.114,0.114,0.7,0.55,0.043,0.62,0.62,0.46,0.46,0,1,0.166666667,0.5,0.75,0.75,0
HIC,Western Europe,Belgium,BEL,56,0.103,0.59343339,0.63,0.93,0.93,0.93,0.93,0.736,0.736,0.736,0.736,0.63,0.59343339,0.59343339,0.59343339,0.59343339,0.59343339,0.59343339,0.59343339,0.59343339,0.224,0.224,0.9,0.7,0.103,0.93,0.93,0.63,0.63,1,1,0.5,0,1,0.5,0
UMIC,Caribbean,Belize,BLZ,84,0.043,0.452403605,0.46,0.62,0.62,0.62,0.62,0.317,0.317,0.317,0.317,0.46,0.452403605,0.452403605,0.452403605,0.452403605,0.452403605,0.452403605,0.452403605,0.452403605,0.114,0.114,0.7,0.55,0.043,0.62,0.62,0.46,0.46,0,0.5,0,0,0,0.25,0
LIC,Western Sub‐Saharan Africa,Benin,BEN,204,0.01,0.249292111,0.06,0.04,0.04,0.04,0.04,0.01,0.01,0.01,0.01,0.06,0.249292111,0.249292111,0.249292111,0.249292111,0.249292111,0.249292111,0.249292111,0.249292111,0.037,0.037,0.03,0.25,0.01,0.04,0.04,0.06,0.06,0,0.5,0.333333333,0,0,0.25,0
HIC,Caribbean,Bermuda,BMU,60,0.103,0.491180417,0.63,0.93,0.93,0.93,0.93,0.736,0.736,0.736,0.736,0.63,0.491180417,0.491180417,0.491180417,0.491180417,0.491180417,0.491180417,0.491180417,0.491180417,0.224,0.224,0.9,0.7,0.103,0.93,0.93,0.63,0.63,0,0,0,0,0,0,0
LMIC,South Asia,Bhutan,BTN,64,0.01,0.257816376,0.13,0.31,0.31,0.31,0.31,0.03,0.03,0.03,0.03,0.13,0.257816376,0.257816376,0.257816376,0.257816376,0.257816376,0.257816376,0.257816376,0.257816376,0.037,0.037,0.5,0.4,0.01,0.31,0.31,0.13,0.13,0,0.5,0.333333333,1,0,0.25,0
LMIC,Andean Latin America,Bolivia,BOL,68,0.01,0.493237315,0.13,0.31,0.31,0.31,0.31,0.03,0.03,0.03,0.03,0.13,0.493237315,0.493237315,0.493237315,0.493237315,0.493237315,0.493237315,0.493237315,0.493237315,0.037,0.037,0.5,0.4,0.01,0.31,0.31,0.13,0.13,0,0,0.333333333,0,0.25,0.5,0
UMIC,Central Europe,Bosnia and Herzegovina,BIH,70,0.043,0.491463222,0.46,0.62,0.62,0.62,0.62,0.317,0.317,0.317,0.317,0.46,0.491463222,0.491463222,0.491463222,0.491463222,0.491463222,0.491463222,0.491463222,0.491463222,0.114,0.114,0.7,0.55,0.043,0.62,0.62,0.46,0.46,1,0.5,0.166666667,1,0.5,0.25,0
UMIC,Southern Sub‐Saharan Africa,Botswana,BWA,72,0.043,0.414485475,0.46,0.62,0.62,0.62,0.62,0.317,0.317,0.317,0.317,0.46,0.414485475,0.414485475,0.414485475,0.414485475,0.414485475,0.414485475,0.414485475,0.414485475,0.114,0.114,0.7,0.55,0.043,0.62,0.62,0.46,0.46,0,0.5,0.166666667,0,0,0.25,0
UMIC,Tropical Latin America,Brazil,BRA,76,0.043,0.619199486,0.46,0.62,0.62,0.62,0.62,0.317,0.317,0.317,0.317,0.46,0.619199486,0.619199486,0.619199486,0.619199486,0.619199486,0.619199486,0.619199486,0.619199486,0.114,0.114,0.7,0.55,0.043,0.62,0.62,0.46,0.46,0.5,0.5,0.833333333,0,0.75,0.5,0
HIC,High‐income Asia Pacific,Brunei,BRN,96,0.103,0.566652233,0.63,0.93,0.93,0.93,0.93,0.736,0.736,0.736,0.736,0.63,0.566652233,0.566652233,0.566652233,0.566652233,0.566652233,0.566652233,0.566652233,0.566652233,0.224,0.224,0.9,0.7,0.103,0.93,0.93,0.63,0.63,0,1,0.5,1,0,0.5,0
UMIC,Central Europe,Bulgaria,BGR,100,0.043,0.522545687,0.46,0.62,0.62,0.62,0.62,0.317,0.317,0.317,0.317,0.46,0.522545687,0.522545687,0.522545687,0.522545687,0.522545687,0.522545687,0.522545687,0.522545687,0.114,0.114,0.7,0.55,0.043,0.62,0.62,0.46,0.46,1,0,0.5,1,1,0.5,0
LIC,Western Sub‐Saharan Africa,Burkina Faso,BFA,854,0.01,0.208360882,0.06,0.04,0.04,0.04,0.04,0.01,0.01,0.01,0.01,0.06,0.208360882,0.208360882,0.208360882,0.208360882,0.208360882,0.208360882,0.208360882,0.208360882,0.037,0.037,0.03,0.25,0.01,0.04,0.04,0.06,0.06,0,0,0.5,0,0,0,0
LIC,Eastern Sub‐Saharan Africa,Burundi,BDI,108,0.01,0.251508267,0.06,0.04,0.04,0.04,0.04,0.01,0.01,0.01,0.01,0.06,0.251508267,0.251508267,0.251508267,0.251508267,0.251508267,0.251508267,0.251508267,0.251508267,0.037,0.037,0.03,0.25,0.01,0.04,0.04,0.06,0.06,0,0.5,0,0,0,0,0
LMIC,Southeast Asia,Cambodia,KHM,132,0.01,0.367640734,0.13,0.31,0.31,0.31,0.31,0.03,0.03,0.03,0.03,0.13,0.367640734,0.367640734,0.367640734,0.367640734,0.367640734,0.367640734,0.367640734,0.367640734,0.037,0.037,0.5,0.4,0.01,0.31,0.31,0.13,0.13,0,0.5,0.833333333,0,0,0.25,0
LMIC,Western Sub‐Saharan Africa,Cameroon,CMR,116,0.01,0.192841716,0.13,0.31,0.31,0.31,0.31,0.03,0.03,0.03,0.03,0.13,0.192841716,0.192841716,0.192841716,0.192841716,0.192841716,0.192841716,0.192841716,0.192841716,0.037,0.037,0.5,0.4,0.01,0.31,0.31,0.13,0.13,0,0.5,0.666666667,0,0,0,0
HIC,High‐income North America,Canada,CAN,120,0.103,0.733415578,0.63,0.93,0.93,0.93,0.93,0.736,0.736,0.736,0.736,0.63,0.733415578,0.733415578,0.733415578,0.733415578,0.733415578,0.733415578,0.733415578,0.733415578,0.224,0.224,0.9,0.7,0.103,0.93,0.93,0.63,0.63,0.5,0.5,0.5,0,0.5,1,0
LMIC,Western Sub‐Saharan Africa,Cape Verde,CPV,124,0.01,0.360493825,0.13,0.31,0.31,0.31,0.31,0.03,0.03,0.03,0.03,0.13,0.360493825,0.360493825,0.360493825,0.360493825,0.360493825,0.360493825,0.360493825,0.360493825,0.037,0.037,0.5,0.4,0.01,0.31,0.31,0.13,0.13,0,0.5,0.166666667,0.5,0,0.25,0
LIC,Central Sub‐Saharan Africa,Central African Republic,CAF,140,0.01,0.178447611,0.06,0.04,0.04,0.04,0.04,0.01,0.01,0.01,0.01,0.06,0.178447611,0.178447611,0.178447611,0.178447611,0.178447611,0.178447611,0.178447611,0.178447611,0.037,0.037,0.03,0.25,0.01,0.04,0.04,0.06,0.06,0,0.5,0,0,0,0,0
LIC,Western Sub‐Saharan Africa,Chad,TCD,148,0.01,0.244786763,0.06,0.04,0.04,0.04,0.04,0.01,0.01,0.01,0.01,0.06,0.244786763,0.244786763,0.244786763,0.244786763,0.244786763,0.244786763,0.244786763,0.244786763,0.037,0.037,0.03,0.25,0.01,0.04,0.04,0.06,0.06,0,0.5,0.666666667,0,0,0.25,0
HIC,Southern Latin America,Chile,CHL,152,0.103,0.584815852,0.63,0.93,0.93,0.93,0.93,0.736,0.736,0.736,0.736,0.63,0.584815852,0.584815852,0.584815852,0.584815852,0.584815852,0.584815852,0.584815852,0.584815852,0.224,0.224,0.9,0.7,0.103,0.93,0.93,0.63,0.63,1,0.5,0.5,0,1,1,0
UMIC,East Asia,China,CHN,156,0.043,0.392473157,0.46,0.62,0.62,0.62,0.62,0.317,0.317,0.317,0.317,0.46,0.392473157,0.392473157,0.392473157,0.392473157,0.392473157,0.392473157,0.392473157,0.392473157,0.114,0.114,0.7,0.55,0.043,0.62,0.62,0.46,0.46,0.5,0.5,0.5,1,0.75,0.5,0
UMIC,Central Latin America,Colombia,COL,170,0.043,0.552505507,0.46,0.62,0.62,0.62,0.62,0.317,0.317,0.317,0.317,0.46,0.552505507,0.552505507,0.552505507,0.552505507,0.552505507,0.552505507,0.552505507,0.552505507,0.114,0.114,0.7,0.55,0.043,0.62,0.62,0.46,0.46,0,1,1,0,0.25,0.75,0
LIC,Eastern Sub‐Saharan Africa,Comoros,COM,174,0.01,0.248038823,0.06,0.04,0.04,0.04,0.04,0.01,0.01,0.01,0.01,0.06,0.248038823,0.248038823,0.248038823,0.248038823,0.248038823,0.248038823,0.248038823,0.248038823,0.037,0.037,0.03,0.25,0.01,0.04,0.04,0.06,0.06,0,0.5,0.166666667,1,0,0,0
LMIC,Central Sub‐Saharan Africa,Congo,COG,178,0.01,0.238299211,0.13,0.31,0.31,0.31,0.31,0.03,0.03,0.03,0.03,0.13,0.238299211,0.238299211,0.238299211,0.238299211,0.238299211,0.238299211,0.238299211,0.238299211,0.037,0.037,0.5,0.4,0.01,0.31,0.31,0.13,0.13,0,0.5,0.5,0,0,0,0
UMIC,Central Latin America,Costa Rica,CRI,188,0.043,0.701950505,0.46,0.62,0.62,0.62,0.62,0.317,0.317,0.317,0.317,0.46,0.701950505,0.701950505,0.701950505,0.701950505,0.701950505,0.701950505,0.701950505,0.701950505,0.114,0.114,0.7,0.55,0.043,0.62,0.62,0.46,0.46,0.5,1,0.833333333,1,0.75,0.25,0
LMIC,Western Sub‐Saharan Africa,Cote d'Ivoire,CIV,384,0.01,0.232958409,0.13,0.31,0.31,0.31,0.31,0.03,0.03,0.03,0.03,0.13,0.232958409,0.232958409,0.232958409,0.232958409,0.232958409,0.232958409,0.232958409,0.232958409,0.037,0.037,0.5,0.4,0.01,0.31,0.31,0.13,0.13,0,0.5,0.166666667,0,0,0.25,0
HIC,Central Europe,Croatia,HRV,191,0.103,0.539952004,0.63,0.93,0.93,0.93,0.93,0.736,0.736,0.736,0.736,0.63,0.539952004,0.539952004,0.539952004,0.539952004,0.539952004,0.539952004,0.539952004,0.539952004,0.224,0.224,0.9,0.7,0.103,0.93,0.93,0.63,0.63,1,0.5,0.333333333,0,1,0,0
UMIC,Caribbean,Cuba,CUB,192,0.043,0.605857429,0.46,0.62,0.62,0.62,0.62,0.317,0.317,0.317,0.317,0.46,0.605857429,0.605857429,0.605857429,0.605857429,0.605857429,0.605857429,0.605857429,0.605857429,0.114,0.114,0.7,0.55,0.043,0.62,0.62,0.46,0.46,0.5,0,0.166666667,0,0,0,0
HIC,Western Europe,Cyprus,CYP,196,0.103,0.548930178,0.63,0.93,0.93,0.93,0.93,0.736,0.736,0.736,0.736,0.63,0.548930178,0.548930178,0.548930178,0.548930178,0.548930178,0.548930178,0.548930178,0.548930178,0.224,0.224,0.9,0.7,0.103,0.93,0.93,0.63,0.63,1,0.5,0.5,0,0,0,0
HIC,Central Europe,Czech Republic,CZE,203,0.103,0.627302005,0.63,0.93,0.93,0.93,0.93,0.736,0.736,0.736,0.736,0.63,0.627302005,0.627302005,0.627302005,0.627302005,0.627302005,0.627302005,0.627302005,0.627302005,0.224,0.224,0.9,0.7,0.103,0.93,0.93,0.63,0.63,1,0.5,0.333333333,1,0.5,0.25,0
LIC,Central Sub‐Saharan Africa,Democratic Republic of the Congo,COD,180,0.01,0.25941554,0.06,0.04,0.04,0.04,0.04,0.01,0.01,0.01,0.01,0.06,0.25941554,0.25941554,0.25941554,0.25941554,0.25941554,0.25941554,0.25941554,0.25941554,0.037,0.037,0.03,0.25,0.01,0.04,0.04,0.06,0.06,0,1,0.333333333,0,0,0,0
HIC,Western Europe,Denmark,DNK,208,0.103,0.258790735,0.63,0.93,0.93,0.93,0.93,0.736,0.736,0.736,0.736,0.63,0.258790735,0.258790735,0.258790735,0.258790735,0.258790735,0.258790735,0.258790735,0.258790735,0.224,0.224,0.9,0.7,0.103,0.93,0.93,0.63,0.63,0.5,0.5,0.5,0,1,1,0
LMIC,Eastern Sub‐Saharan Africa,Djibouti,DJI,262,0.01,0.24575086,0.13,0.31,0.31,0.31,0.31,0.03,0.03,0.03,0.03,0.13,0.24575086,0.24575086,0.24575086,0.24575086,0.24575086,0.24575086,0.24575086,0.24575086,0.037,0.037,0.5,0.4,0.01,0.31,0.31,0.13,0.13,0,1,0.5,1,0,0,0
UMIC,Caribbean,Dominica,DMA,212,0.043,0.455701068,0.46,0.62,0.62,0.62,0.62,0.317,0.317,0.317,0.317,0.46,0.455701068,0.455701068,0.455701068,0.455701068,0.455701068,0.455701068,0.455701068,0.455701068,0.114,0.114,0.7,0.55,0.043,0.62,0.62,0.46,0.46,0,0.5,0,0,0,0,0
UMIC,Caribbean,Dominican Republic,DOM,214,0.043,0.534229259,0.46,0.62,0.62,0.62,0.62,0.317,0.317,0.317,0.317,0.46,0.534229259,0.534229259,0.534229259,0.534229259,0.534229259,0.534229259,0.534229259,0.534229259,0.114,0.114,0.7,0.55,0.043,0.62,0.62,0.46,0.46,0.5,1,0.166666667,0,0,0.25,0
UMIC,Andean Latin America,Ecuador,ECU,218,0.043,0.494423771,0.46,0.62,0.62,0.62,0.62,0.317,0.317,0.317,0.317,0.46,0.494423771,0.494423771,0.494423771,0.494423771,0.494423771,0.494423771,0.494423771,0.494423771,0.114,0.114,0.7,0.55,0.043,0.62,0.62,0.46,0.46,0.5,0.5,0.5,0.5,1,0.75,0
LMIC,North Africa and Middle East,Egypt,EGY,818,0.01,0.442248242,0.13,0.31,0.31,0.31,0.31,0.03,0.03,0.03,0.03,0.13,0.442248242,0.442248242,0.442248242,0.442248242,0.442248242,0.442248242,0.442248242,0.442248242,0.037,0.037,0.5,0.4,0.01,0.31,0.31,0.13,0.13,0.5,0.5,0.333333333,1,0.5,0.25,0
LMIC,Central Latin America,El Salvador,SLV,222,0.01,0.626326949,0.13,0.31,0.31,0.31,0.31,0.03,0.03,0.03,0.03,0.13,0.626326949,0.626326949,0.626326949,0.626326949,0.626326949,0.626326949,0.626326949,0.626326949,0.037,0.037,0.5,0.4,0.01,0.31,0.31,0.13,0.13,0.5,0.5,0.833333333,0,0,0.5,0
UMIC,Central Sub‐Saharan Africa,Equatorial Guinea,GNQ,226,0.043,0.260201138,0.46,0.62,0.62,0.62,0.62,0.317,0.317,0.317,0.317,0.46,0.260201138,0.260201138,0.260201138,0.260201138,0.260201138,0.260201138,0.260201138,0.260201138,0.114,0.114,0.7,0.55,0.043,0.62,0.62,0.46,0.46,0.5,0,0,0,0,0,0
LIC,Eastern Sub‐Saharan Africa,Eritrea,ERI,232,0.01,0.242723695,0.06,0.04,0.04,0.04,0.04,0.01,0.01,0.01,0.01,0.06,0.242723695,0.242723695,0.242723695,0.242723695,0.242723695,0.242723695,0.242723695,0.242723695,0.037,0.037,0.03,0.25,0.01,0.04,0.04,0.06,0.06,0.5,0,0.333333333,0,0,0,0
HIC,Eastern Europe,Estonia,EST,233,0.103,0.385820718,0.63,0.93,0.93,0.93,0.93,0.736,0.736,0.736,0.736,0.63,0.385820718,0.385820718,0.385820718,0.385820718,0.385820718,0.385820718,0.385820718,0.385820718,0.224,0.224,0.9,0.7,0.103,0.93,0.93,0.63,0.63,1,0.5,0.5,0.5,0.75,0,0
LIC,Eastern Sub‐Saharan Africa,Ethiopia,ETH,231,0.01,0.156010228,0.06,0.04,0.04,0.04,0.04,0.01,0.01,0.01,0.01,0.06,0.156010228,0.156010228,0.156010228,0.156010228,0.156010228,0.156010228,0.156010228,0.156010228,0.037,0.037,0.03,0.25,0.01,0.04,0.04,0.06,0.06,0,0.5,0.5,0.5,0,0.5,0
LMIC,Oceania,Federated States of Micronesia,FSM,583,0.01,0.277740582,0.13,0.31,0.31,0.31,0.31,0.03,0.03,0.03,0.03,0.13,0.277740582,0.277740582,0.277740582,0.277740582,0.277740582,0.277740582,0.277740582,0.277740582,0.037,0.037,0.5,0.4,0.01,0.31,0.31,0.13,0.13,0.5,0,0,0,0,0,0
UMIC,Oceania,Fiji,FJI,242,0.043,0.347917702,0.46,0.62,0.62,0.62,0.62,0.317,0.317,0.317,0.317,0.46,0.347917702,0.347917702,0.347917702,0.347917702,0.347917702,0.347917702,0.347917702,0.347917702,0.114,0.114,0.7,0.55,0.043,0.62,0.62,0.46,0.46,0,0,0.666666667,0,0.75,0.25,0
HIC,Western Europe,Finland,FIN,246,0.103,0.508200019,0.63,0.93,0.93,0.93,0.93,0.736,0.736,0.736,0.736,0.63,0.508200019,0.508200019,0.508200019,0.508200019,0.508200019,0.508200019,0.508200019,0.508200019,0.224,0.224,0.9,0.7,0.103,0.93,0.93,0.63,0.63,1,0.5,0.166666667,1,1,0.25,0
HIC,Western Europe,France,FRA,250,0.103,0.522899418,0.63,0.93,0.93,0.93,0.93,0.736,0.736,0.736,0.736,0.63,0.522899418,0.522899418,0.522899418,0.522899418,0.522899418,0.522899418,0.522899418,0.522899418,0.224,0.224,0.9,0.7,0.103,0.93,0.93,0.63,0.63,1,0.5,0.333333333,1,0.75,0.5,0
UMIC,Central Sub‐Saharan Africa,Gabon,GAB,266,0.043,0.290322137,0.46,0.62,0.62,0.62,0.62,0.317,0.317,0.317,0.317,0.46,0.290322137,0.290322137,0.290322137,0.290322137,0.290322137,0.290322137,0.290322137,0.290322137,0.114,0.114,0.7,0.55,0.043,0.62,0.62,0.46,0.46,0,0.5,0.333333333,0,0,0,0
UMIC,Central Asia,Georgia,GEO,268,0.043,0.477434364,0.46,0.62,0.62,0.62,0.62,0.317,0.317,0.317,0.317,0.46,0.477434364,0.477434364,0.477434364,0.477434364,0.477434364,0.477434364,0.477434364,0.477434364,0.114,0.114,0.7,0.55,0.043,0.62,0.62,0.46,0.46,0.5,0.5,0.333333333,1,0.5,0.75,0
HIC,Western Europe,Germany,DEU,276,0.103,0.625965761,0.63,0.93,0.93,0.93,0.93,0.736,0.736,0.736,0.736,0.63,0.625965761,0.625965761,0.625965761,0.625965761,0.625965761,0.625965761,0.625965761,0.625965761,0.224,0.224,0.9,0.7,0.103,0.93,0.93,0.63,0.63,0.5,0,0.333333333,0,1,0.5,0
LMIC,Western Sub‐Saharan Africa,Ghana,GHA,288,0.01,0.368843329,0.13,0.31,0.31,0.31,0.31,0.03,0.03,0.03,0.03,0.13,0.368843329,0.368843329,0.368843329,0.368843329,0.368843329,0.368843329,0.368843329,0.368843329,0.037,0.037,0.5,0.4,0.01,0.31,0.31,0.13,0.13,0,1,0.5,1,0,0.25,0
HIC,Western Europe,Greece,GRC,300,0.103,0.602572292,0.63,0.93,0.93,0.93,0.93,0.736,0.736,0.736,0.736,0.63,0.602572292,0.602572292,0.602572292,0.602572292,0.602572292,0.602572292,0.602572292,0.602572292,0.224,0.224,0.9,0.7,0.103,0.93,0.93,0.63,0.63,1,0.5,0.5,0,0.75,0.5,0
HIC,Western Europe,Greenland,GRL,304,0.103,0.491180417,0.63,0.93,0.93,0.93,0.93,0.736,0.736,0.736,0.736,0.63,0.491180417,0.491180417,0.491180417,0.491180417,0.491180417,0.491180417,0.491180417,0.491180417,0.224,0.224,0.9,0.7,0.103,0.93,0.93,0.63,0.63,0,0,0,0,0,0,0
UMIC,Caribbean,Grenada,GRD,308,0.043,0.471616671,0.46,0.62,0.62,0.62,0.62,0.317,0.317,0.317,0.317,0.46,0.471616671,0.471616671,0.471616671,0.471616671,0.471616671,0.471616671,0.471616671,0.471616671,0.114,0.114,0.7,0.55,0.043,0.62,0.62,0.46,0.46,0,0.5,0,0,0,0.25,0
HIC,Oceania,Guam,GUM,316,0.103,0.62,0.63,0.93,0.93,0.93,0.93,0.736,0.736,0.736,0.736,0.63,0.301989708,0.444364708,0.244826472,0.244826472,0.529576472,0.1305,0.1305,0.7,0.224,0.224,0.9,0.7,0.103,0.93,0.93,0.63,0.63,0,0,0,0,0,0,0
LMIC,Central Latin America,Guatemala,GTM,320,0.01,0.359152944,0.13,0.31,0.31,0.31,0.31,0.03,0.03,0.03,0.03,0.13,0.359152944,0.359152944,0.359152944,0.359152944,0.359152944,0.359152944,0.359152944,0.359152944,0.037,0.037,0.5,0.4,0.01,0.31,0.31,0.13,0.13,0,0.5,0.333333333,0,0.75,0.25,0
LIC,Western Sub‐Saharan Africa,Guinea,GIN,324,0.01,0.226133808,0.06,0.04,0.04,0.04,0.04,0.01,0.01,0.01,0.01,0.06,0.226133808,0.226133808,0.226133808,0.226133808,0.226133808,0.226133808,0.226133808,0.226133808,0.037,0.037,0.03,0.25,0.01,0.04,0.04,0.06,0.06,0,0,0.5,0,0,0,0
LIC,Western Sub‐Saharan Africa,Guinea-Bissau,GNB,624,0.01,0.266915205,0.06,0.04,0.04,0.04,0.04,0.01,0.01,0.01,0.01,0.06,0.266915205,0.266915205,0.266915205,0.266915205,0.266915205,0.266915205,0.266915205,0.266915205,0.037,0.037,0.03,0.25,0.01,0.04,0.04,0.06,0.06,0,0,0,0,0,0,0
UMIC,Caribbean,Guyana,GUY,328,0.043,0.471264583,0.46,0.62,0.62,0.62,0.62,0.317,0.317,0.317,0.317,0.46,0.471264583,0.471264583,0.471264583,0.471264583,0.471264583,0.471264583,0.471264583,0.471264583,0.114,0.114,0.7,0.55,0.043,0.62,0.62,0.46,0.46,0,0.5,0.166666667,0,0,0.25,0
LIC,Caribbean,Haiti,HTI,332,0.01,0.282413114,0.06,0.04,0.04,0.04,0.04,0.01,0.01,0.01,0.01,0.06,0.282413114,0.282413114,0.282413114,0.282413114,0.282413114,0.282413114,0.282413114,0.282413114,0.037,0.037,0.03,0.25,0.01,0.04,0.04,0.06,0.06,0,0,0,0,0,0,0
