measure,location,sex,age,cause,rei,metric,year,val,upper,lower
Prevalence,Oman,Male,85 plus,Heart failure due to myocarditis,Heart failure,Rate,2010,63.20600382,98.92483158,36.34832202
Prevalence,Oman,Female,85 plus,Heart failure due to myocarditis,Heart failure,Rate,2010,52.58895497,85.40368846,29.06311439
Prevalence,Pakistan,Male,1 to 4,Heart failure due to ischemic heart disease,Heart failure,Rate,2010,0,0,0
Prevalence,Pakistan,Female,1 to 4,Heart failure due to ischemic heart disease,Heart failure,Rate,2010,0,0,0
Prevalence,Pakistan,Male,5 to 9,Heart failure due to ischemic heart disease,Heart failure,Rate,2010,0,0,0
Prevalence,Pakistan,Female,5 to 9,Heart failure due to ischemic heart disease,Heart failure,Rate,2010,0,0,0
Prevalence,Pakistan,Male,10 to 14,Heart failure due to ischemic heart disease,Heart failure,Rate,2010,0,0,0
Prevalence,Pakistan,Female,10 to 14,Heart failure due to ischemic heart disease,Heart failure,Rate,2010,0,0,0
Prevalence,Pakistan,Male,15 to 19,Heart failure due to ischemic heart disease,Heart failure,Rate,2010,0.120189455,0.245447648,0.044974602
Prevalence,Pakistan,Female,15 to 19,Heart failure due to ischemic heart disease,Heart failure,Rate,2010,0.11626343,0.248861808,0.042609762
Prevalence,Pakistan,Male,20 to 24,Heart failure due to ischemic heart disease,Heart failure,Rate,2010,1.282200078,2.382446615,0.578232605
Prevalence,Pakistan,Female,20 to 24,Heart failure due to ischemic heart disease,Heart failure,Rate,2010,0.693200254,1.288610845,0.308191635
Prevalence,Pakistan,Male,25 to 29,Heart failure due to ischemic heart disease,Heart failure,Rate,2010,4.132357811,7.921197202,1.602662259
Prevalence,Pakistan,Female,25 to 29,Heart failure due to ischemic heart disease,Heart failure,Rate,2010,2.064094059,4.233911859,0.734917168
Prevalence,Pakistan,Male,30 to 34,Heart failure due to ischemic heart disease,Heart failure,Rate,2010,7.779734179,14.36317225,3.532717808
Prevalence,Pakistan,Female,30 to 34,Heart failure due to ischemic heart disease,Heart failure,Rate,2010,3.9146419,7.299598738,1.714228513
Prevalence,Pakistan,Male,35 to 39,Heart failure due to ischemic heart disease,Heart failure,Rate,2010,13.99830679,26.48513464,6.26725047
Prevalence,Pakistan,Female,35 to 39,Heart failure due to ischemic heart disease,Heart failure,Rate,2010,7.299908872,14.48464934,3.177291595
Prevalence,Pakistan,Male,40 to 44,Heart failure due to ischemic heart disease,Heart failure,Rate,2010,29.78587385,57.72787635,14.29341093
Prevalence,Pakistan,Female,40 to 44,Heart failure due to ischemic heart disease,Heart failure,Rate,2010,16.12385974,32.05638772,7.497017429
Prevalence,Pakistan,Male,45 to 49,Heart failure due to ischemic heart disease,Heart failure,Rate,2010,69.15453549,117.0623066,36.51675663
Prevalence,Pakistan,Female,45 to 49,Heart failure due to ischemic heart disease,Heart failure,Rate,2010,39.67551922,73.62445478,19.51139205
Prevalence,Pakistan,Male,50 to 54,Heart failure due to ischemic heart disease,Heart failure,Rate,2010,118.246062,196.6084176,63.13696794
Prevalence,Pakistan,Female,50 to 54,Heart failure due to ischemic heart disease,Heart failure,Rate,2010,74.18217292,137.757195,38.69467907
Prevalence,Pakistan,Male,55 to 59,Heart failure due to ischemic heart disease,Heart failure,Rate,2010,171.239363,297.6716237,82.25434318
Prevalence,Pakistan,Female,55 to 59,Heart failure due to ischemic heart disease,Heart failure,Rate,2010,119.6211239,222.3195993,53.39723805
Prevalence,Pakistan,Male,60 to 64,Heart failure due to ischemic heart disease,Heart failure,Rate,2010,358.0927384,586.4673987,181.2655566
Prevalence,Pakistan,Female,60 to 64,Heart failure due to ischemic heart disease,Heart failure,Rate,2010,263.3659,456.6283132,126.9513197
Prevalence,Pakistan,Male,65 to 69,Heart failure due to ischemic heart disease,Heart failure,Rate,2010,820.2468125,1336.456136,454.2241453
Prevalence,Pakistan,Female,65 to 69,Heart failure due to ischemic heart disease,Heart failure,Rate,2010,629.7790292,1031.183859,343.2608371
Prevalence,Pakistan,Male,70 to 74,Heart failure due to ischemic heart disease,Heart failure,Rate,2010,1250.426254,2064.948915,660.6718075
Prevalence,Pakistan,Female,70 to 74,Heart failure due to ischemic heart disease,Heart failure,Rate,2010,1009.668521,1695.386213,512.1944841
Prevalence,Pakistan,Male,75 to 79,Heart failure due to ischemic heart disease,Heart failure,Rate,2010,1644.36416,2754.312269,907.5093485
Prevalence,Pakistan,Female,75 to 79,Heart failure due to ischemic heart disease,Heart failure,Rate,2010,1376.000975,2299.988898,744.3449974
Prevalence,Pakistan,Male,<1 year,Heart failure due to ischemic heart disease,Heart failure,Rate,2010,0,0,0
Prevalence,Pakistan,Female,<1 year,Heart failure due to ischemic heart disease,Heart failure,Rate,2010,0,0,0
Prevalence,Pakistan,Male,80 to 84,Heart failure due to ischemic heart disease,Heart failure,Rate,2010,2345.565873,3710.039508,1315.652512
Prevalence,Pakistan,Female,80 to 84,Heart failure due to ischemic heart disease,Heart failure,Rate,2010,1975.308592,3216.842772,1084.59916
Prevalence,Lebanon,Male,1 to 4,Heart failure due to ischemic heart disease,Heart failure,Rate,2010,0,0,0
Prevalence,Lebanon,Female,1 to 4,Heart failure due to ischemic heart disease,Heart failure,Rate,2010,0,0,0
Prevalence,Lebanon,Male,5 to 9,Heart failure due to ischemic heart disease,Heart failure,Rate,2010,0,0,0
Prevalence,Lebanon,Female,5 to 9,Heart failure due to ischemic heart disease,Heart failure,Rate,2010,0,0,0
Prevalence,Lebanon,Male,10 to 14,Heart failure due to ischemic heart disease,Heart failure,Rate,2010,0,0,0
Prevalence,Lebanon,Female,10 to 14,Heart failure due to ischemic heart disease,Heart failure,Rate,2010,0,0,0
Prevalence,Lebanon,Male,15 to 19,Heart failure due to ischemic heart disease,Heart failure,Rate,2010,0.255801986,0.518543648,0.104191151
Prevalence,Lebanon,Female,15 to 19,Heart failure due to ischemic heart disease,Heart failure,Rate,2010,0.309031066,0.626215683,0.125731938
Prevalence,Lebanon,Male,20 to 24,Heart failure due to ischemic heart disease,Heart failure,Rate,2010,3.685813877,6.452975638,1.90237136
Prevalence,Lebanon,Female,20 to 24,Heart failure due to ischemic heart disease,Heart failure,Rate,2010,3.898472855,6.923261119,1.818558016
Prevalence,Lebanon,Male,25 to 29,Heart failure due to ischemic heart disease,Heart failure,Rate,2010,15.0467947,26.16542669,7.334995086
Prevalence,Lebanon,Female,25 to 29,Heart failure due to ischemic heart disease,Heart failure,Rate,2010,14.97043965,26.41479252,6.874438268
Prevalence,Lebanon,Male,30 to 34,Heart failure due to ischemic heart disease,Heart failure,Rate,2010,30.1982808,49.38082182,16.03072031
Prevalence,Lebanon,Female,30 to 34,Heart failure due to ischemic heart disease,Heart failure,Rate,2010,27.60076561,48.43195267,13.53956591
Prevalence,Lebanon,Male,35 to 39,Heart failure due to ischemic heart disease,Heart failure,Rate,2010,48.11353024,85.67982669,25.47567449
Prevalence,Lebanon,Female,35 to 39,Heart failure due to ischemic heart disease,Heart failure,Rate,2010,38.403969,68.50874141,18.61417973
Prevalence,Lebanon,Male,40 to 44,Heart failure due to ischemic heart disease,Heart failure,Rate,2010,95.19931315,171.4727138,47.30400012
Prevalence,Lebanon,Female,40 to 44,Heart failure due to ischemic heart disease,Heart failure,Rate,2010,71.10700597,130.6782809,35.43435765
Prevalence,Lebanon,Male,45 to 49,Heart failure due to ischemic heart disease,Heart failure,Rate,2010,233.5728803,409.9097186,124.8874062
Prevalence,Lebanon,Female,45 to 49,Heart failure due to ischemic heart disease,Heart failure,Rate,2010,182.4745479,330.9604664,98.76112065
Prevalence,Lebanon,Male,50 to 54,Heart failure due to ischemic heart disease,Heart failure,Rate,2010,459.4175411,814.0923645,247.199411
Prevalence,Lebanon,Female,50 to 54,Heart failure due to ischemic heart disease,Heart failure,Rate,2010,374.9706485,654.3072622,203.3493769
Prevalence,Lebanon,Male,55 to 59,Heart failure due to ischemic heart disease,Heart failure,Rate,2010,763.097185,1368.972636,377.6565623
Prevalence,Lebanon,Female,55 to 59,Heart failure due to ischemic heart disease,Heart failure,Rate,2010,649.0212402,1152.473761,316.0286958
Prevalence,Lebanon,Male,60 to 64,Heart failure due to ischemic heart disease,Heart failure,Rate,2010,1143.850073,2022.38928,569.2802817
Prevalence,Lebanon,Female,60 to 64,Heart failure due to ischemic heart disease,Heart failure,Rate,2010,982.7135261,1668.954141,511.104649
Prevalence,Lebanon,Male,65 to 69,Heart failure due to ischemic heart disease,Heart failure,Rate,2010,1772.939974,2784.39235,997.0489993
Prevalence,Lebanon,Female,65 to 69,Heart failure due to ischemic heart disease,Heart failure,Rate,2010,1450.571305,2378.97324,798.1158128
Prevalence,Lebanon,Male,70 to 74,Heart failure due to ischemic heart disease,Heart failure,Rate,2010,2474.785912,4061.076214,1268.244923
Prevalence,Lebanon,Female,70 to 74,Heart failure due to ischemic heart disease,Heart failure,Rate,2010,1954.073655,3176.251005,996.2435476
Prevalence,Lebanon,Male,75 to 79,Heart failure due to ischemic heart disease,Heart failure,Rate,2010,3101.009005,5258.795727,1662.089999
Prevalence,Lebanon,Female,75 to 79,Heart failure due to ischemic heart disease,Heart failure,Rate,2010,2410.701631,4222.124518,1270.160236
Prevalence,Lebanon,Male,<1 year,Heart failure due to ischemic heart disease,Heart failure,Rate,2010,0,0,0
Prevalence,Lebanon,Female,<1 year,Heart failure due to ischemic heart disease,Heart failure,Rate,2010,0,0,0
Prevalence,Lebanon,Male,80 to 84,Heart failure due to ischemic heart disease,Heart failure,Rate,2010,3741.199516,6172.336717,2039.803364
Prevalence,Lebanon,Female,80 to 84,Heart failure due to ischemic heart disease,Heart failure,Rate,2010,3099.356395,5264.592514,1738.233207
Prevalence,Lebanon,Male,85 plus,Heart failure due to ischemic heart disease,Heart failure,Rate,2010,4785.365382,7993.094629,2751.205873
Prevalence,Lebanon,Female,85 plus,Heart failure due to ischemic heart disease,Heart failure,Rate,2010,5014.570854,8077.86776,2850.756524
Prevalence,Honduras,Male,5 to 9,Heart failure due to ischemic heart disease,Heart failure,Rate,2019,0,0,0
Prevalence,Honduras,Female,5 to 9,Heart failure due to ischemic heart disease,Heart failure,Rate,2019,0,0,0
Prevalence,Honduras,Male,10 to 14,Heart failure due to ischemic heart disease,Heart failure,Rate,2019,0,0,0
Prevalence,Honduras,Female,10 to 14,Heart failure due to ischemic heart disease,Heart failure,Rate,2019,0,0,0
Prevalence,Honduras,Male,15 to 19,Heart failure due to ischemic heart disease,Heart failure,Rate,2019,0.141226405,0.300564794,0.053099741
Prevalence,Honduras,Female,15 to 19,Heart failure due to ischemic heart disease,Heart failure,Rate,2019,0.098029885,0.209488585,0.034469571
Prevalence,Honduras,Male,20 to 24,Heart failure due to ischemic heart disease,Heart failure,Rate,2019,1.660787716,2.997701244,0.719261708
Prevalence,Honduras,Female,20 to 24,Heart failure due to ischemic heart disease,Heart failure,Rate,2019,0.771501101,1.423789347,0.318650709
Prevalence,Honduras,Male,25 to 29,Heart failure due to ischemic heart disease,Heart failure,Rate,2019,5.88417835,11.02111934,2.406066403
Prevalence,Honduras,Female,25 to 29,Heart failure due to ischemic heart disease,Heart failure,Rate,2019,2.562257227,5.166948416,0.915423175
Prevalence,Honduras,Male,30 to 34,Heart failure due to ischemic heart disease,Heart failure,Rate,2019,0.697610391,5.99543352,0
Prevalence,Honduras,Female,30 to 34,Heart failure due to ischemic heart disease,Heart failure,Rate,2019,1.629433028,5.486675349,0
Prevalence,Honduras,Male,35 to 39,Heart failure due to ischemic heart disease,Heart failure,Rate,2019,1.66279684,10.11200625,0
Prevalence,Honduras,Female,35 to 39,Heart failure due to ischemic heart disease,Heart failure,Rate,2019,3.01053612,8.566116614,0
Prevalence,Honduras,Male,40 to 44,Heart failure due to ischemic heart disease,Heart failure,Rate,2019,8.628806224,29.94405206,0
Prevalence,Honduras,Female,40 to 44,Heart failure due to ischemic heart disease,Heart failure,Rate,2019,7.880347006,18.22301561,1.244214335
Prevalence,Honduras,Male,45 to 49,Heart failure due to ischemic heart disease,Heart failure,Rate,2019,39.74158442,87.25548282,12.37142796
Prevalence,Honduras,Female,45 to 49,Heart failure due to ischemic heart disease,Heart failure,Rate,2019,22.68529983,45.16825374,10.10216452
Prevalence,Honduras,Male,50 to 54,Heart failure due to ischemic heart disease,Heart failure,Rate,2019,88.27051627,173.6734955,35.11403226
Prevalence,Honduras,Female,50 to 54,Heart failure due to ischemic heart disease,Heart failure,Rate,2019,47.18618025,89.31662248,21.83643829
Prevalence,Honduras,Male,55 to 59,Heart failure due to ischemic heart disease,Heart failure,Rate,2019,144.4914491,293.2514725,51.61398407
Prevalence,Honduras,Female,55 to 59,Heart failure due to ischemic heart disease,Heart failure,Rate,2019,81.98445342,162.6926204,31.86514521
Prevalence,Honduras,Male,60 to 64,Heart failure due to ischemic heart disease,Heart failure,Rate,2019,344.4776411,599.4327435,165.5135103
Prevalence,Honduras,Female,60 to 64,Heart failure due to ischemic heart disease,Heart failure,Rate,2019,173.1038761,313.6115823,86.77376264
Prevalence,Honduras,Male,65 to 69,Heart failure due to ischemic heart disease,Heart failure,Rate,2019,989.7403359,1649.199612,542.6004961
Prevalence,Honduras,Female,65 to 69,Heart failure due to ischemic heart disease,Heart failure,Rate,2019,436.7672912,724.4575877,238.2837608
Prevalence,Honduras,Male,70 to 74,Heart failure due to ischemic heart disease,Heart failure,Rate,2019,1739.64133,2890.717623,921.4431081
Prevalence,Honduras,Female,70 to 74,Heart failure due to ischemic heart disease,Heart failure,Rate,2019,749.2922335,1253.060699,392.3645034
Prevalence,Honduras,Male,75 to 79,Heart failure due to ischemic heart disease,Heart failure,Rate,2019,2410.076821,4250.884876,1252.859025
Prevalence,Honduras,Female,75 to 79,Heart failure due to ischemic heart disease,Heart failure,Rate,2019,1037.568475,1892.519357,553.3894194
Prevalence,Honduras,Male,<1 year,Heart failure due to ischemic heart disease,Heart failure,Rate,2019,0,0,0
Prevalence,Honduras,Female,<1 year,Heart failure due to ischemic heart disease,Heart failure,Rate,2019,0,0,0
Prevalence,Honduras,Male,80 to 84,Heart failure due to ischemic heart disease,Heart failure,Rate,2019,3361.606302,5614.474074,1869.589853
Prevalence,Honduras,Female,80 to 84,Heart failure due to ischemic heart disease,Heart failure,Rate,2019,1483.998705,2516.08115,817.9312369
Prevalence,Honduras,Male,85 plus,Heart failure due to ischemic heart disease,Heart failure,Rate,2019,5852.569337,9442.998645,3358.895022
Prevalence,Honduras,Female,85 plus,Heart failure due to ischemic heart disease,Heart failure,Rate,2019,2768.47526,4623.686196,1574.616834
Prevalence,Guyana,Male,1 to 4,Heart failure due to ischemic heart disease,Heart failure,Rate,2010,0,0,0
Prevalence,Guyana,Female,1 to 4,Heart failure due to ischemic heart disease,Heart failure,Rate,2010,0,0,0
Prevalence,Guyana,Male,5 to 9,Heart failure due to ischemic heart disease,Heart failure,Rate,2010,0,0,0
Prevalence,Guyana,Female,5 to 9,Heart failure due to ischemic heart disease,Heart failure,Rate,2010,0,0,0
Prevalence,Guyana,Male,10 to 14,Heart failure due to ischemic heart disease,Heart failure,Rate,2010,0,0,0
Prevalence,Guyana,Female,10 to 14,Heart failure due to ischemic heart disease,Heart failure,Rate,2010,0,0,0
Prevalence,Guyana,Male,15 to 19,Heart failure due to ischemic heart disease,Heart failure,Rate,2010,0.095281923,0.21128983,0.031897525
Prevalence,Guyana,Female,15 to 19,Heart failure due to ischemic heart disease,Heart failure,Rate,2010,0.081838659,0.185983744,0.027560886
Prevalence,Guyana,Male,20 to 24,Heart failure due to ischemic heart disease,Heart failure,Rate,2010,0.666525715,1.225832687,0.282243203
Prevalence,Guyana,Female,20 to 24,Heart failure due to ischemic heart disease,Heart failure,Rate,2010,0.391944841,0.727483521,0.157083519
Prevalence,Guyana,Male,25 to 29,Heart failure due to ischemic heart disease,Heart failure,Rate,2010,2.083681441,4.148370819,0.780180231
Prevalence,Guyana,Female,25 to 29,Heart failure due to ischemic heart disease,Heart failure,Rate,2010,1.166817467,2.452990403,0.411679292
Prevalence,Guyana,Male,30 to 34,Heart failure due to ischemic heart disease,Heart failure,Rate,2010,3.728499211,7.203003305,1.520768144
Prevalence,Guyana,Female,30 to 34,Heart failure due to ischemic heart disease,Heart failure,Rate,2010,2.161354806,4.321843057,0.843963685
Prevalence,Guyana,Male,35 to 39,Heart failure due to ischemic heart disease,Heart failure,Rate,2010,6.672652351,12.59415353,2.911651589
Prevalence,Guyana,Female,35 to 39,Heart failure due to ischemic heart disease,Heart failure,Rate,2010,3.995384505,7.845762507,1.710880474
Prevalence,Guyana,Male,40 to 44,Heart failure due to ischemic heart disease,Heart failure,Rate,2010,15.14935128,28.77417071,7.140153581
Prevalence,Guyana,Female,40 to 44,Heart failure due to ischemic heart disease,Heart failure,Rate,2010,8.974741741,17.18928146,4.395139722
Prevalence,Guyana,Male,45 to 49,Heart failure due to ischemic heart disease,Heart failure,Rate,2010,39.20974665,72.00267941,20.34764673
Prevalence,Guyana,Female,45 to 49,Heart failure due to ischemic heart disease,Heart failure,Rate,2010,22.21615648,40.34591897,11.30346982
Prevalence,Guyana,Male,50 to 54,Heart failure due to ischemic heart disease,Heart failure,Rate,2010,79.11861641,140.0984986,43.29332353
Prevalence,Guyana,Female,50 to 54,Heart failure due to ischemic heart disease,Heart failure,Rate,2010,46.20607917,82.98518572,24.41678675
Prevalence,Guyana,Male,55 to 59,Heart failure due to ischemic heart disease,Heart failure,Rate,2010,135.0107523,258.0949915,62.21890672
Prevalence,Guyana,Female,55 to 59,Heart failure due to ischemic heart disease,Heart failure,Rate,2010,83.44579756,158.7780468,36.88713721
Prevalence,Guyana,Male,60 to 64,Heart failure due to ischemic heart disease,Heart failure,Rate,2010,314.6172245,531.7105081,165.5528194
Prevalence,Guyana,Female,60 to 64,Heart failure due to ischemic heart disease,Heart failure,Rate,2010,168.7790174,290.4468379,89.13595863
Prevalence,Guyana,Male,65 to 69,Heart failure due to ischemic heart disease,Heart failure,Rate,2010,854.2151314,1383.961415,480.8392271
Prevalence,Guyana,Female,65 to 69,Heart failure due to ischemic heart disease,Heart failure,Rate,2010,402.6283551,658.7446982,227.425672
Prevalence,Guyana,Male,70 to 74,Heart failure due to ischemic heart disease,Heart failure,Rate,2010,1487.579684,2463.520288,808.086869
