"iso3","Mortality.reduction","Outcome","Risk","NCD4","self_harm","NCD.cause.grouping"
"DOM",0.018,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"ECU",0.0147609,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"EGY",0.0839,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"SLV",0.032,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"GNQ",0.0137,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"ERI",0.0136,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"EST",0.0353,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"ETH",0.0144,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"FSM",0.0179,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"FJI",0.0174,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"FIN",0.0186,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"FRA",0.0207,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"GAB",0.0131,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"GEO",0.0079002,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"DEU",0.031,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"GHA",0.0138,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"GRC",0.0196,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"GRL",NA,NA,NA,NA,NA,NA
"GRD",0.0224,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"GUM",NA,NA,NA,NA,NA,NA
"GTM",0.0232,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"GIN",0.0136,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"GNB",0.0138,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"GUY",0.0229,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"HTI",0.024,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"HND",0.0315,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"HUN",0,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"ISL",0,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"IND",0.0137511,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"IDN",0.0186,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"IRN",0.0206712,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"IRQ",0.0242,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"IRL",0.0113,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"ISR",0.0094,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"ITA",0.0088,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"JAM",0.0231,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"JPN",0.0182,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"JOR",0.0242,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"KAZ",0.0036531,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"KEN",0.015,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"KIR",0.0183,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"KWT",0.0074844,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"KGZ",0.0054945,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"LAO",0.0177,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"LVA",0,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"LBN",0.0102,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"LSO",0.0177,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"LBR",0.0139,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"LBY",0.0255,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"LTU",0,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"LUX",0.0188,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"MKD",0.0181,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"MDG",0.0137,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"MWI",0.0134,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"MYS",0.0125,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"MDV",0.017,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"MLI",0.014,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"MLT",0.0184,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"MHL",0.0182,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"MRT",0.0137,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"MUS",0.0169,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"MEX",0.0582,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"MDA",0.0233,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"MNG",0.0195,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"MNE",0.0204,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"MAR",0.0238,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"MOZ",0.0132,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"MMR",0.0174,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"NAM",0.0173,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"NPL",0.0438,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"NLD",0.0381,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"NZL",0.0325,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"NIC",0.0312,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"NER",0.0136,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"NGA",0.0145,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"PRK",0.0176,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"MNP",NA,NA,NA,NA,NA,NA
"NOR",0.0172,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"OMN",0.0246,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"PAK",0.0494,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"PSE",NA,NA,NA,NA,NA,NA
"PAN",0.0309,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"PNG",0.0179,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"PRY",0.0257,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"PER",0.0117612,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"PHL",0.0264,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"POL",0.0148,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"PRT",0.0208,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"PRI",NA,NA,NA,NA,NA,NA
"QAT",0.0247,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"ROU",0.0206,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"RUS",0.0060291,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"RWA",0.0135,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"LCA",0.0224,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"VCT",0.0226,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"WSM",0.0179,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"STP",0.0136,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"SAU",0,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"SEN",0.0135,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"SRB",0.0204,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"SYC",0.0169,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"SLE",0.0138,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"SGP",0.0043065,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"SVK",0.0332,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"SVN",0,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"SLB",0.0186,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"SOM",0.0137,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"ZAF",0,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"KOR",0.0476,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"SSD",0.0133,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"ESP",0.0096,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"LKA",0.0168,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"SDN",0.0251,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"SUR",0.0227,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"SWZ",0.0177,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"SWE",0.0114,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"CHE",0.0085833,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"SYR",0.0241,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"TWN",NA,NA,NA,NA,NA,NA
"TJK",0.019,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"TZA",0.0132,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"THA",0,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"BHS",0.0229,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"GMB",0.0135,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"TLS",0.0172,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"TGO",0.0135,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"TON",0.0171,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"TTO",0.0226,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"TUN",0.0093,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"TUR",0.0098,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"TKM",0.019,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"UGA",0.0134,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"UKR",0.0187,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"ARE",0.026,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"GBR",0.0306,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"USA",0,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"URY",0.0034749,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"UZB",0.0043956,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"VUT",0.0179,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"VEN",0.0351,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"VNM",0.0167,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"VIR",NA,NA,NA,NA,NA,NA
"YEM",0.0251,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"ZMB",0.0137,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"ZWE",0.018,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
