"X","Region","Risk","Outcome","PAF","Country","Risk.reduction.policy","Mortality.reduction.policy","Risk.reduction.tax","Mortality.reduction.tax","NCD.cause.grouping","NCD4","self_harm"
90,"Middle SDI","Alcohol","Intracerebral hemorrhage",0.158,"Algeria",0,0,0.1225,0.019355,"Haemorrhagic stroke","yes","no"
91,"Middle SDI","Alcohol","Hypertensive heart disease",0.143,"Algeria",0,0,0.1225,0.0175175,"All other cardiovascular diseases","yes","no"
92,"Middle SDI","Alcohol","Larynx cancer",0.26,"Algeria",0,0,0.1225,0.03185,"Upper aerodigestive tract cancers","yes","no"
93,"Middle SDI","Alcohol","Lip and oral cavity cancer",0.376,"Algeria",0,0,0.1225,0.04606,"Upper aerodigestive tract cancers","yes","no"
94,"Middle SDI","Alcohol","Liver cancer due to alcohol use",1,"Algeria",0,0,0.1225,0.1225,"Liver cancer","yes","no"
95,"Middle SDI","Alcohol","Motor vehicle road injuries",0.118,"Algeria",0,0,0.1225,0.014455,"All other noncommunicable diseases","no","no"
96,"Middle SDI","Alcohol","Motorcyclist road injuries",0.153,"Algeria",0,0,0.1225,0.0187425,"All other noncommunicable diseases","no","no"
97,"Middle SDI","Alcohol","Multidrug-resistant tuberculosis without extensive drug resistance",0.293,"Algeria",0,0,0.1225,0.0358925,NA,"no","no"
98,"Middle SDI","Alcohol","Nasopharynx cancer",0.427,"Algeria",0,0,0.1225,0.0523075,"Upper aerodigestive tract cancers","yes","no"
99,"Middle SDI","Alcohol","Esophageal cancer",0.308,"Algeria",0,0,0.1225,0.03773,"Upper aerodigestive tract cancers","yes","no"
100,"Middle SDI","Alcohol","Other pharynx cancer",0.308,"Algeria",0,0,0.1225,0.03773,"Upper aerodigestive tract cancers","yes","no"
101,"Middle SDI","Alcohol","Other road injuries",0.141,"Algeria",0,0,0.1225,0.0172725,"All other noncommunicable diseases","no","no"
102,"Middle SDI","Alcohol","Other transport injuries",0.126,"Algeria",0,0,0.1225,0.015435,"All other noncommunicable diseases","no","no"
103,"Middle SDI","Alcohol","Pancreatitis",0.295,"Algeria",0,0,0.1225,0.0361375,"All other noncommunicable diseases","no","no"
104,"Middle SDI","Alcohol","Pedestrian road injuries",0.145,"Algeria",0,0,0.1225,0.0177625,"All other noncommunicable diseases","no","no"
105,"Middle SDI","Alcohol","Self-harm by firearm",0.222,"Algeria",0,0,0.1225,0.027195,"All other noncommunicable diseases","no","yes"
106,"Middle SDI","Alcohol","Self-harm by other specified means",0.179,"Algeria",0,0,0.1225,0.0219275,"All other noncommunicable diseases","no","yes"
107,"Middle SDI","Smoking","All causes",0.13,"Algeria",0.1340965,0.017432545,0.613248,0.07972224,NA,"no","no"
108,"Middle SDI","Smoking","Aortic aneurysm",0.161,"Algeria",0.1340965,0.021589537,0.613248,0.098732928,"All other cardiovascular diseases","yes","no"
109,"Middle SDI","Smoking","Asthma",0.144,"Algeria",0.1340965,0.019309896,0.613248,0.088307712,"Chronic respiratory diseases","yes","no"
110,"Middle SDI","Smoking","Bladder cancer",0.158,"Algeria",0.1340965,0.021187247,0.613248,0.096893184,"All other cancers","yes","no"
111,"Middle SDI","Smoking","Chronic obstructive pulmonary disease",0.416,"Algeria",0.1340965,0.055784144,0.613248,0.255111168,"Chronic respiratory diseases","yes","no"
112,"Middle SDI","Smoking","Drug-susceptible tuberculosis",0.107,"Algeria",0.1340965,0.014348326,0.613248,0.065617536,NA,"no","no"
113,"Middle SDI","Smoking","Intracerebral hemorrhage",0.197,"Algeria",0.1340965,0.026417011,0.613248,0.120809856,"Haemorrhagic stroke","yes","no"
114,"Middle SDI","Smoking","Hypertensive heart disease",0.133,"Algeria",0.1340965,0.017834835,0.613248,0.081561984,"All other cardiovascular diseases","yes","no"
115,"Middle SDI","Smoking","Ischemic heart disease",0.162,"Algeria",0.1340965,0.021723633,0.613248,0.099346176,"Ischaemic heart disease","yes","no"
116,"Middle SDI","Smoking","Ischemic stroke",0.147,"Algeria",0.1340965,0.019712186,0.613248,0.090147456,"Ischaemic stroke","yes","no"
117,"Middle SDI","Smoking","Larynx cancer",0.469,"Algeria",0.1340965,0.062891259,0.613248,0.287613312,"Upper aerodigestive tract cancers","yes","no"
118,"Middle SDI","Smoking","Lip and oral cavity cancer",0.269,"Algeria",0.1340965,0.036071959,0.613248,0.164963712,"Upper aerodigestive tract cancers","yes","no"
119,"Middle SDI","Smoking","Liver cancer due to hepatitis B",0.109,"Algeria",0.1340965,0.014616519,0.613248,0.066844032,"Liver cancer","yes","no"
120,"Middle SDI","Smoking","Liver cancer due to other causes",0.118,"Algeria",0.1340965,0.015823387,0.613248,0.072363264,"Liver cancer","yes","no"
121,"Middle SDI","Smoking","Lower respiratory infections",0.195,"Algeria",0.1340965,0.026148818,0.613248,0.11958336,NA,"no","no"
122,"Middle SDI","Smoking","Nasopharynx cancer",0.3,"Algeria",0.1340965,0.04022895,0.613248,0.1839744,"Upper aerodigestive tract cancers","yes","no"
123,"Middle SDI","Smoking","Esophageal cancer",0.291,"Algeria",0.1340965,0.039022082,0.613248,0.178455168,"Upper aerodigestive tract cancers","yes","no"
124,"Middle SDI","Smoking","Other cardiovascular and circulatory diseases",0.132,"Algeria",0.1340965,0.017700738,0.613248,0.080948736,"All other cardiovascular diseases","yes","no"
125,"Middle SDI","Smoking","Peptic ulcer disease",0.173,"Algeria",0.1340965,0.023198695,0.613248,0.106091904,"All other noncommunicable diseases","no","no"
126,"Middle SDI","Smoking","Peripheral artery disease",0.111,"Algeria",0.1340965,0.014884712,0.613248,0.068070528,"All other cardiovascular diseases","no","no"
127,"Middle SDI","Smoking","Prostate cancer",0.027,"Algeria",0.1340965,0.003620606,0.613248,0.016557696,"Prostate cancer","yes","no"
128,"Middle SDI","Smoking","Tracheal, bronchus, and lung cancer",0.502,"Algeria",0.1340965,0.067316443,0.613248,0.307850496,"Lung cancer","yes","no"
129,"Middle SDI","Alcohol","Alcohol use disorders",1,"American Samoa",0.269,0.269,0.1225,0.1225,"All other noncommunicable diseases","no","no"
130,"Middle SDI","Alcohol","Alcoholic cardiomyopathy",1,"American Samoa",0.269,0.269,0.1225,0.1225,"All other cardiovascular diseases","yes","no"
131,"Middle SDI","Alcohol","Assault by firearm",0.201,"American Samoa",0.269,0.054069,0.1225,0.0246225,NA,"no","no"
132,"Middle SDI","Alcohol","Assault by other means",0.134,"American Samoa",0.269,0.036046,0.1225,0.016415,NA,"no","no"
133,"Middle SDI","Alcohol","Assault by sharp object",0.164,"American Samoa",0.269,0.044116,0.1225,0.02009,NA,"no","no"
134,"Middle SDI","Alcohol","Cirrhosis and other chronic liver diseases due to alcohol use",1,"American Samoa",0.269,0.269,0.1225,0.1225,"All other noncommunicable diseases","no","no"
135,"Middle SDI","Alcohol","Colon and rectum cancer",0.114,"American Samoa",0.269,0.030666,0.1225,0.013965,"Colon and rectum cancer","yes","no"
136,"Middle SDI","Alcohol","Cyclist road injuries",0.15,"American Samoa",0.269,0.04035,0.1225,0.018375,"All other noncommunicable diseases","no","no"
137,"Middle SDI","Alcohol","Drug-susceptible tuberculosis",0.232,"American Samoa",0.269,0.062408,0.1225,0.02842,NA,"no","no"
138,"Middle SDI","Alcohol","Idiopathic epilepsy",0.187,"American Samoa",0.269,0.050303,0.1225,0.0229075,"All other noncommunicable diseases","no","no"
139,"Middle SDI","Alcohol","Extensively drug-resistant tuberculosis",0.306,"American Samoa",0.269,0.082314,0.1225,0.037485,NA,"no","no"
140,"Middle SDI","Alcohol","Intracerebral hemorrhage",0.158,"American Samoa",0.269,0.042502,0.1225,0.019355,"Haemorrhagic stroke","yes","no"
141,"Middle SDI","Alcohol","Hypertensive heart disease",0.143,"American Samoa",0.269,0.038467,0.1225,0.0175175,"All other cardiovascular diseases","yes","no"
142,"Middle SDI","Alcohol","Larynx cancer",0.26,"American Samoa",0.269,0.06994,0.1225,0.03185,"Upper aerodigestive tract cancers","yes","no"
143,"Middle SDI","Alcohol","Lip and oral cavity cancer",0.376,"American Samoa",0.269,0.101144,0.1225,0.04606,"Upper aerodigestive tract cancers","yes","no"
144,"Middle SDI","Alcohol","Liver cancer due to alcohol use",1,"American Samoa",0.269,0.269,0.1225,0.1225,"Liver cancer","yes","no"
145,"Middle SDI","Alcohol","Motor vehicle road injuries",0.118,"American Samoa",0.269,0.031742,0.1225,0.014455,"All other noncommunicable diseases","no","no"
146,"Middle SDI","Alcohol","Motorcyclist road injuries",0.153,"American Samoa",0.269,0.041157,0.1225,0.0187425,"All other noncommunicable diseases","no","no"
147,"Middle SDI","Alcohol","Multidrug-resistant tuberculosis without extensive drug resistance",0.293,"American Samoa",0.269,0.078817,0.1225,0.0358925,NA,"no","no"
148,"Middle SDI","Alcohol","Nasopharynx cancer",0.427,"American Samoa",0.269,0.114863,0.1225,0.0523075,"Upper aerodigestive tract cancers","yes","no"
149,"Middle SDI","Alcohol","Esophageal cancer",0.308,"American Samoa",0.269,0.082852,0.1225,0.03773,"Upper aerodigestive tract cancers","yes","no"
150,"Middle SDI","Alcohol","Other pharynx cancer",0.308,"American Samoa",0.269,0.082852,0.1225,0.03773,"Upper aerodigestive tract cancers","yes","no"
151,"Middle SDI","Alcohol","Other road injuries",0.141,"American Samoa",0.269,0.037929,0.1225,0.0172725,"All other noncommunicable diseases","no","no"
152,"Middle SDI","Alcohol","Other transport injuries",0.126,"American Samoa",0.269,0.033894,0.1225,0.015435,"All other noncommunicable diseases","no","no"
153,"Middle SDI","Alcohol","Pancreatitis",0.295,"American Samoa",0.269,0.079355,0.1225,0.0361375,"All other noncommunicable diseases","no","no"
154,"Middle SDI","Alcohol","Pedestrian road injuries",0.145,"American Samoa",0.269,0.039005,0.1225,0.0177625,"All other noncommunicable diseases","no","no"
155,"Middle SDI","Alcohol","Self-harm by firearm",0.222,"American Samoa",0.269,0.059718,0.1225,0.027195,"All other noncommunicable diseases","no","yes"
156,"Middle SDI","Alcohol","Self-harm by other specified means",0.179,"American Samoa",0.269,0.048151,0.1225,0.0219275,"All other noncommunicable diseases","no","yes"
157,"Middle SDI","Smoking","All causes",0.13,"American Samoa",0.201136,0.02614768,NA,NA,NA,"no","no"
158,"Middle SDI","Smoking","Aortic aneurysm",0.161,"American Samoa",0.201136,0.032382896,NA,NA,"All other cardiovascular diseases","yes","no"
159,"Middle SDI","Smoking","Asthma",0.144,"American Samoa",0.201136,0.028963584,NA,NA,"Chronic respiratory diseases","yes","no"
160,"Middle SDI","Smoking","Bladder cancer",0.158,"American Samoa",0.201136,0.031779488,NA,NA,"All other cancers","yes","no"
161,"Middle SDI","Smoking","Chronic obstructive pulmonary disease",0.416,"American Samoa",0.201136,0.083672576,NA,NA,"Chronic respiratory diseases","yes","no"
162,"Middle SDI","Smoking","Drug-susceptible tuberculosis",0.107,"American Samoa",0.201136,0.021521552,NA,NA,NA,"no","no"
163,"Middle SDI","Smoking","Intracerebral hemorrhage",0.197,"American Samoa",0.201136,0.039623792,NA,NA,"Haemorrhagic stroke","yes","no"
164,"Middle SDI","Smoking","Hypertensive heart disease",0.133,"American Samoa",0.201136,0.026751088,NA,NA,"All other cardiovascular diseases","yes","no"
165,"Middle SDI","Smoking","Ischemic heart disease",0.162,"American Samoa",0.201136,0.032584032,NA,NA,"Ischaemic heart disease","yes","no"
166,"Middle SDI","Smoking","Ischemic stroke",0.147,"American Samoa",0.201136,0.029566992,NA,NA,"Ischaemic stroke","yes","no"
167,"Middle SDI","Smoking","Larynx cancer",0.469,"American Samoa",0.201136,0.094332784,NA,NA,"Upper aerodigestive tract cancers","yes","no"
168,"Middle SDI","Smoking","Lip and oral cavity cancer",0.269,"American Samoa",0.201136,0.054105584,NA,NA,"Upper aerodigestive tract cancers","yes","no"
169,"Middle SDI","Smoking","Liver cancer due to hepatitis B",0.109,"American Samoa",0.201136,0.021923824,NA,NA,"Liver cancer","yes","no"
170,"Middle SDI","Smoking","Liver cancer due to other causes",0.118,"American Samoa",0.201136,0.023734048,NA,NA,"Liver cancer","yes","no"
171,"Middle SDI","Smoking","Lower respiratory infections",0.195,"American Samoa",0.201136,0.03922152,NA,NA,NA,"no","no"
172,"Middle SDI","Smoking","Nasopharynx cancer",0.3,"American Samoa",0.201136,0.0603408,NA,NA,"Upper aerodigestive tract cancers","yes","no"
173,"Middle SDI","Smoking","Esophageal cancer",0.291,"American Samoa",0.201136,0.058530576,NA,NA,"Upper aerodigestive tract cancers","yes","no"
174,"Middle SDI","Smoking","Other cardiovascular and circulatory diseases",0.132,"American Samoa",0.201136,0.026549952,NA,NA,"All other cardiovascular diseases","yes","no"
175,"Middle SDI","Smoking","Peptic ulcer disease",0.173,"American Samoa",0.201136,0.034796528,NA,NA,"All other noncommunicable diseases","no","no"
176,"Middle SDI","Smoking","Peripheral artery disease",0.111,"American Samoa",0.201136,0.022326096,NA,NA,"All other cardiovascular diseases","no","no"
177,"Middle SDI","Smoking","Prostate cancer",0.027,"American Samoa",0.201136,0.005430672,NA,NA,"Prostate cancer","yes","no"
178,"Middle SDI","Smoking","Tracheal, bronchus, and lung cancer",0.502,"American Samoa",0.201136,0.100970272,NA,NA,"Lung cancer","yes","no"
179,"High SDI","Alcohol","Alcohol use disorders",1,"Andorra",0.269,0.269,0.1225,0.1225,"All other noncommunicable diseases","no","no"
180,"High SDI","Alcohol","Alcoholic cardiomyopathy",1,"Andorra",0.269,0.269,0.1225,0.1225,"All other cardiovascular diseases","yes","no"
181,"High SDI","Alcohol","Assault by firearm",0.238,"Andorra",0.269,0.064022,0.1225,0.029155,NA,"no","no"
182,"High SDI","Alcohol","Assault by other means",0.184,"Andorra",0.269,0.049496,0.1225,0.02254,NA,"no","no"
183,"High SDI","Alcohol","Assault by sharp object",0.222,"Andorra",0.269,0.059718,0.1225,0.027195,NA,"no","no"
184,"High SDI","Alcohol","Atrial fibrillation and flutter",0.132,"Andorra",0.269,0.035508,0.1225,0.01617,"All other cardiovascular diseases","yes","no"
185,"High SDI","Alcohol","Breast cancer",0.192,"Andorra",0.269,0.051648,0.1225,0.02352,"Breast cancer","yes","no"
186,"High SDI","Alcohol","Cirrhosis and other chronic liver diseases due to alcohol use",1,"Andorra",0.269,0.269,0.1225,0.1225,"All other noncommunicable diseases","no","no"
187,"High SDI","Alcohol","Colon and rectum cancer",0.163,"Andorra",0.269,0.043847,0.1225,0.0199675,"Colon and rectum cancer","yes","no"
188,"High SDI","Alcohol","Cyclist road injuries",0.202,"Andorra",0.269,0.054338,0.1225,0.024745,"All other noncommunicable diseases","no","no"
189,"High SDI","Alcohol","Drowning",0.105,"Andorra",0.269,0.028245,0.1225,0.0128625,"All other noncommunicable diseases","no","no"
190,"High SDI","Alcohol","Drug-susceptible tuberculosis",0.342,"Andorra",0.269,0.091998,0.1225,0.041895,NA,"no","no"
191,"High SDI","Alcohol","Idiopathic epilepsy",0.355,"Andorra",0.269,0.095495,0.1225,0.0434875,"All other noncommunicable diseases","no","no"
192,"High SDI","Alcohol","Extensively drug-resistant tuberculosis",0.414,"Andorra",0.269,0.111366,0.1225,0.050715,NA,"no","no"
