iso3,Mortality.reduction,Outcome,Risk,NCD4,self_harm,NCD.cause.grouping,Baseline coverage,mort.redux.total,mort.redux.filled,notes
MMR,0.0174,Ischemic heart disease,Trans fat,yes,no,Ischaemic heart disease,0.25,0.0232,0.0232,
NAM,0.0173,Ischemic heart disease,Trans fat,yes,no,Ischaemic heart disease,0.25,0.023066667,0.023066667,
NPL,0.0438,Ischemic heart disease,Trans fat,yes,no,Ischaemic heart disease,0.25,0.0584,0.0584,
NLD,0.0381,Ischemic heart disease,Trans fat,yes,no,Ischaemic heart disease,0,0.0381,0.0381,
NZL,0.0325,Ischemic heart disease,Trans fat,yes,no,Ischaemic heart disease,0,0.0325,0.0325,
NIC,0.0312,Ischemic heart disease,Trans fat,yes,no,Ischaemic heart disease,0,0.0312,0.0312,
NER,0.0136,Ischemic heart disease,Trans fat,yes,no,Ischaemic heart disease,0,0.0136,0.0136,
NGA,0.0145,Ischemic heart disease,Trans fat,yes,no,Ischaemic heart disease,0.25,0.019333333,0.019333333,
PRK,0.0176,Ischemic heart disease,Trans fat,yes,no,Ischaemic heart disease,0,0.0176,0.0176,
MNP,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NOR,0.0172,Ischemic heart disease,Trans fat,yes,no,Ischaemic heart disease,0,0.0172,0.0172,
OMN,0.0246,Ischemic heart disease,Trans fat,yes,no,Ischaemic heart disease,0.5,0.0492,0.0492,
PAK,0.0494,Ischemic heart disease,Trans fat,yes,no,Ischaemic heart disease,0.5,0.0988,0.0988,
PSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,
PAN,0.0309,Ischemic heart disease,Trans fat,yes,no,Ischaemic heart disease,0,0.0309,0.0309,
PNG,0.0179,Ischemic heart disease,Trans fat,yes,no,Ischaemic heart disease,0.25,0.023866667,0.023866667,
PRY,0.0257,Ischemic heart disease,Trans fat,yes,no,Ischaemic heart disease,0.5,0.0514,0.0514,
PER,0.0117612,Ischemic heart disease,Trans fat,yes,no,Ischaemic heart disease,0.75,0.0470448,0.0470448,
PHL,0.0264,Ischemic heart disease,Trans fat,yes,no,Ischaemic heart disease,0.5,0.0528,0.0528,
POL,0.0148,Ischemic heart disease,Trans fat,yes,no,Ischaemic heart disease,0,0.0148,0.0148,
PRT,0.0208,Ischemic heart disease,Trans fat,yes,no,Ischaemic heart disease,0.25,0.027733333,0.027733333,
PRI,NA,NA,NA,NA,NA,NA,NA,NA,NA,
QAT,0.0247,Ischemic heart disease,Trans fat,yes,no,Ischaemic heart disease,0.25,0.032933333,0.032933333,
ROU,0.0206,Ischemic heart disease,Trans fat,yes,no,Ischaemic heart disease,0,0.0206,0.0206,
RUS,0.0060291,Ischemic heart disease,Trans fat,yes,no,Ischaemic heart disease,0.75,0.0241164,0.0241164,
RWA,0.0135,Ischemic heart disease,Trans fat,yes,no,Ischaemic heart disease,0,0.0135,0.0135,
LCA,0.0224,Ischemic heart disease,Trans fat,yes,no,Ischaemic heart disease,0.25,0.029866667,0.029866667,
VCT,0.0226,Ischemic heart disease,Trans fat,yes,no,Ischaemic heart disease,0.25,0.030133333,0.030133333,
WSM,0.0179,Ischemic heart disease,Trans fat,yes,no,Ischaemic heart disease,0.25,0.023866667,0.023866667,
STP,0.0136,Ischemic heart disease,Trans fat,yes,no,Ischaemic heart disease,0,0.0136,0.0136,
SAU,0,Ischemic heart disease,Trans fat,yes,no,Ischaemic heart disease,1,0,0.0251,~yemen
SEN,0.0135,Ischemic heart disease,Trans fat,yes,no,Ischaemic heart disease,0,0.0135,0.0135,
SRB,0.0204,Ischemic heart disease,Trans fat,yes,no,Ischaemic heart disease,0,0.0204,0.0204,
SYC,0.0169,Ischemic heart disease,Trans fat,yes,no,Ischaemic heart disease,0.25,0.022533333,0.022533333,
SLE,0.0138,Ischemic heart disease,Trans fat,yes,no,Ischaemic heart disease,0,0.0138,0.0138,
SGP,0.0043065,Ischemic heart disease,Trans fat,yes,no,Ischaemic heart disease,0.75,0.017226,0.017226,
SVK,0.0332,Ischemic heart disease,Trans fat,yes,no,Ischaemic heart disease,0,0.0332,0.0332,
SVN,0,Ischemic heart disease,Trans fat,yes,no,Ischaemic heart disease,1,0,0.0169,~croatia
SLB,0.0186,Ischemic heart disease,Trans fat,yes,no,Ischaemic heart disease,0,0.0186,0.0186,
SOM,0.0137,Ischemic heart disease,Trans fat,yes,no,Ischaemic heart disease,0,0.0137,0.0137,
ZAF,0,Ischemic heart disease,Trans fat,yes,no,Ischaemic heart disease,1,0,0.023066667,~namibia
KOR,0.0476,Ischemic heart disease,Trans fat,yes,no,Ischaemic heart disease,0.5,0.0952,0.0952,
SSD,0.0133,Ischemic heart disease,Trans fat,yes,no,Ischaemic heart disease,0,0.0133,0.0133,
ESP,0.0096,Ischemic heart disease,Trans fat,yes,no,Ischaemic heart disease,0.5,0.0192,0.0192,
LKA,0.0168,Ischemic heart disease,Trans fat,yes,no,Ischaemic heart disease,0.25,0.0224,0.0224,
SDN,0.0251,Ischemic heart disease,Trans fat,yes,no,Ischaemic heart disease,0,0.0251,0.0251,
SUR,0.0227,Ischemic heart disease,Trans fat,yes,no,Ischaemic heart disease,0.25,0.030266667,0.030266667,
SWZ,0.0177,Ischemic heart disease,Trans fat,yes,no,Ischaemic heart disease,0.25,0.0236,0.0236,
SWE,0.0114,Ischemic heart disease,Trans fat,yes,no,Ischaemic heart disease,0.5,0.0228,0.0228,
CHE,0.0085833,Ischemic heart disease,Trans fat,yes,no,Ischaemic heart disease,0.75,0.0343332,0.0343332,
SYR,0.0241,Ischemic heart disease,Trans fat,yes,no,Ischaemic heart disease,0,0.0241,0.0241,
TWN,NA,NA,NA,NA,NA,NA,NA,NA,NA,
TJK,0.019,Ischemic heart disease,Trans fat,yes,no,Ischaemic heart disease,0.5,0.038,0.038,
TZA,0.0132,Ischemic heart disease,Trans fat,yes,no,Ischaemic heart disease,0,0.0132,0.0132,
THA,0,Ischemic heart disease,Trans fat,yes,no,Ischaemic heart disease,1,0,0.0167,~vietnam
BHS,0.0229,Ischemic heart disease,Trans fat,yes,no,Ischaemic heart disease,0.25,0.030533333,0.030533333,
GMB,0.0135,Ischemic heart disease,Trans fat,yes,no,Ischaemic heart disease,0,0.0135,0.0135,
TLS,0.0172,Ischemic heart disease,Trans fat,yes,no,Ischaemic heart disease,0.25,0.022933333,0.022933333,
TGO,0.0135,Ischemic heart disease,Trans fat,yes,no,Ischaemic heart disease,0,0.0135,0.0135,
TON,0.0171,Ischemic heart disease,Trans fat,yes,no,Ischaemic heart disease,0,0.0171,0.0171,
TTO,0.0226,Ischemic heart disease,Trans fat,yes,no,Ischaemic heart disease,0.25,0.030133333,0.030133333,
TUN,0.0093,Ischemic heart disease,Trans fat,yes,no,Ischaemic heart disease,0.5,0.0186,0.0186,
TUR,0.0098,Ischemic heart disease,Trans fat,yes,no,Ischaemic heart disease,0.5,0.0196,0.0196,
TKM,0.019,Ischemic heart disease,Trans fat,yes,no,Ischaemic heart disease,0.25,0.025333333,0.025333333,
UGA,0.0134,Ischemic heart disease,Trans fat,yes,no,Ischaemic heart disease,0,0.0134,0.0134,
UKR,0.0187,Ischemic heart disease,Trans fat,yes,no,Ischaemic heart disease,0.25,0.024933333,0.024933333,
ARE,0.026,Ischemic heart disease,Trans fat,yes,no,Ischaemic heart disease,0.25,0.034666667,0.034666667,
GBR,0.0306,Ischemic heart disease,Trans fat,yes,no,Ischaemic heart disease,0.5,0.0612,0.0612,
USA,0,Ischemic heart disease,Trans fat,yes,no,Ischaemic heart disease,1,0,0.1164,~mexico
URY,0.0034749,Ischemic heart disease,Trans fat,yes,no,Ischaemic heart disease,0.75,0.0138996,0.0138996,
UZB,0.0043956,Ischemic heart disease,Trans fat,yes,no,Ischaemic heart disease,0.75,0.0175824,0.0175824,
VUT,0.0179,Ischemic heart disease,Trans fat,yes,no,Ischaemic heart disease,0.25,0.023866667,0.023866667,
VEN,0.0351,Ischemic heart disease,Trans fat,yes,no,Ischaemic heart disease,0.25,0.0468,0.0468,
VNM,0.0167,Ischemic heart disease,Trans fat,yes,no,Ischaemic heart disease,0,0.0167,0.0167,
VIR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YEM,0.0251,Ischemic heart disease,Trans fat,yes,no,Ischaemic heart disease,0,0.0251,0.0251,
ZMB,0.0137,Ischemic heart disease,Trans fat,yes,no,Ischaemic heart disease,0.25,0.018266667,0.018266667,
ZWE,0.018,Ischemic heart disease,Trans fat,yes,no,Ischaemic heart disease,0,0.018,0.018,
