"Table s7. Data quality rating from 0 to 5 stars, maximum percent well certified per 5-year interval and percent well certified across time series for 204 countries, 1980-2019.",,,,,,,,,
Country,Data Quality Rating,1980-1984,1985-1989,1990-1994,1995-1999,2000-2004,2005-2009,2010-2019,1980-2019
Country,Data Quality Rating,1980-1984,1985-1989,1990-1994,1995-1999,2000-2004,2005-2009,2010-2019,1980-2019
Montenegro,2,0,0,0,0,62,62.6,0,17.8
Morocco,2,0,24.7,0,0,10.7,29.6,12.1,11
Mozambique,2,0,0,0,0.3,14.9,63.3,3.5,11.7
Myanmar,1,0,0,0,0,0,2.9,48.9,7.4
Namibia,0,0,0,0,0,0,0,0,0
Nepal,1,3.3,3.2,0,1.2,1,16.4,0,3.6
Netherlands,5,88.8,88,86.5,86,84.2,84.5,84.2,86
New Zealand,5,95.4,95,95.5,96.7,96.9,96.4,96,96
Nicaragua,3,0,49,50.4,64.6,66.8,68.6,79.5,54.1
Niger,1,0,0,0,0,0,42.6,0,6.1
Nigeria,1,0,0,4.3,0,0,0,40.4,6.4
Northern Mariana Islands,2,0,0,0,59.2,54.2,61.2,64.9,34.2
Norway,5,91,91.5,91,90.8,88.4,86.1,85.7,89.2
Oman,2,0,0,0,0,0,63.3,32.4,13.7
Pakistan,2,0,31.5,2.1,0,13.8,23.4,21.6,13.2
Palestine,2,0,0,0,28.5,31.6,33.8,72.8,23.8
Panama,4,74.1,77.1,0,83.3,86.7,86.5,84.6,70.3
Papua New Guinea,1,6.3,3.6,0,0,0,0,29.5,5.6
Paraguay,3,51.7,54.5,61.5,62.3,63.1,67.2,82.2,63.2
Peru,3,51.6,34.4,34.5,45.8,55.4,56.2,52.1,47.1
Philippines,3,0.4,12.9,15.4,40.4,46.2,74.1,75.4,37.8
Bolivia,1,0,0,0,0,12.4,0,0,1.8
Poland,4,64.3,64.4,64.2,73.5,75.8,75.9,75.9,70.6
Portugal,4,77.6,77.9,77.6,77.6,82.4,79.5,86,79.8
Monaco,2,0,76.8,0,0,0,0,80.3,22.4
Puerto Rico,4,78.1,77.3,84.1,83.8,84,83.4,84.5,82.2
Qatar,2,12.2,16,0,49,43.6,50.2,38.9,30
Cape Verde,2,48.7,0,0.3,0,0,0,70.2,17
Côte d'Ivoire,1,0,3.7,3.6,0,0,0.2,0.1,1.1
South Korea,3,0,53,72.1,74.2,83.9,82.8,84,64.3
Moldova,5,89.5,91,79.5,86.9,89.9,87.8,90.1,87.8
Nauru,0,0,0,0,0,0,0,0,0
Niue,0,0,0,0,0,0,0,0,0
Palau,1,0,0,0,0,0,0,51,7.3
San Marino,3,0,0,0,75.7,77.4,77.4,65.8,42.3
The Gambia,1,3.9,3.5,3.4,2.8,2.5,2.2,0,2.6
Romania,4,77.3,79,83.8,86.1,87.2,87.5,86.8,84
Russia,5,92.5,86.6,90.2,87,87.4,88.9,88.5,88.7
Rwanda,1,0,0,0,0,0,28.3,0,4
Saint Kitts and Nevis,4,65.3,68.4,68,78.4,67.3,78.5,84.8,73
Saint Lucia,4,67.7,68,73.9,73.3,80.4,74,86.5,74.9
Saint Vincent and the Grenadines,4,69.7,60.8,59.1,85.7,83.4,84.8,87.2,75.8
Samoa,0,0,0,0,0,0,0,0,0
São Tomé and PrÍncipe,1,0,60.1,0,0,0,0,0,8.6
Saudi Arabia,2,0,0,0,19.2,20.7,21.8,20.6,11.8
Senegal,1,2.8,3.4,3.5,3.3,0,0,0,1.9
Serbia,3,0,0,0,77.9,77.7,81.3,81.4,45.5
Seychelles,3,70.3,71.3,0,0,77.8,79.1,79.4,54
Sierra Leone,1,0,0,4,0,0,0,0,0.6
Singapore,5,91.1,91.6,90.6,92.5,93.4,92.2,93.8,92.2
Slovakia,3,0,0,83.8,83.7,85.3,88.5,92,61.9
Slovenia,4,0,86.2,85.4,81.5,85,86.1,87,73
Vietnam,2,0,1.3,0.9,1.2,1.5,62,4.8,10.3
Solomon Islands,1,0,0,0,0,0,0,38,5.4
Somalia,0,0,0,0,0,0,0,0,0
South Africa,3,0,0,1.2,66,69.3,69.2,69.1,39.2
South Sudan,0,0,0,0,0,0,0,0,0
Spain,4,79.4,81.7,85.3,86.7,86.2,86.2,88,84.8
Sri Lanka,3,43.9,43.7,41.9,52.7,62.7,67.9,65.3,54
Sudan,0,0,0,0,0,0,0,0,0
Suriname,3,58.1,62.9,57.7,60.1,68.4,67,67.1,63.1
Sweden,5,88.4,90.5,90.1,89.7,88.9,88.1,86,88.8
Switzerland,4,76.2,76,75.3,87.3,86.4,87.4,87.5,82.3
Syria,3,29.5,18,0,51,54.8,64.3,52.5,38.6
Taiwan (province of China),4,75.7,79.4,78.5,83.5,84.9,85.2,85.6,81.8
Tajikistan,3,67.4,65.8,66.5,51.8,48.3,48.4,50.5,57
Thailand,3,24.6,25,31.3,62.6,48.3,61.6,64.6,45.4
North Macedonia,3,0,0,75.9,75.5,77.1,71.9,68.8,52.7
Timor-Leste,0,0,0,0,0,0,0,0,0
Togo,0,0,0,0,0,0,0,0,0
Tokelau,0,0,0,0,0,0,0,0,0
Tonga,1,0,0,0,0,52.9,0,0,7.6
Trinidad and Tobago,5,78.9,83.1,85.9,89.4,90.4,88.8,89.8,86.6
Tunisia,1,0,0,0,0,0,28.3,24,7.5
Turkey,3,12.2,15.8,17.4,20.8,59.2,63.7,79.5,38.4
Turkmenistan,4,86.9,88,86.2,79.7,85.9,79.9,82,84.1
Tuvalu,0,0,0,0,0,0,0,0,0
Uganda,1,0,0,0,0,0.4,3.3,0,0.5
Ukraine,5,87.9,88.5,81.7,83.5,84.1,89.8,91.2,86.7
United Arab Emirates,1,0,0,0,0,0,35.8,0,5.1
UK,5,93.7,93.7,93.6,92.1,91.6,91.5,91.6,92.5
Northern Ireland,5,93.8,94,94.5,94.3,92.4,92.7,92.8,93.5
Scotland,5,94.1,94.4,93.9,92.9,93.6,92.9,91.4,93.3
Wales,5,93.3,93.7,93.7,93.1,92,91.3,91.7,92.7
England,5,93.8,93.7,93.6,91.9,91.4,91.3,91.6,92.5
Tanzania,1,0,3.8,3.3,2.3,6.3,3.1,0,2.7
Virgin Islands,3,76.3,0,79.3,82.3,71.3,67.9,61.2,62.6
USA,5,90.4,89.6,90.1,89.5,88.6,87.8,87.2,89
Uruguay,4,77.6,77.4,79.5,81.2,80.8,80.6,80.4,79.6
Uzbekistan,4,81.8,86.4,77.7,69.9,63.5,69.7,73,74.6
Vanuatu,0,0,0,0,0,0,0,0,0
Yemen,0,0,0,0,0,0,0,0,0
Zambia,1,0,0,0,0,0,6.4,15.7,3.1
Zimbabwe,2,0,0,38.9,58.7,0.4,44.3,0,20.3
1494,,,,,,,,,
