"wb2023","Code","Intervention","year_id","Incremental.cost","Deaths.avert","DALYS.avert","ICER"
"LMIC",2.1,"Depression chronic treatment",2050,56809591.8756729,4270.15630586188,230169.291299593,246.816556435099
"LMIC",2.11,"Bipolar disorder chronic treatment",2050,766054335.835741,101.052961354574,86418.6686209195,8864.45426735377
"LMIC",2.12,"Schizophrenia chronic treatment",2050,323451588.45739,34.7888587721867,59215.6705396119,5462.2633757228
"LMIC",2.13,"Epilepsy acute and chronic treatment",2050,79650955.000198,11933.545652295,496854.664397635,160.310369827691
"LMIC",2.14,"Asthma/COPD chronic treatment",2050,697999067.490143,13009.5031227853,128688.376616515,5423.94803510612
"LMIC",2.3,"Diabetes screening and treatment",2050,10608531361.3481,207333.832027698,1555778.40709285,6818.79328893075
"LMIC",2.4,"CVD primary prevention",2050,1574735783.75822,1442670.40108424,6255295.78074731,251.744416084204
"LMIC",2.5,"Aspirin for suspected ACS",2050,1355831.61755997,4635.04396390406,20574.5140316005,65.8985974335794
"LMIC",2.6,"CVD secondary prevention",2050,4246321815.94162,1023198.07595033,4460356.76436905,952.013939750914
"LMIC",2.7,"Heart failure chronic treatment",2050,342030448.677458,574885.639130862,2663065.66441126,128.434853578075
"LMIC",2.9,"Alcohol use screening/brief intervention",2050,371181544.211991,9994.51694099317,153797.030091869,2413.45066280064
"LMIC",3.1,"Medical management of ACS",2050,1266440959.38366,396568.547626077,1809687.11145291,699.812111921877
"LMIC",3.2,"Heart failure acute treatment",2050,2551744970.42478,1221527.57906481,5625184.61811941,453.628661751882
"LMIC",3.3,"Cervical cancer screening and treatment",2050,546346100.931533,72642.7282803251,499988.463886315,1092.71741328768
"LMIC",3.4,"Asthma/COPD acute treatment",2050,1610115078.73644,294476.575993382,2001111.26011399,804.610473604914
"LMIC",3.6,"Management of bowel obstruction",2050,551170479.839177,51832.0939440005,369382.936625013,1492.13844276383
"LMIC",3.7,"Management of appendicitis",2050,30036033.3720822,3555.51469143149,42949.4982028332,699.333743789837
"LMIC",3.8,"Repair of hernias",2050,2318353389.96952,34623.4661380467,632448.335951716,3665.68027486519
"LMIC",3.9,"Repair of gastrointestinal perforations",2050,13177098.5621464,1066.94488672083,6862.75956793621,1920.08745632175
"LMIC",4.1,"PCI for ACS",2050,891362053.243993,30816.8854283074,177943.102873708,5009.25317614936
"LMIC",4.2,"Management of acute ventilatory failure",2050,66378993.6392834,3616.05931646033,22950.8955493003,2892.21801810287
"LMIC",4.3,"Treatment of early-stage breast cancer",2050,8627165.72136434,14725.5777966378,94987.1135941278,90.8245907779398
"LMIC",4.4,"Treatment of early-stage colorectal cancer",2050,73895725.7728799,12829.052367951,67140.1477147823,1100.6190526538
"LMIC",5.1,"Tobacco tax",2050,6494691.35460784,613291.276422073,3059426.3107639,2.12284614659871
"LMIC",5.2,"Alcohol tax",2050,3814440.66575155,22996.8049655316,118740.303034587,32.1242288276834
"LMIC",5.3,"Tobacco policy",2050,3137738.24274906,144902.731218293,632506.071081429,4.9608033601706
"LMIC",5.4,"Alcohol policy",2050,3402263.51740484,51679.4435679817,259658.435402193,13.1028422478745
"LMIC",5.5,"Salt policy",2050,85767101.6997383,78909.573165727,447667.216749903,191.586737850526
"LMIC",5.6,"Trans fat policy",2050,41099396.3476847,48949.7126297448,299330.275446842,137.304508494276
"LMIC",5.7,"SSB",2050,2729805.36000852,351.393050291313,3262.29712283487,836.773983859684
"UMIC",1.1,"IDU harm reduction measures",2050,84129324.0323843,9753.02970804087,417525.718654523,201.494950546977
"UMIC",1.2,"Pulmonary rehabilitation",2050,94913967.5625689,3887.97011638678,27855.1091607831,3407.41682305798
"UMIC",2.1,"Depression chronic treatment",2050,45200738.1361613,1052.17552751482,82878.7838805888,545.383704004227
"UMIC",2.11,"Bipolar disorder chronic treatment",2050,1475399879.75549,46.0835979764999,51306.3499860264,28756.6720329418
"UMIC",2.12,"Schizophrenia chronic treatment",2050,485671250.226946,7.72748000205524,21509.1829936323,22579.7163179432
"UMIC",2.13,"Epilepsy acute and chronic treatment",2050,55947682.471026,3386.80304625958,166565.554670595,335.88986979733
"UMIC",2.14,"Asthma/COPD chronic treatment",2050,692415191.87417,758.057723206923,29639.2039426322,23361.463864359
"UMIC",2.3,"Diabetes screening and treatment",2050,20686335695.1222,72023.1461269989,623316.015462019,33187.5568443223
"UMIC",2.4,"CVD primary prevention",2050,2384689096.93653,866538.52931995,2811137.220073,848.300495581859
"UMIC",2.5,"Aspirin for suspected ACS",2050,3268624.0713104,2247.72499538571,7002.50365534665,466.779345243854
"UMIC",2.6,"CVD secondary prevention",2050,7149944966.71919,568293.062978672,1789753.62293927,3994.93252874493
"UMIC",2.7,"Heart failure chronic treatment",2050,1095180348.73088,375201.078785161,1074071.78813282,1019.65283962514
"UMIC",2.9,"Alcohol use screening/brief intervention",2050,751775415.907621,123906.984523491,125281.29263493,6000.69970620673
"UMIC",3.1,"Medical management of ACS",2050,755415290.73626,85202.3601874734,337387.753750735,2239.01218209114
"UMIC",3.2,"Heart failure acute treatment",2050,4750122169.80457,474857.130218656,1502941.54077755,3160.550188364
"UMIC",3.3,"Cervical cancer screening and treatment",2050,692063227.336693,25537.7777021044,211917.003719927,3265.72769144723
"UMIC",3.4,"Asthma/COPD acute treatment",2050,1290158035.97498,84411.1023762468,318486.735875924,4050.90036929386
"UMIC",3.6,"Management of bowel obstruction",2050,1521475767.41092,45533.2159729386,296800.957440329,5126.24952605421
"UMIC",3.7,"Management of appendicitis",2050,34064739.852141,2903.92213124769,22356.0117061295,1523.73957841511
"UMIC",3.8,"Repair of hernias",2050,3938920377.84793,40695.0478623199,751821.865838095,5239.16709107284
"UMIC",3.9,"Repair of gastrointestinal perforations",2050,20774553.8053194,551.858937965915,2542.24670114932,8171.73006692365
"UMIC",4.1,"PCI for ACS",2050,276220169.474586,2494.76857988942,27816.1110723403,9930.22240802213
"UMIC",4.2,"Management of acute ventilatory failure",2050,24348448.3580922,1119.91924812736,2961.68748929405,8221.14029454739
"UMIC",4.3,"Treatment of early-stage breast cancer",2050,15122791.7675253,3395.3536164634,25519.3154112762,592.601781192101
"UMIC",4.4,"Treatment of early-stage colorectal cancer",2050,210819818.208976,5437.8721137578,40953.7335963051,5147.7557647637
"UMIC",5.1,"Tobacco tax",2050,4146625.66792672,402081.117830666,945034.419885616,4.38780385208468
"UMIC",5.2,"Alcohol tax",2050,3347144.14317892,10709.7437126089,56347.2651881041,59.4020691510963
"UMIC",5.3,"Tobacco policy",2050,3833319.58083101,137627.171305752,394630.062543615,9.71370390821999
"UMIC",5.4,"Alcohol policy",2050,1748305.41399522,12673.4906534869,82318.2051331846,21.2383811231865
"UMIC",5.5,"Salt policy",2050,62928427.9865761,58524.5229464781,233529.051250421,269.467236087453
"UMIC",5.6,"Trans fat policy",2050,49809362.1519335,26018.8293052613,112398.911019901,443.148084798742
"UMIC",5.7,"SSB",2050,3192933.38198254,488.088725541605,4860.77220127944,656.877806604908
