"HSP","Intervention","gdp_pc","DALYs.averted","Incremental.cost","ICER","perc","color","name"
"HS3","IDU harm reduction measures",6131.22592153117,6998330.49723561,2213825685.09206,316.33625847858,0.051594291668114,"<0.1","IDU harm reduction measures"
"HS1","Heart failure acute treatment",835.594421389388,2680486.36182907,867654535.757191,323.692949202373,0.387380457452254,"0.1-0.5","Heart failure acute treatment"
"HS1","Repair of gastrointestinal perforations",835.594421389388,9491.20636306358,3179565.01285024,335.001146453204,0.40091357466961,"0.1-0.5","Repair of gastrointestinal perforations"
"Conflict","Heart failure acute treatment",931.059133073333,27814977.7889191,10015188577.412,360.064590143294,0.386725802210604,"0.1-0.5","Heart failure acute treatment"
"HS3","Aspirin for suspected ACS",6131.22592153117,299778.92060695,115699439.314335,385.949215775689,0.0629481315344036,"<0.1","Aspirin for suspected ACS"
"Fragile","Repair of gastrointestinal perforations",1737.17397698043,16542.0254579629,6914704.73272722,418.008347907521,0.240625494882272,"0.1-0.5","Repair of gastrointestinal perforations"
"HS1","Medical management of ACS",835.594421389388,540312.237150016,236094730.667893,436.959806635551,0.522932891185408,"0.5-1.0","Medical management of ACS"
"HS1","Management of appendicitis",835.594421389388,37856.5406741733,17046973.7314041,450.304582188989,0.538903289277882,"0.5-1.0","Management of appendicitis"
"Fragile","Cervical cancer screening and treatment",1737.17397698043,1237714.66522968,638481723.969321,515.855343647268,0.296950881421751,"0.1-0.5","Cervical cancer screening and treatment"
"HS2","Management of appendicitis",2006.8322400859,626418.658720908,326915267.06395,521.879836292684,0.260051550831347,"0.1-0.5","Management of appendicitis"
"HS3","Depression chronic treatment",6131.22592153117,3264574.59514501,1704193693.09171,522.026268177835,0.0851422333573817,"<0.1","Depression chronic treatment"
"Fragile","Medical management of ACS",1737.17397698043,1721895.55073158,901279644.810442,523.422947708712,0.301307154404034,"0.1-0.5","Medical management of ACS"
"HS3","Epilepsy acute and chronic treatment",6131.22592153117,6078927.16697072,3291417118.76554,541.447039643631,0.0883097518462367,"<0.1","Epilepsy acute and chronic treatment"
"HS3","Treatment of early-stage breast cancer",6131.22592153117,992778.016053981,585103937.221589,589.3602877582,0.0961243795777497,"<0.1","Treatment of early-stage breast cancer"
"HS1","Management of bowel obstruction",835.594421389388,301385.653249493,179806525.585084,596.59948523242,0.713982130517844,"0.5-1.0","Management of bowel obstruction"
"HS2","Asthma/COPD acute treatment",2006.8322400859,36849492.1313866,22965053890.9122,623.212222546527,0.310545251415659,"0.1-0.5","Asthma/COPD acute treatment"
"Conflict","Medical management of ACS",931.059133073333,8022056.59872147,5305610860.3321,661.377889203336,0.710350036544074,"0.5-1.0","Medical management of ACS"
"Conflict","Cervical cancer screening and treatment",931.059133073333,4334348.50344411,2868941612.64076,661.908383776956,0.710919811926514,"0.5-1.0","Cervical cancer screening and treatment"
"HS1","CVD secondary prevention",835.594421389388,1365680.89893722,911030917.934803,667.089155778465,0.798340844197189,"0.5-1.0","CVD secondary prevention"
"HS2","Medical management of ACS",2006.8322400859,27052400.026898,18118644154.6268,669.761061370213,0.333740433301761,"0.1-0.5","Medical management of ACS"
"HS1","Treatment of early-stage colorectal cancer",835.594421389388,27086.0058899115,18641967.2978884,688.250876620823,0.823666193793433,"0.5-1.0","Treatment of early-stage colorectal cancer"
"Fragile","Asthma/COPD acute treatment",1737.17397698043,2452149.74943825,1719174059.9102,701.088528669199,0.403579916553802,"0.1-0.5","Asthma/COPD acute treatment"
"HS3","Heart failure chronic treatment",6131.22592153117,43243856.7435375,30715483610.5889,710.285481536731,0.115847220544003,"0.1-0.5","Heart failure chronic treatment"
"Conflict","Repair of gastrointestinal perforations",931.059133073333,71056.3451567125,50509584.0871232,710.838475800099,0.763472963799509,"0.5-1.0","Repair of gastrointestinal perforations"
"Conflict","Management of appendicitis",931.059133073333,473777.760099527,341835040.463567,721.50925866963,0.774933871587726,"0.5-1.0","Management of appendicitis"
"HS3","CVD primary prevention",6131.22592153117,118577152.391453,86553855531.8772,729.937039187287,0.119052380148634,"0.1-0.5","CVD primary prevention"
"Fragile","CVD secondary prevention",1737.17397698043,4428954.48278619,3382141759.99117,763.643377491545,0.439589464043732,"0.1-0.5","CVD secondary prevention"
"Conflict","CVD secondary prevention",931.059133073333,20464284.3480553,16205824494.5329,791.90770705221,0.85054501794983,"0.5-1.0","CVD secondary prevention"
"HS2","CVD secondary prevention",2006.8322400859,65667791.6288206,53734505420.7532,818.277942472638,0.407746061742367,"0.1-0.5","CVD secondary prevention"
"Conflict","Asthma/COPD acute treatment",931.059133073333,9290060.04556242,8085870104.54267,870.378669770282,0.93482641311648,"0.5-1.0","Asthma/COPD acute treatment"
"Conflict","Treatment of early-stage colorectal cancer",931.059133073333,310946.30464725,274820589.275229,883.820084586619,0.949263106059889,"0.5-1.0","Treatment of early-stage colorectal cancer"
"Conflict","Management of bowel obstruction",931.059133073333,3601672.97666805,3284073253.77671,911.818833928349,0.979335040641862,"0.5-1.0","Management of bowel obstruction"
"HS1","Asthma/COPD acute treatment",835.594421389388,1066748.60002486,978946231.073249,917.691601423645,1.09825003366795,"1.0-2.3","Asthma/COPD acute treatment"
"HS2","Treatment of early-stage colorectal cancer",2006.8322400859,723694.417498614,698908299.221573,965.750574168152,0.481231343047795,"0.1-0.5","Treatment of early-stage colorectal cancer"
"HS2","Cervical cancer screening and treatment",2006.8322400859,6204002.63656782,7034673483.69414,1133.89272954691,0.565016201602571,"0.5-1.0","Cervical cancer screening and treatment"
"Fragile","Management of bowel obstruction",1737.17397698043,521737.217939563,675146093.686648,1294.03475633371,0.744907978982628,"0.5-1.0","Management of bowel obstruction"
"HS3","Medical management of ACS",6131.22592153117,21575972.0816168,31124448248.0959,1442.55137753977,0.235279436119607,"0.1-0.5","Medical management of ACS"
"HS2","Management of bowel obstruction",2006.8322400859,3777543.18638605,5530554946.98849,1464.06134201725,0.729538479985046,"0.5-1.0","Management of bowel obstruction"
"Fragile","Treatment of early-stage colorectal cancer",1737.17397698043,52431.7232809471,79088532.5706808,1508.40994004522,0.868312535205683,"0.5-1.0","Treatment of early-stage colorectal cancer"
"HS2","Repair of gastrointestinal perforations",2006.8322400859,118254.74465169,193561509.126574,1636.81812257677,0.815622795907797,"0.5-1.0","Repair of gastrointestinal perforations"
"HS1","Schizophrenia chronic treatment",835.594421389388,60889.1242386527,115670213.896921,1899.68595119805,2.27345456428412,"1.0-2.3","Schizophrenia chronic treatment"
"HS1","Repair of hernias",835.594421389388,378403.012730345,735939962.544383,1944.85756663049,2.32751382350862,">2.3","Repair of hernias"
"HS3","Pulmonary rehabilitation",6131.22592153117,1404740.20805702,2764595923.4687,1968.04783376464,0.320987655479045,"0.1-0.5","Pulmonary rehabilitation"
"Fragile","Asthma/COPD chronic treatment",1737.17397698043,409512.578060387,853545959.890643,2084.29729785926,1.19982070044717,"1.0-2.3","Asthma/COPD chronic treatment"
"HS3","Heart failure acute treatment",6131.22592153117,82255032.2932186,175246395798.836,2130.52491638598,0.347487589538035,"0.1-0.5","Heart failure acute treatment"
"Fragile","Alcohol use screening/brief intervention",1737.17397698043,207170.720071254,442990499.219897,2138.28720133586,1.23089985785572,"1.0-2.3","Alcohol use screening/brief intervention"
"HS3","Management of appendicitis",6131.22592153117,486198.076820113,1107375405.85703,2277.62193774935,0.371479043000353,"0.1-0.5","Management of appendicitis"
"HS1","Alcohol use screening/brief intervention",835.594421389388,83802.3360116868,193571086.388577,2309.85310912552,2.76432327693716,">2.3","Alcohol use screening/brief intervention"
"Fragile","Schizophrenia chronic treatment",1737.17397698043,175928.780803151,422656580.772553,2402.42999947501,1.38295302100422,"1.0-2.3","Schizophrenia chronic treatment"
"HS2","Alcohol use screening/brief intervention",2006.8322400859,2495295.77534835,6017534171.99295,2411.55146072929,1.20167067907284,"1.0-2.3","Alcohol use screening/brief intervention"
"HS2","Management of acute ventilatory failure",2006.8322400859,411660.442245037,1024016971.30918,2487.52823012234,1.23952973269747,"1.0-2.3","Management of acute ventilatory failure"
"Conflict","Alcohol use screening/brief intervention",931.059133073333,917044.330984648,2303602103.1279,2511.98554453139,2.69798711521102,">2.3","Alcohol use screening/brief intervention"
"HS1","Diabetes screening and treatment",835.594421389388,637707.474924624,1692929382.08089,2654.71152314937,3.17703356460331,">2.3","Diabetes screening and treatment"
"Fragile","Repair of hernias",1737.17397698043,1218896.97120013,3277162473.66487,2688.62959798658,1.54770312796187,"1.0-2.3","Repair of hernias"
"Conflict","Repair of hernias",931.059133073333,4115461.88211965,11130879307.6213,2704.64886480455,2.90491631382937,">2.3","Repair of hernias"
"HS3","Asthma/COPD acute treatment",6131.22592153117,21605624.0044457,61093908245.7742,2827.6854319599,0.461194134443791,"0.1-0.5","Asthma/COPD acute treatment"
"Fragile","Management of acute ventilatory failure",1737.17397698043,19846.2094843025,57599242.4882703,2902.27927573921,1.67069004843371,"1.0-2.3","Management of acute ventilatory failure"
"HS3","CVD secondary prevention",6131.22592153117,74851789.1336438,218993560991.679,2925.69574523701,0.477179569417394,"0.1-0.5","CVD secondary prevention"
"HS3","Cervical cancer screening and treatment",6131.22592153117,8297088.39089788,28111041640.4251,3388.06100598659,0.552591121147347,"0.5-1.0","Cervical cancer screening and treatment"
"Conflict","Schizophrenia chronic treatment",931.059133073333,506384.576976073,1832317293.23004,3618.43029298386,3.88635927026438,">2.3","Schizophrenia chronic treatment"
"HS2","Schizophrenia chronic treatment",2006.8322400859,1468507.88272138,5487858560.15292,3737.03037261404,1.86215384523326,"1.0-2.3","Schizophrenia chronic treatment"
"Conflict","Management of acute ventilatory failure",931.059133073333,89166.0105070465,343202844.247333,3849.03218497379,4.13403622632273,">2.3","Management of acute ventilatory failure"
"Conflict","Asthma/COPD chronic treatment",931.059133073333,1055911.71541822,4134435968.83497,3915.5129244848,4.20543957456288,">2.3","Asthma/COPD chronic treatment"
"HS1","Asthma/COPD chronic treatment",835.594421389388,160769.676726521,635923970.428159,3955.49697789034,4.73375225664303,">2.3","Asthma/COPD chronic treatment"
"Fragile","PCI for ACS",2275.42449852951,80690.896047913,338903733.129721,4200.0244107896,1.84582015949281,"1.0-2.3","PCI for ACS"
"HS2","Asthma/COPD chronic treatment",2006.8322400859,2261083.54189292,10122893636.4049,4477.01000376586,2.23088403422014,"1.0-2.3","Asthma/COPD chronic treatment"
"HS1","Bipolar disorder chronic treatment",835.594421389388,67479.0663126707,329804131.51789,4887.50288852118,5.84913298056067,">2.3","Bipolar disorder chronic treatment"
"HS1","Management of acute ventilatory failure",835.594421389388,9866.28647438079,48274465.1133913,4892.8708120064,5.85555705825651,">2.3","Management of acute ventilatory failure"
"Conflict","PCI for ACS",2294.0373224318,512527.843259798,2532714790.9558,4941.61404938928,2.15411231590204,">2.3","PCI for ACS"
"Conflict","Diabetes screening and treatment",931.059133073333,7089995.83876475,35469877692.5835,5002.80656000543,5.37324256032124,">2.3","Diabetes screening and treatment"
"HS2","PCI for ACS",2137.90939339084,2688999.33827125,13484990985.6885,5014.87330017642,2.34569028775469,">2.3","PCI for ACS"
"HS3","Treatment of early-stage colorectal cancer",6131.22592153117,1457074.05385746,7582474893.5699,5203.90495836231,0.84875439674921,"0.5-1.0","Treatment of early-stage colorectal cancer"
"HS2","Bipolar disorder chronic treatment",2006.8322400859,1648640.34494671,8587524600.45705,5208.852632279,2.5955595730593,">2.3","Bipolar disorder chronic treatment"
"HS2","Repair of hernias",2006.8322400859,5378987.8767315,29548127331.8179,5493.25040490194,2.73727434469899,">2.3","Repair of hernias"
"HS3","Repair of hernias",6131.22592153117,20605834.2860897,114986026996.801,5580.26554034867,0.910138626722647,"0.5-1.0","Repair of hernias"
"HS3","Management of acute ventilatory failure",6131.22592153117,210548.508886267,1209839359.2078,5746.13121511741,0.937191238531693,"0.5-1.0","Management of acute ventilatory failure"
"HS3","Alcohol use screening/brief intervention",6131.22592153117,3310848.67000438,19483528224.6363,5884.75347760625,0.959800462896111,"0.5-1.0","Alcohol use screening/brief intervention"
"Fragile","Diabetes screening and treatment",1737.17397698043,1672426.68177227,12721927958.6158,7606.86737258601,4.37887481241708,">2.3","Diabetes screening and treatment"
"Fragile","Bipolar disorder chronic treatment",1737.17397698043,197013.086978722,1498759619.38178,7607.41147893212,4.37918802591977,">2.3","Bipolar disorder chronic treatment"
"HS3","PCI for ACS",6131.22592153117,1944668.32671067,15066536169.4275,7747.61225988185,1.26363183465062,"1.0-2.3","PCI for ACS"
"HS2","Diabetes screening and treatment",2006.8322400859,18871885.3762601,150300017334.536,7964.22902841526,3.9685574455762,">2.3","Diabetes screening and treatment"
"HS3","Repair of gastrointestinal perforations",6131.22592153117,71173.4257080456,572117488.587639,8038.35817787488,1.31105235408899,"1.0-2.3","Repair of gastrointestinal perforations"
"Conflict","Bipolar disorder chronic treatment",931.059133073333,570924.619254759,4602462925.48317,8061.41961699054,8.65833257054319,">2.3","Bipolar disorder chronic treatment"
"HS3","Management of bowel obstruction",6131.22592153117,3458470.95494546,41341737567.0332,11953.7616783846,1.94965278255467,"1.0-2.3","Management of bowel obstruction"
"HS3","Asthma/COPD chronic treatment",6131.22592153117,1468529.43735626,25425082182.3171,17313.2941945575,2.8237899591594,">2.3","Asthma/COPD chronic treatment"
"HS3","Schizophrenia chronic treatment",6131.22592153117,1022728.33797324,23546557959.9473,23023.2771359499,3.75508543162608,">2.3","Schizophrenia chronic treatment"
"HS3","Diabetes screening and treatment",6131.22592153117,24485360.2962604,705140999101.169,28798.47347841,4.69701717845329,">2.3","Diabetes screening and treatment"
"HS3","Bipolar disorder chronic treatment",6131.22592153117,1379039.7819559,40082200429.4707,29065.2967042197,4.74053591829823,">2.3","Bipolar disorder chronic treatment"
