"year","age","Scenario","deaths","pop","ncd_mxn"
2040,50,"Baseline",299480.634143578,93758109.458136,319.418379780044
2040,50,"High-priority interventions",239718.268554683,93758109.458136,255.677370139081
2040,51,"All interventions",248719.345335444,94668856.6587528,262.725624998291
2040,51,"Baseline",331187.562423921,94668856.6587528,349.83792359269
2040,51,"High-priority interventions",265489.507466786,94668856.6587528,280.440175192757
2040,52,"All interventions",272162.414979231,94371792.5773534,288.393817205653
2040,52,"Baseline",361930.582574472,94371792.5773534,383.515638190097
2040,52,"High-priority interventions",290433.803994186,94371792.5773534,307.75488741101
2040,53,"All interventions",291455.226842833,92210107.7168086,316.077308724046
2040,53,"Baseline",387392.916262524,92210107.7168086,420.119795817034
2040,53,"High-priority interventions",310967.238248502,92210107.7168086,337.2376911255
2040,54,"All interventions",307010.787838403,88831772.8180529,345.609209519243
2040,54,"Baseline",408068.989164647,88831772.8180529,459.372785456463
2040,54,"High-priority interventions",327526.957184206,88831772.8180529,368.704740200394
2040,55,"All interventions",351162.301261454,85568863.0298927,410.385610872005
2040,55,"Baseline",468854.837577603,85568863.0298927,547.92692221914
2040,55,"High-priority interventions",375587.420012076,85568863.0298927,438.930011119661
2040,56,"All interventions",363235.403012719,82187670.6862627,441.958507863434
2040,56,"Baseline",485369.500797059,82187670.6862627,590.562424685175
2040,56,"High-priority interventions",387968.392410326,82187670.6862627,472.051816496088
2040,57,"All interventions",377773.885379025,79047350.7817,477.908344357167
2040,57,"Baseline",504623.095972378,79047350.7817,638.380781875869
2040,57,"High-priority interventions",403172.889136027,79047350.7817,510.039723215321
2040,58,"All interventions",395339.110555964,76471563.0606349,516.975323549352
2040,58,"Baseline",527169.570199389,76471563.0606349,689.366803946969
2040,58,"High-priority interventions",421637.723368045,76471563.0606349,551.365378832031
2040,59,"All interventions",415895.512814579,74289962.5371183,559.827328768379
2040,59,"Baseline",553057.670439033,74289962.5371183,744.458136134748
2040,59,"High-priority interventions",443275.696152923,74289962.5371183,596.683160166414
2040,60,"All interventions",439604.039976292,71932309.439902,611.135723848227
2040,60,"Baseline",592172.434387205,71932309.439902,823.23567670513
2040,60,"High-priority interventions",468874.191386028,71932309.439902,651.826967654587
2040,61,"All interventions",464847.448845026,69421226.5572663,669.604200181581
2040,61,"Baseline",623864.417149189,69421226.5572663,898.665218244965
2040,61,"High-priority interventions",495538.049807502,69421226.5572663,713.813446379728
2040,62,"All interventions",494319.430141926,67400042.1727799,733.411158519365
2040,62,"Baseline",660771.068942899,67400042.1727799,980.371892422579
2040,62,"High-priority interventions",526632.660289667,67400042.1727799,781.353606485356
2040,63,"All interventions",529939.992983031,66102936.8689494,801.6890293901
2040,63,"Baseline",705302.967804734,66102936.8689494,1066.97675052322
2040,63,"High-priority interventions",564165.404699957,66102936.8689494,853.464961501527
2040,64,"All interventions",571490.9082716,65246788.1155228,875.891250401087
2040,64,"Baseline",757111.636191048,65246788.1155228,1160.3814655988
2040,64,"High-priority interventions",607894.10171725,65246788.1155228,931.684331558117
2040,65,"All interventions",611955.55323048,64312270.7281893,951.537780117984
2040,65,"Baseline",814587.587363176,64312270.7281893,1266.61300890147
2040,65,"High-priority interventions",650148.894792655,64312270.7281893,1010.92511185067
2040,66,"All interventions",662303.10285568,63400810.4829982,1044.62876390718
2040,66,"Baseline",877673.390397124,63400810.4829982,1384.32519034198
2040,66,"High-priority interventions",703038.61203766,63400810.4829982,1108.87953431793
2040,67,"All interventions",715629.341340408,62168945.7484762,1151.10419313802
2040,67,"Baseline",944267.428165075,62168945.7484762,1518.87315571572
2040,67,"High-priority interventions",759011.756822436,62168945.7484762,1220.88568124229
2040,68,"All interventions",769181.595812225,60392210.1732395,1273.64372591394
2040,68,"Baseline",1010879.01050432,60392210.1732395,1673.85662423106
2040,68,"High-priority interventions",815181.713028271,60392210.1732395,1349.81268393699
2040,69,"All interventions",822891.823490763,58216846.9282706,1413.49431807025
2040,69,"Baseline",1077251.45201951,58216846.9282706,1850.41188051081
2040,69,"High-priority interventions",871457.111791048,58216846.9282706,1496.91568295476
2040,70,"All interventions",867989.34310791,56057572.0720031,1548.38911323705
2040,70,"Baseline",1153195.1136337,56057572.0720031,2057.16207643185
2040,70,"High-priority interventions",920096.853888981,56057572.0720031,1641.34267660962
2040,71,"All interventions",928171.728795592,53884265.529203,1722.52831077852
2040,71,"Baseline",1227183.22468315,53884265.529203,2277.44261266412
2040,71,"High-priority interventions",983025.568520261,53884265.529203,1824.32767500097
2040,72,"All interventions",984796.419851641,51390292.6323518,1916.30825474553
2040,72,"Baseline",1295223.42181002,51390292.6323518,2520.36592022563
2040,72,"High-priority interventions",1042049.43220476,51390292.6323518,2027.71647879031
2040,73,"All interventions",1032791.76340634,48481411.4549024,2130.28402518159
2040,73,"Baseline",1350650.36287522,48481411.4549024,2785.91386336101
2040,73,"High-priority interventions",1091827.45408533,48481411.4549024,2252.05376931106
2040,74,"All interventions",1071618.21728961,45293822.9456056,2365.92574350932
2040,74,"Baseline",1392840.15153419,45293822.9456056,3075.12164121559
2040,74,"High-priority interventions",1131789.91263656,45293822.9456056,2498.77320798413
2040,75,"All interventions",1052202.91914726,42084407.3709569,2500.22035447123
2040,75,"Baseline",1398008.09285014,42084407.3709569,3321.91464769188
2040,75,"High-priority interventions",1116561.11750293,42084407.3709569,2653.14682386019
2040,76,"All interventions",1077965.879957,38833433.1585319,2775.87066679466
2040,76,"Baseline",1421461.44709945,38833433.1585319,3660.40633414135
2040,76,"High-priority interventions",1142616.49602842,38833433.1585319,2942.35251198072
2040,77,"All interventions",1097434.13632123,35627125.200201,3080.33311740527
2040,77,"Baseline",1435375.82438876,35627125.200201,4028.88477900725
2040,77,"High-priority interventions",1161807.05803304,35627125.200201,3261.01825927421
2040,78,"All interventions",1111851.68131839,32544812.0229265,3416.37149581671
2040,78,"Baseline",1441429.31978654,32544812.0229265,4429.06021018376
2040,78,"High-priority interventions",1175407.52080787,32544812.0229265,3611.65865693078
2040,79,"All interventions",1120358.02261551,29577586.7429052,3787.86150592307
2040,79,"Baseline",1438642.66819241,29577586.7429052,4863.96229921463
2040,79,"High-priority interventions",1182532.54634386,29577586.7429052,3998.06974322378
2040,80,"All interventions",1071002.02876666,26624444.2480941,4022.62679658874
2040,80,"Baseline",1412426.20256237,26624444.2480941,5304.99787864485
2040,80,"High-priority interventions",1137697.53445336,26624444.2480941,4273.13157732787
2040,81,"All interventions",1061650.31022515,23690299.3576647,4481.37144320916
2040,81,"Baseline",1377683.06546464,23690299.3576647,5815.38901077208
2040,81,"High-priority interventions",1121540.30207771,23690299.3576647,4734.17530587195
2040,82,"All interventions",1044623.03372679,21014794.7703814,4970.89334033897
2040,82,"Baseline",1337807.98524173,21014794.7703814,6366.02926585446
2040,82,"High-priority interventions",1101202.59037697,21014794.7703814,5240.1301198003
2040,83,"All interventions",1030323.73878127,18702574.3957474,5508.99420036819
2040,83,"Baseline",1301014.97082095,18702574.3957474,6956.34164201896
2040,83,"High-priority interventions",1083654.19578916,18702574.3957474,5794.14455389392
2040,84,"All interventions",1017013.52358076,16662645.615375,6103.5537036348
2040,84,"Baseline",1264986.56998569,16662645.615375,7591.75102913107
2040,84,"High-priority interventions",1067048.05018353,16662645.615375,6403.8333096333
2040,85,"All interventions",7095627.1854133,78498357.1144447,9039.2046996199
2040,85,"Baseline",8231470.04155428,78498357.1144447,10486.1685570736
2040,85,"High-priority interventions",7376803.68630511,78498357.1144447,9397.39882141774
2040,35,"Frontier mortality 2040",NA,NA,17.3184947391831
2040,40,"Frontier mortality 2040",NA,NA,32.2165469907272
2040,45,"Frontier mortality 2040",NA,NA,61.5064988534099
2040,50,"Frontier mortality 2040",NA,NA,114.996840303781
2040,55,"Frontier mortality 2040",NA,NA,210.759693758685
2040,60,"Frontier mortality 2040",NA,NA,369.471759953701
2040,65,"Frontier mortality 2040",NA,NA,636.917457269256
2040,70,"Frontier mortality 2040",NA,NA,1084.04889062777
2040,75,"Frontier mortality 2040",NA,NA,1841.81447315842
2040,80,"Frontier mortality 2040",NA,NA,3503.6518551528
2040,85,"Frontier mortality 2040",NA,NA,8322.79575903812
