"HSP","Code","Intervention","Incremental.cost","Deaths.avert","DALYS.avert","ICER"
"HS3",3.9,"Repair of gastrointestinal perforations",566786370.8627,11944.7663889862,68421.3721594874,8283.76211955446
"HS3",4.1,"PCI for ACS",14804593034.1895,231669.056396226,1909845.39232624,7751.72330371581
"HS3",4.2,"Management of acute ventilatory failure",1180549322.85412,22544.3907027806,206403.794738348,5719.61055440218
"HS3",4.3,"Treatment of early-stage breast cancer",569169324.515853,-18669.7468753176,969962.003069338,586.795485508483
"HS3",4.4,"Treatment of early-stage colorectal cancer",7437212279.37765,177915.616856606,1429117.01592077,5204.06110663087
"HS3",5.1,"Tobacco tax",219797607.217796,7678091.01403663,42560322.2349813,5.16437836171127
"HS3",5.2,"Alcohol tax",169987355.796339,425546.126880212,2969796.1423447,57.238728737162
"HS3",5.3,"Tobacco policy",190464299.644854,102077297.350114,16362537.7467556,11.6402664789953
"HS3",5.4,"Alcohol policy",80276467.3273877,408422.309815557,3790300.73279945,21.1794453755908
"HS3",5.5,"Salt policy",3311183183.34556,2454976.33486819,15861250.5937077,208.75927555543
"HS3",5.6,"Trans fat policy",2561743611.90997,1095357.43540017,7186841.62255896,356.449153390113
"conflict",1.1,"IDU harm reduction measures",214809383.231178,101012.587657034,7389477.83534127,29.0696295486293
"conflict",1.2,"Pulmonary rehabilitation",149512282.340231,48493.5196399962,427294.967920643,349.90414951013
"conflict",2.1,"Depression chronic treatment",508018860.004269,18467.1428234248,1779896.03386811,285.420524759657
"conflict",2.11,"Bipolar disorder chronic treatment",6913047792.76766,382.607892190324,642696.521995984,10756.3174160305
"conflict",2.12,"Schizophrenia chronic treatment",2430606954.15939,167.249355738544,559619.966901397,4343.31706857711
"conflict",2.13,"Epilepsy acute and chronic treatment",859081768.94165,97498.2298913612,7341075.91248613,117.023959319161
"conflict",2.14,"Asthma/COPD chronic treatment",5560550662.82892,72200.4686028901,1137500.31050371,4888.39485271578
"conflict",2.3,"Diabetes screening and treatment",52985080253.0583,643478.425253149,7839646.06548594,6758.60616799082
"conflict",2.4,"CVD primary prevention",10547243425.8897,6077820.61419296,34447548.6230598,306.182699422309
"conflict",2.5,"Aspirin for suspected ACS",8239716.25395027,17592.6454992037,97653.675018637,84.3769192749555
"conflict",2.6,"CVD secondary prevention",19633081749.6661,4042085.9335179,22510784.3861215,872.163377912786
"conflict",2.7,"Heart failure chronic treatment",1825769184.60335,2456501.70727625,15734146.239953,116.038656102436
"conflict",2.9,"Alcohol use screening/brief intervention",3069055158.69036,33276.9168379526,1025271.30413866,2993.40783878536
"conflict",3.1,"Medical management of ACS",6047328916.77225,1560004.87045617,8628149.72401705,700.883632088476
"conflict",3.2,"Heart failure acute treatment",12365926435.8416,4992820.20579899,30962920.6015673,399.37855330145
"conflict",3.3,"Cervical cancer screening and treatment",3631256045.49778,503715.018394405,4816025.81937149,753.994306029628
"conflict",3.4,"Asthma/COPD acute treatment",10692261642.219,1075998.51743933,10084267.8143097,1060.29132100662
"conflict",3.6,"Management of bowel obstruction",4341393332.28551,409984.068563521,4727109.47422492,918.403382861649
"conflict",3.7,"Management of appendicitis",392777123.220555,26277.829142415,509208.727319066,771.347980009079
"conflict",3.8,"Repair of hernias",15080957891.4309,215841.661865539,5728874.03549363,2632.44710880285
"conflict",3.9,"Repair of gastrointestinal perforations",60597646.3028986,6873.76418245066,77568.4650832307,781.214972319969
"conflict",4.1,"PCI for ACS",2929178900.83407,85620.885188378,567776.826769287,5159.03214560802
"conflict",4.2,"Management of acute ventilatory failure",387229790.658001,12127.5259026253,96345.4021001357,4019.18287969298
"conflict",4.3,"Treatment of early-stage breast cancer",57242733.8334685,80465.9579734319,780463.334465518,73.3445522750532
"conflict",4.4,"Treatment of early-stage colorectal cancer",461113179.785044,44570.9394827322,349602.276414714,1318.96503796803
"conflict",5.1,"Tobacco tax",27467403.8910186,2628441.59363466,17553089.8328926,1.5648187386102
"conflict",5.2,"Alcohol tax",16371155.6333705,73606.2874352527,673940.452547405,24.2916945725542
"conflict",5.3,"Tobacco policy",20602621.0562887,746250.902184734,4790454.14883844,4.30076573455657
"conflict",5.4,"Alcohol policy",16671222.6875965,149839.327851318,1447239.30393864,11.5193269297109
"conflict",5.5,"Salt policy",797401110.785893,657490.212034769,4743013.36228375,168.121202678195
"conflict",5.6,"Trans fat policy",368011528.967773,358318.746607695,2636729.92952118,139.571188102151
"fragile",1.1,"IDU harm reduction measures",49263646.3959931,34156.811966206,1050246.40216832,46.9067509246253
"fragile",1.2,"Pulmonary rehabilitation",20977221.2571713,7472.78225171188,69921.1131208362,300.012690314568
"fragile",2.1,"Depression chronic treatment",74010213.2394043,9368.9513645933,553083.045924589,133.81392502401
"fragile",2.11,"Bipolar disorder chronic treatment",1498759619.38178,193.538676118352,197013.086978722,7607.41147893212
"fragile",2.12,"Schizophrenia chronic treatment",422656580.772553,90.6307673151825,175928.780803151,2402.42999947501
"fragile",2.13,"Epilepsy acute and chronic treatment",136409762.474069,49285.8418423135,1514038.76364785,90.0966116253259
"fragile",2.14,"Asthma/COPD chronic treatment",853545959.890643,28499.9314285364,409512.578060387,2084.29729785926
"fragile",2.3,"Diabetes screening and treatment",12721927958.6158,153730.025258228,1672426.68177227,7606.86737258601
"fragile",2.4,"CVD primary prevention",1548076982.1642,1091693.8831391,6441264.80974244,240.337422523403
"fragile",2.5,"Aspirin for suspected ACS",1256306.55715376,3350.76075273592,19284.7895154956,65.1449452504679
"fragile",2.6,"CVD secondary prevention",3382141759.99117,746160.311702151,4428954.48278619,763.643377491545
"fragile",2.7,"Heart failure chronic treatment",300926787.122449,525716.294362207,3426076.63316114,87.8342253672222
"fragile",2.9,"Alcohol use screening/brief intervention",442990499.219897,13425.6281432427,207170.720071254,2138.28720133586
"fragile",3.1,"Medical management of ACS",901279644.810442,273325.872076601,1721895.55073158,523.422947708712
"fragile",3.2,"Heart failure acute treatment",2115575137.2353,1032217.84838125,6805475.59528176,310.863672584768
"fragile",3.3,"Cervical cancer screening and treatment",638481723.969321,129309.233737204,1237714.66522968,515.855343647268
"fragile",3.4,"Asthma/COPD acute treatment",1719174059.9102,197471.016667996,2452149.74943825,701.088528669199
"fragile",3.6,"Management of bowel obstruction",675146093.686648,52964.2874672761,521737.217939563,1294.03475633371
"fragile",3.7,"Management of appendicitis",52237276.0186133,23190.8058624644,224596.05448946,232.583230980421
"fragile",3.8,"Repair of hernias",3277162473.66487,45612.6435395029,1218896.97120013,2688.62959798658
"fragile",3.9,"Repair of gastrointestinal perforations",6914704.73272722,1827.51738949473,16542.0254579629,418.008347907521
"fragile",4.1,"PCI for ACS",338903733.129721,10828.6902508795,80690.896047913,4200.0244107896
"fragile",4.2,"Management of acute ventilatory failure",57599242.4882703,1808.13989852614,19846.2094843025,2902.27927573921
"fragile",4.3,"Treatment of early-stage breast cancer",13902229.294857,14380.2804983886,132792.019621172,104.691752821571
"fragile",4.4,"Treatment of early-stage colorectal cancer",79088532.5706808,6517.36733843309,52431.7232809471,1508.40994004522
"fragile",5.1,"Tobacco tax",4548102.14884804,300641.954288824,2221252.11346212,2.0475398183231
"fragile",5.2,"Alcohol tax",3128787.47780238,15243.7025829631,143220.129468809,21.8460036965947
"fragile",5.3,"Tobacco policy",5082787.94666219,125536.740689695,976895.509799598,5.20300062358244
"fragile",5.4,"Alcohol policy",5219806.06625036,45914.9181988122,422400.228058367,12.3574887500513
"fragile",5.5,"Salt policy",212165880.979238,80457.2527002994,648505.603528959,327.161214682956
"fragile",5.6,"Trans fat policy",85279835.959629,60908.7754674646,516810.7944042,165.011715860043
