"HSP","Code","Intervention","Incremental.cost","Deaths.avert","DALYS.avert","ICER"
"HS1",5.2,"Alcohol tax",173490.441971504,1192.26409569613,11933.5767880208,14.5380085998741
"HS1",5.3,"Tobacco policy",155920.978588712,1853.88106232389,17128.2843633723,9.10312879450659
"HS1",5.4,"Alcohol policy",252527.607455976,4060.79031426349,42191.4060000116,5.98528542651332
"HS1",5.5,"Salt policy",0,0,0,NA
"HS1",5.6,"Trans fat policy",4904650.29977611,1956.76940478452,15635.9817994237,313.677155850673
"HS2",1.1,"IDU harm reduction measures",327404540.277714,9092.0917065401,1032137.00947699,317.210348307943
"HS2",1.2,"Pulmonary rehabilitation",155439090.791668,101001.022142223,805350.991931205,193.007883952474
"HS2",2.1,"Depression chronic treatment",396728812.904238,14397.7870124297,2120311.79229686,187.108714079487
"HS2",2.11,"Bipolar disorder chronic treatment",5677220746.26028,428.64858840125,1327812.52760872,4275.61920694067
"HS2",2.12,"Schizophrenia chronic treatment",2108361505.6434,110.3829298819,670059.422468967,3146.52915091428
"HS2",2.13,"Epilepsy acute and chronic treatment",551228456.339187,30246.6250949287,2852750.73575407,193.226996467141
"HS2",2.14,"Asthma/COPD chronic treatment",4290847094.43986,92355.6542041323,1000356.25946505,4289.3189839532
"HS2",2.3,"Diabetes screening and treatment",60870695193.4059,457363.440624942,5614549.71139292,10841.5987607855
"HS2",2.4,"CVD primary prevention",9506304778.49767,3960106.57206876,30686561.0976494,309.787230581072
"HS2",2.5,"Aspirin for suspected ACS",7047112.80176988,13810.7870098391,103939.321730246,67.8002577317105
"HS2",2.6,"CVD secondary prevention",19920219404.951,2910236.90827781,22629627.0202722,880.271662767836
"HS2",2.7,"Heart failure chronic treatment",953743686.876624,1478265.11367212,11971103.0918136,79.670493150196
"HS2",2.9,"Alcohol use screening/brief intervention",4123718593.86217,44627.7885867637,1510470.70038167,2730.08843721376
"HS2",3.1,"Medical management of ACS",6863191277.71982,1181163.42801009,9357250.96554225,733.462349464953
"HS2",3.2,"Heart failure acute treatment",8290379101.98897,3138374.28926307,25305601.4003164,327.610435762468
"HS2",3.3,"Cervical cancer screening and treatment",4148605002.8393,207037.212616076,2834229.92416727,1463.75033566065
"HS2",3.4,"Asthma/COPD acute treatment",9669902833.25227,1647648.70616237,14468205.7988339,668.355355716023
"HS2",3.6,"Management of bowel obstruction",3459028672.92009,154268.10078221,2034400.18654435,1700.26954175404
"HS2",3.7,"Management of appendicitis",236652187.156325,26840.8641359332,478909.223107602,494.148318173345
"HS2",3.8,"Repair of hernias",19398560538.9113,92066.6375234299,2556209.15510315,7588.80019664453
"HS2",3.9,"Repair of gastrointestinal perforations",121386070.446509,9127.11693417906,88636.1209436809,1369.48762145895
"HS2",4.1,"PCI for ACS",5255874582.4112,99761.7578369483,939785.544248859,5592.631866467
"HS2",4.2,"Management of acute ventilatory failure",418783177.479326,18732.1888187418,155486.403034804,2693.37491449709
"HS2",4.3,"Treatment of early-stage breast cancer",50723470.4537269,28390.2655644116,365532.230624779,138.766068226128
"HS2",4.4,"Treatment of early-stage colorectal cancer",360698313.392699,25998.6573617957,254972.130706877,1414.65779962974
"HS2",5.1,"Tobacco tax",39555784.1733754,1038205.94140647,7588905.33471069,5.21231751204647
"HS2",5.2,"Alcohol tax",26582663.4495125,36910.7887919138,345398.822117564,76.9622295945888
"HS2",5.3,"Tobacco policy",16816291.9365977,190154.799345965,1407771.32222578,11.9453292385655
"HS2",5.4,"Alcohol policy",25084994.6172025,86148.0006041963,804057.233617456,31.1980211960099
"HS2",5.5,"Salt policy",145166906.237506,154766.786960102,1269819.85743715,114.320866371151
"HS2",5.6,"Trans fat policy",135887923.413174,149742.91192263,1227035.03561954,110.744941642651
"HS3",1.1,"IDU harm reduction measures",1683908706.99049,24600.8769897025,2732801.34650573,616.184088588658
"HS3",1.2,"Pulmonary rehabilitation",918339019.106342,78957.7596861089,577517.702142049,1590.14869275897
"HS3",2.1,"Depression chronic treatment",667466691.745891,9981.39830349423,1196547.14587818,557.827323432389
"HS3",2.11,"Bipolar disorder chronic treatment",26988144235.0059,378.261045837259,992896.006044857,27181.2395967948
"HS3",2.12,"Schizophrenia chronic treatment",8391348023.48304,70.6124902456667,373794.375315734,22449.1019063491
"HS3",2.13,"Epilepsy acute and chronic treatment",890247237.170232,8394.93274573882,1405533.04526301,633.387624837839
"HS3",2.14,"Asthma/COPD chronic treatment",9690309635.85733,28493.7232693997,636965.828787557,15213.2331090704
"HS3",2.3,"Diabetes screening and treatment",266400168015.552,544363.428956017,7485459.44547631,35589.0202807184
"HS3",2.4,"CVD primary prevention",35574401027.032,6864680.5794644,41812100.6854597,850.815922755182
"HS3",2.5,"Aspirin for suspected ACS",46047765.6117938,17784.4130820153,100916.35695889,456.296352736478
"HS3",2.6,"CVD secondary prevention",73033582523.5315,4325652.82464097,25286848.5771647,2888.20421021086
"HS3",2.7,"Heart failure chronic treatment",9666478445.98912,2316498.93749733,14365489.619126,672.89585682616
"HS3",2.9,"Alcohol use screening/brief intervention",15010636236.3011,65763.2951473132,2090273.85895176,7181.18162939123
"HS3",3.1,"Medical management of ACS",7855912618.6336,983339.857348625,5974979.24117114,1314.8016589751
"HS3",3.2,"Heart failure acute treatment",41417755287.8491,3530333.85366881,22170236.4577665,1868.16930738418
"HS3",3.3,"Cervical cancer screening and treatment",11623592926.9785,233031.467459116,3054665.82857359,3805.19296685433
"HS3",3.4,"Asthma/COPD acute treatment",17773236308.2426,669371.023401415,6846252.20105208,2596.0534006491
"HS3",3.6,"Management of bowel obstruction",18691517252.6175,109174.523622418,1051782.58221504,17771.2747564744
"HS3",3.7,"Management of appendicitis",600246872.060412,11318.4771763541,225170.509368433,2665.7437234743
"HS3",3.8,"Repair of hernias",55797240752.8673,232238.702462741,7997742.65186312,6976.62367766597
"HS3",3.9,"Repair of gastrointestinal perforations",261436400.066822,4741.9035062973,34875.5258223073,7496.27120746092
"HS3",4.1,"PCI for ACS",4296568231.91548,66583.0708967546,557860.08098103,7701.87432009782
"HS3",4.2,"Management of acute ventilatory failure",350926949.540726,7569.71104835494,64943.3246519165,5403.58768852111
"HS3",4.3,"Treatment of early-stage breast cancer",230346740.776569,27191.1082064651,348692.707370685,660.600970159362
"HS3",4.4,"Treatment of early-stage colorectal cancer",2735840295.11385,47376.5268412995,447832.906511363,6109.0649108976
"HS3",5.1,"Tobacco tax",64373909.9033909,999150.101235358,6332238.31399401,10.1660592528754
"HS3",5.2,"Alcohol tax",50134948.6430286,80839.3748260458,606768.356767646,82.6261753498579
"HS3",5.3,"Tobacco policy",55807623.3337162,391080.255604005,2484892.86600101,22.4587643585329
"HS3",5.4,"Alcohol policy",23109807.4682105,81351.6375453362,699407.292653412,33.0419881390377
"HS3",5.5,"Salt policy",991889635.322127,605165.435907033,3784005.92303939,262.126871758547
"HS3",5.6,"Trans fat policy",763363302.414147,254023.574747544,1594801.32286723,478.657304498422
"conflict",1.1,"IDU harm reduction measures",145299542.408971,14451.0383023382,1992291.51106373,72.9308645858718
"conflict",1.2,"Pulmonary rehabilitation",53755641.0013095,14920.2206339486,146519.025778172,366.885056161203
"conflict",2.1,"Depression chronic treatment",203482607.37918,4937.39490528125,687980.843262691,295.767839136597
"conflict",2.11,"Bipolar disorder chronic treatment",4358926981.43953,147.518969752212,429853.119197472,10140.5033179184
"conflict",2.12,"Schizophrenia chronic treatment",880601279.075618,41.52456515765,233196.343813965,3776.22249420054
"conflict",2.13,"Epilepsy acute and chronic treatment",332462326.645448,24254.8477378808,2880442.61488068,115.420569369413
"conflict",2.14,"Asthma/COPD chronic treatment",2308919437.40427,24944.3211170438,489704.887666152,4714.92013977679
"conflict",2.3,"Diabetes screening and treatment",19158867439.1796,160964.3104568,2446931.39871789,7829.75258285469
"conflict",2.4,"CVD primary prevention",4067200785.97636,1650032.13504967,11088273.7923742,366.801980374393
"conflict",2.5,"Aspirin for suspected ACS",3072995.56666038,4714.33763238584,30003.5885878288,102.420934004773
"conflict",2.6,"CVD secondary prevention",6594990857.14989,1071402.18908383,6944501.87533469,949.670829606055
"conflict",2.7,"Heart failure chronic treatment",646397892.374918,641722.8457905,5029207.92245049,128.528766824172
"conflict",2.9,"Alcohol use screening/brief intervention",2074295999.14083,14287.5953264054,577956.483533847,3589.01761332928
"conflict",3.1,"Medical management of ACS",2320403958.16233,459774.53578867,3040534.45103009,763.156608002323
"conflict",3.2,"Heart failure acute treatment",4597752458.9866,1449234.05153075,11069599.5141528,415.349485146977
"conflict",3.3,"Cervical cancer screening and treatment",1849089587.5902,150204.830995691,2026328.70457816,912.531902357444
"conflict",3.4,"Asthma/COPD acute treatment",4460778373.58776,321357.409084176,4260228.81035339,1047.07483380869
"conflict",3.6,"Management of bowel obstruction",2504451250.70807,101124.270289071,1822185.85738283,1374.4214074327
"conflict",3.7,"Management of appendicitis",268440939.037791,12095.2069940016,350798.28552465,765.228765688845
"conflict",3.8,"Repair of hernias",8843730179.41767,74172.4984263779,2727077.67183968,3242.93300141016
"conflict",3.9,"Repair of gastrointestinal perforations",35943072.3054004,3207.14262927242,47423.1223561435,757.922939689021
"conflict",4.1,"PCI for ACS",1088248300.24557,23407.4750296396,185756.531426683,5858.46587405241
"conflict",4.2,"Management of acute ventilatory failure",171446750.525976,3391.30013996176,39310.0268932229,4361.39998051068
"conflict",4.3,"Treatment of early-stage breast cancer",26458314.9348493,17352.4581836022,253556.900134992,104.348629127281
"conflict",4.4,"Treatment of early-stage colorectal cancer",215275095.300227,11597.7248021235,123033.498109726,1749.72750192176
"conflict",5.1,"Tobacco tax",6833942.44632041,218627.871068532,1852004.95030997,3.69002385505321
"conflict",5.2,"Alcohol tax",4304029.87184623,12630.880123756,113519.499945297,37.9144541151102
"conflict",5.3,"Tobacco policy",5376162.38015368,70834.3646881015,536528.564079503,10.0202724329828
"conflict",5.4,"Alcohol policy",4243200.74959988,26370.6024966297,245382.136049656,17.2922153906967
"conflict",5.5,"Salt policy",207477331.693931,139447.683892857,973087.35174442,213.215526151885
"conflict",5.6,"Trans fat policy",95491444.7021928,73000.4907288331,510619.49490641,187.01096541505
"fragile",1.1,"IDU harm reduction measures",34617290.5245805,3288.89988146621,288302.008384107,120.073012042496
"fragile",1.2,"Pulmonary rehabilitation",6884641.80452044,2211.02644234422,23106.0219104605,297.958767251218
"fragile",2.1,"Depression chronic treatment",30191079.7017958,1222.59328630098,174510.085877415,173.004783935547
"fragile",2.11,"Bipolar disorder chronic treatment",997920392.00847,35.1010006245702,102151.011544069,9769.0700946016
"fragile",2.12,"Schizophrenia chronic treatment",147818265.952125,11.1160160852007,60481.756548381,2444.01410256464
"fragile",2.13,"Epilepsy acute and chronic treatment",52672949.9486067,6781.75007988631,528185.424808569,99.7243533702146
"fragile",2.14,"Asthma/COPD chronic treatment",366958522.776549,5766.14134103953,130342.293760907,2815.34498272431
"fragile",2.3,"Diabetes screening and treatment",4440678720.32322,32720.6476808748,460140.777111326,9650.6959200637
"fragile",2.4,"CVD primary prevention",574553389.23318,277327.071058923,2113302.79595935,271.874617462168
"fragile",2.5,"Aspirin for suspected ACS",433234.901664167,866.794332575176,6246.0447097289,69.3614794318325
"fragile",2.6,"CVD secondary prevention",1154552755.73378,190512.352515425,1437506.23873583,803.163648701176
"fragile",2.7,"Heart failure chronic treatment",101897172.387265,121832.532448812,1057169.91218902,96.3867503344597
"fragile",2.9,"Alcohol use screening/brief intervention",308692149.7343,3270.76410279953,100753.533111605,3063.83448997625
"fragile",3.1,"Medical management of ACS",314872730.38368,74979.6027842759,580494.111938202,542.421919375474
"fragile",3.2,"Heart failure acute treatment",690313701.765689,261490.322346633,2233133.15363847,309.123394922041
"fragile",3.3,"Cervical cancer screening and treatment",284550873.687229,27560.7905850066,388542.901604702,732.353808323405
"fragile",3.4,"Asthma/COPD acute treatment",717339307.844532,55535.5082542417,903110.988996611,794.29806146144
"fragile",3.6,"Management of bowel obstruction",333963731.885692,11989.2190470918,199740.730703471,1671.98613277071
"fragile",3.7,"Management of appendicitis",30807592.3483587,3259.87160635999,78220.802641863,393.854208955289
"fragile",3.8,"Repair of hernias",1757093547.0897,11079.7082359953,461188.197227218,3809.92739548366
"fragile",3.9,"Repair of gastrointestinal perforations",3718817.03190085,620.584342808164,8154.06460540813,456.069115448799
"fragile",4.1,"PCI for ACS",120469296.565994,3183.34752698905,28514.0447597278,4224.9108318768
"fragile",4.2,"Management of acute ventilatory failure",25984858.7387799,536.562818455479,7388.56707657902,3516.9009727406
"fragile",4.3,"Treatment of early-stage breast cancer",5441704.64781324,2752.49999891885,40154.3467755465,135.519690513984
"fragile",4.4,"Treatment of early-stage colorectal cancer",30319382.5019489,1512.78723482102,16399.5418635792,1848.79448183144
"fragile",5.1,"Tobacco tax",1246591.60669188,29266.4342217175,248653.947932805,5.01335939789201
"fragile",5.2,"Alcohol tax",880267.389359874,2195.76760443886,20882.9291688341,42.1524864755847
"fragile",5.3,"Tobacco policy",1421791.60896369,13499.7254578386,113672.884181666,12.5077464093499
"fragile",5.4,"Alcohol policy",1471499.41429097,6872.69429422362,63405.9906206242,23.20757707415
"fragile",5.5,"Salt policy",59246525.0177892,18196.9329616724,135792.279959927,436.302601556386
"fragile",5.6,"Trans fat policy",23707832.9628763,13231.9356618898,101235.358543311,234.18530149951
