HSP,Code,Intervention,Incremental.cost,Deaths.avert,DALYS.avert,ICER,Priorty,
HS1,5.1,Tobacco tax,531548.9075,47423.77887,318101.5716,1.671003714,Low,
HS1,5.2,Alcohol tax,425594.9057,6296.963564,46848.20132,9.084551673,High,
HS1,5.3,Tobacco policy,400716.7237,15325.01357,106918.2343,3.74788011,High,
HS1,5.4,Alcohol policy,342977.6164,15325.33917,114641.6722,2.991735986,High,
HS1,5.5,Salt policy,0,0,0,NA,High,
HS1,5.6,Trans fat policy,6115638.439,4596.926473,27201.77387,224.8249864,High,
HS2,1.1,IDU harm reduction measures,439833103,47092.30996,3251303.66,135.2789985,High,
HS2,1.2,Pulmonary rehabilitation,401732866.9,332121.2434,2198562.863,182.7252128,High,
HS2,2.1,Depression chronic treatment,893014212.8,47177.05721,4544180.832,196.5181945,High,
HS2,2.11,Bipolar disorder chronic treatment,8298144773,946.2983794,1616834.408,5132.340536,Low,
HS2,2.12,Schizophrenia chronic treatment,5408230586,413.8574972,1443815.051,3745.791806,Low,
HS2,2.13,Epilepsy acute and chronic treatment,1540030450,125353.1434,8063260.838,190.993505,High,
HS2,2.14,Asthma/COPD chronic treatment,9859829659,241381.0974,2216464.97,4448.448225,Low,
HS2,2.3,Diabetes screening and treatment,1.48366E+11,2031472.202,18524496.89,8009.165345,Low,
HS2,2.4,CVD primary prevention,22135676417,15280430.49,87963011.07,251.6475522,High,
HS2,2.5,Aspirin for suspected ACS,17217738.64,53186.10062,303421.2335,56.74533203,High,
HS2,2.6,CVD secondary prevention,53281874937,11293334.67,65090532.14,818.5810315,Medium,
HS2,2.7,Heart failure chronic treatment,2695161368,6118024.559,36667093.33,73.50354564,High,
HS2,2.9,Alcohol use screening/brief intervention,5900895742,104601.7083,2456135.367,2402.512427,Low,
HS2,3.1,Medical management of ACS,18034577004,4530702.705,26879502.93,670.9416112,High,
HS2,3.2,Heart failure acute treatment,23389966178,13115185.65,78274178.56,298.8209727,High,
HS2,3.3,Cervical cancer screening and treatment,6886709267,624483.5301,5997049.639,1148.349552,Medium,
HS2,3.4,Asthma/COPD acute treatment,22626827814,5036147.684,36561025.22,618.8783733,High,
HS2,3.6,Management of bowel obstruction,5346426243,379349.088,3574214.498,1495.83251,High,
HS2,3.7,Management of appendicitis,310468213.6,46591.98029,605903.3925,512.4054717,High,
HS2,3.8,Repair of hernias,28753025161,244619.9295,5152446.573,5580.460613,Low,
HS2,3.9,Repair of gastrointestinal perforations,190829730.3,14579.89582,114763.4114,1662.809844,Medium,
HS2,4.1,PCI for ACS,13419210314,366778.9893,2671951.773,5022.250195,Low,
HS2,4.2,Management of acute ventilatory failure,1012989222,59387.32577,409386.7559,2474.406432,Medium,
HS2,4.3,Treatment of early-stage breast cancer,93365753.41,108498.618,943585.6773,98.94782812,High,
HS2,4.4,Treatment of early-stage colorectal cancer,690760598.1,104321.7568,716952.109,963.4682561,Low,
HS2,5.1,Tobacco tax,43949505.98,3888442.385,20138968.17,2.182311706,High,
HS2,5.2,Alcohol tax,31416905.55,122938.9122,827848.1131,37.95008414,High,
HS2,5.3,Tobacco policy,35430548.33,1332157.667,7219960.836,4.907304782,High,
HS2,5.4,Alcohol policy,32578117.01,250224.8006,1653275.758,19.70519246,High,
HS2,5.5,Salt policy,3483441801,340405.8406,2025227.412,1720.025011,High,
HS2,5.6,Trans fat policy,341446898.6,618994.099,4340953.371,78.65712194,High,
HS3,1.1,IDU harm reduction measures,2195669872,107880.5865,6901774.304,318.1312189,High,
HS3,1.2,Pulmonary rehabilitation,2709902925,205071.1946,1379115.231,1964.957579,High,
HS3,2.1,Depression chronic treatment,1671807727,-3982.614227,3170308.599,527.3328052,High,
HS3,2.11,Bipolar disorder chronic treatment,38179790382,-142.6650271,1345270.474,28380.75399,Low,
HS3,2.12,Schizophrenia chronic treatment,23078885660,-126.2812094,997961.8034,23126.02104,Low,
HS3,2.13,Epilepsy acute and chronic treatment,3230387697,8497.516856,5914995.257,546.1352979,High,
HS3,2.14,Asthma/COPD chronic treatment,24315994137,65882.27116,1437897.653,16910.79618,Low,
HS3,2.3,Diabetes screening and treatment,6.91481E+11,2257025.616,24122091.55,28665.87215,Low,
HS3,2.4,CVD primary prevention,84884666290,25516301.83,116688555.7,727.4463703,High,
HS3,2.5,Aspirin for suspected ACS,113583330.9,67797.92811,293792.6288,386.6105536,High,
HS3,2.6,CVD secondary prevention,2.16645E+11,16525178.05,73505099.33,2947.347533,Medium,
HS3,2.7,Heart failure chronic treatment,30364588203,8648480.165,42000908.75,722.9507434,High,
HS3,2.9,Alcohol use screening/brief intervention,18902098609,502728.7861,3247127.286,5821.175748,Medium,
HS3,3.1,Medical management of ACS,30614279556,3942887.936,21183264.45,1445.210658,High,
HS3,3.2,Heart failure acute treatment,1.73322E+11,14416700.14,80334052.3,2157.51748,High,
HS3,3.3,Cervical cancer screening and treatment,27562465952,188324.653,8049776.645,3424.003816,Medium,
HS3,3.4,Asthma/COPD acute treatment,58996967729,1948975.385,21190212.8,2784.161174,High,
HS3,3.6,Management of bowel obstruction,40583175358,302716.5213,2541436.399,15968.59767,Low,
HS3,3.7,Management of appendicitis,1075062449,38245.37,471472.0838,2280.225035,Medium,
HS3,3.8,Repair of hernias,1.1216E+11,763626.1454,19267088.14,5821.325894,Medium,
HS3,3.9,Repair of gastrointestinal perforations,566786370.9,11944.76639,68421.37216,8283.76212,Medium,
HS3,4.1,PCI for ACS,14804593034,231669.0564,1909845.392,7751.723304,Medium,
HS3,4.2,Management of acute ventilatory failure,1180549323,22544.3907,206403.7947,5719.610554,Medium,
HS3,4.3,Treatment of early-stage breast cancer,569169324.5,-18669.74688,969962.0031,586.7954855,High,
HS3,4.4,Treatment of early-stage colorectal cancer,7437212279,177915.6169,1429117.016,5204.061107,Medium, 
HS3,5.1,Tobacco tax,115510127.5,5436219.945,22348528.54,5.168578653,High,
HS3,5.2,Alcohol tax,114735642.9,309285.6049,1536313.8,74.68242682,High,
HS3,5.3,Tobacco policy,113601678,83134434.81,9902574.963,11.47193315,High,
HS3,5.4,Alcohol policy,317877316.7,243763.4969,1570149.694,202.4503256,High,
HS3,5.5,Salt policy,3361110494,2002936.332,10292613.36,326.5555964,High,
HS3,5.6,Trans fat policy,1666997959,813109.28,3683493.592,452.5589409,High,
conflict,1.1,IDU harm reduction measures,214809383.2,101012.5877,7389477.835,29.06962955,High,
conflict,1.2,Pulmonary rehabilitation,149512282.3,48493.51964,427294.9679,349.9041495,High,
conflict,2.1,Depression chronic treatment,508018860,18467.14282,1779896.034,285.4205248,High,
conflict,2.11,Bipolar disorder chronic treatment,6913047793,382.6078922,642696.522,10756.31742,Low,
conflict,2.12,Schizophrenia chronic treatment,2430606954,167.2493557,559619.9669,4343.317069,Low,
conflict,2.13,Epilepsy acute and chronic treatment,859081768.9,97498.22989,7341075.912,117.0239593,High,
conflict,2.14,Asthma/COPD chronic treatment,5560550663,72200.4686,1137500.311,4888.394853,Low,
conflict,2.3,Diabetes screening and treatment,52985080253,643478.4253,7839646.065,6758.606168,Low,
conflict,2.4,CVD primary prevention,10547243426,6077820.614,34447548.62,306.1826994,High,
conflict,2.5,Aspirin for suspected ACS,8239716.254,17592.6455,97653.67502,84.37691927,High,
conflict,2.6,CVD secondary prevention,19633081750,4042085.934,22510784.39,872.1633779,Medium,
conflict,2.7,Heart failure chronic treatment,1825769185,2456501.707,15734146.24,116.0386561,High,
conflict,2.9,Alcohol use screening/brief intervention,3069055159,33276.91684,1025271.304,2993.407839,Low,
conflict,3.1,Medical management of ACS,6047328917,1560004.87,8628149.724,700.8836321,High,
conflict,3.2,Heart failure acute treatment,12365926436,4992820.206,30962920.6,399.3785533,High,
conflict,3.3,Cervical cancer screening and treatment,3631256045,503715.0184,4816025.819,753.994306,Medium,
conflict,3.4,Asthma/COPD acute treatment,10692261642,1075998.517,10084267.81,1060.291321,High,
conflict,3.6,Management of bowel obstruction,4341393332,409984.0686,4727109.474,918.4033829,High,
conflict,3.7,Management of appendicitis,392777123.2,26277.82914,509208.7273,771.34798,Medium,
conflict,3.8,Repair of hernias,15080957891,215841.6619,5728874.035,2632.447109,Low,
conflict,3.9,Repair of gastrointestinal perforations,60597646.3,6873.764182,77568.46508,781.2149723,Medium,
conflict,4.1,PCI for ACS,2929178901,85620.88519,567776.8268,5159.032146,Low,
conflict,4.2,Management of acute ventilatory failure,387229790.7,12127.5259,96345.4021,4019.18288,Low,
conflict,4.3,Treatment of early-stage breast cancer,57242733.83,80465.95797,780463.3345,73.34455228,Medium,
conflict,4.4,Treatment of early-stage colorectal cancer,461113179.8,44570.93948,349602.2764,1318.965038,Medium,
conflict,5.1,Tobacco tax,14712535.01,1242164.896,6344077.717,2.319097538,High,
conflict,5.2,Alcohol tax,13817035.88,47188.41062,333039.4157,41.48768953,High,
conflict,5.3,Tobacco policy,11061447.6,539190.4789,2849918.422,3.881320783,High,
conflict,5.4,Alcohol policy,15574199.06,80670.09437,582391.105,26.74182164,High,
conflict,5.5,Salt policy,323495213.9,288285.2079,1515086.088,213.5160613,High,
conflict,5.6,Trans fat policy,146568573.8,201012.4198,1059816.736,138.2961496,High,
fragile,1.1,IDU harm reduction measures,49263646.4,34156.81197,1050246.402,46.90675092,High,
fragile,1.2,Pulmonary rehabilitation,20977221.26,7472.782252,69921.11312,300.0126903,High,
fragile,2.1,Depression chronic treatment,74010213.24,9368.951365,553083.0459,133.813925,High,
fragile,2.11,Bipolar disorder chronic treatment,1498759619,193.5386761,197013.087,7607.411479,Low,
fragile,2.12,Schizophrenia chronic treatment,422656580.8,90.63076732,175928.7808,2402.429999,Low,
fragile,2.13,Epilepsy acute and chronic treatment,136409762.5,49285.84184,1514038.764,90.09661163,High,
fragile,2.14,Asthma/COPD chronic treatment,853545959.9,28499.93143,409512.5781,2084.297298,Low,
fragile,2.3,Diabetes screening and treatment,12721927959,153730.0253,1672426.682,7606.867373,Low,
fragile,2.4,CVD primary prevention,1548076982,1091693.883,6441264.81,240.3374225,High,
fragile,2.5,Aspirin for suspected ACS,1256306.557,3350.760753,19284.78952,65.14494525,High,
fragile,2.6,CVD secondary prevention,3382141760,746160.3117,4428954.483,763.6433775,Medium,
fragile,2.7,Heart failure chronic treatment,300926787.1,525716.2944,3426076.633,87.83422537,High,
fragile,2.9,Alcohol use screening/brief intervention,442990499.2,13425.62814,207170.7201,2138.287201,Low,
fragile,3.1,Medical management of ACS,901279644.8,273325.8721,1721895.551,523.4229477,High,
fragile,3.2,Heart failure acute treatment,2115575137,1032217.848,6805475.595,310.8636726,High,
fragile,3.3,Cervical cancer screening and treatment,638481724,129309.2337,1237714.665,515.8553436,Medium,
fragile,3.4,Asthma/COPD acute treatment,1719174060,197471.0167,2452149.749,701.0885287,High,
fragile,3.6,Management of bowel obstruction,675146093.7,52964.28747,521737.2179,1294.034756,High,
fragile,3.7,Management of appendicitis,52237276.02,23190.80586,224596.0545,232.583231,High,
fragile,3.8,Repair of hernias,3277162474,45612.64354,1218896.971,2688.629598,Low,
fragile,3.9,Repair of gastrointestinal perforations,6914704.733,1827.517389,16542.02546,418.0083479,Medium,
fragile,4.1,PCI for ACS,338903733.1,10828.69025,80690.89605,4200.024411,Low,
fragile,4.2,Management of acute ventilatory failure,57599242.49,1808.139899,19846.20948,2902.279276,Low,
fragile,4.3,Treatment of early-stage breast cancer,13902229.29,14380.2805,132792.0196,104.6917528,Medium,
fragile,4.4,Treatment of early-stage colorectal cancer,79088532.57,6517.367338,52431.72328,1508.40994,Low,
fragile,5.1,Tobacco tax,1423121.794,133790.3407,740821.0595,1.921006127,High,
fragile,5.2,Alcohol tax,3046831.664,9216.69612,60722.18333,50.17658287,High,
fragile,5.3,Tobacco policy,2300217.306,73383.84554,434768.3374,5.290673466,High,
fragile,5.4,Alcohol policy,2825854.955,20259.85557,131858.4112,21.43097986,High,
fragile,5.5,Salt policy,61457832.04,33437.14844,193458.6353,317.6794458,High,
fragile,5.6,Trans fat policy,30178664.68,27840.09868,165538.7842,182.3057046,High,
