"wb2021","year_id","Code","Intervention","Baseline.cost","Adjusted.cost","Incremental.cost","Deaths.avert","DALYS.Baseline","DALYS.Adjusted","DALYS.avert","discount.rate","val","Gross.benefits","Forgone.surplus"
"LIC",2023,2.1,"Depression chronic treatment",13819907.3083956,17672629.5526571,3852722.24426142,95.2321697385046,4446264.39541132,4445003.00368237,1261.39172894735,0.92,994.9504855,1255022.31312185,0
"LIC",2023,2.11,"Bipolar disorder chronic treatment",14814329.7826624,53001267.7021603,38186937.9194979,2.54478201652091,491886.082789538,483346.84290048,8539.23988905795,0.92,994.9504855,8496120.87341918,0
"LIC",2023,2.12,"Schizophrenia chronic treatment",38460410.0628794,46961951.3529114,8501541.29003197,0.856115993481581,453306.782178594,447831.237385803,5475.54479279088,0.92,994.9504855,5447895.94996428,0
"LIC",2023,2.13,"Epilepsy acute and chronic treatment",8418121.31008973,15412315.5048294,6994194.19473972,521.224103939085,1463462.6476324,1420966.10977086,42496.53786154,0.92,994.9504855,42281950.9774083,0
"LIC",2023,2.14,"Asthma/COPD chronic treatment",148634965.747248,190848801.051738,42213835.3044901,536.066150948684,1485271.54465565,1485271.54465565,0,0.92,994.9504855,0,0
"LIC",2023,2.3,"Diabetes screening and treatment",656548415.967145,798900265.104879,142351849.137734,2345.83294496527,8107404.7463288,8107404.7463288,0,0.92,994.9504855,0,0
"LIC",2023,2.4,"CVD primary prevention",188284394.337404,237811867.447949,49527473.1105449,23564.103479908,9701690.03320658,9701690.03320658,0,0.92,994.9504855,0,0
"LIC",2023,2.5,"Aspirin for suspected ACS",81152.4985875513,100909.600586734,19757.1019991824,64.8758530283967,4616622.68810736,4616622.68810736,0,0.92,994.9504855,0,0
"LIC",2023,2.6,"CVD secondary prevention",335523263.804354,410310208.629927,74786944.8255731,13973.8696772716,5832894.43097766,5832894.43097766,0,0.92,994.9504855,0,0
"LIC",2023,2.7,"Heart failure chronic treatment",34928108.4916786,44998835.6915456,10070727.199867,10773.3117305693,6153556.49645925,6153556.49645925,0,0.92,994.9504855,0,0
"LIC",2023,2.9,"Alcohol use screening/brief intervention",2832351.32291301,30801820.6366789,27969469.3137659,196.688186423396,1890353.39122511,1890353.39122511,0,0.92,994.9504855,0,0
"LIC",2023,3.1,"Medical management of ACS",50985537.117596,80456604.5824055,29471067.4648094,6877.61503883647,4616622.68810736,4616622.68810736,0,0.92,994.9504855,0,0
"LIC",2023,3.2,"Heart failure acute treatment",95465109.6610775,176479705.984539,81014596.3234616,29759.8406484281,6153556.49645925,6153556.49645925,0,0.92,994.9504855,0,0
"LIC",2023,3.3,"Cervical cancer screening and treatment",18607519.3235003,41250646.9554961,22643127.6319957,2865.09405391103,1006281.04612183,1006281.04612183,0,0.92,994.9504855,0,0
"LIC",2023,3.4,"Asthma/COPD acute treatment",87717664.3560693,172072410.952194,84354746.5961245,7308.09859121525,3098948.27116494,3098948.27116494,0,0.92,994.9504855,0,0
"LIC",2023,3.6,"Management of bowel obstruction",2103620.53118184,17121034.6277132,15017414.0965314,1392.36167731951,712961.518042367,712961.518042367,0,0.92,994.9504855,0,0
"LIC",2023,3.7,"Management of appendicitis",341013.274340142,2589708.9709822,2248695.69664205,240.416443334468,179025.658469405,178088.949870539,936.708598865548,0.92,994.9504855,931978.675213302,0
"LIC",2023,3.8,"Repair of hernias",9869890.43631402,85705482.5765743,75835592.1402603,1009.30565921288,819341.517681969,812288.551920021,7052.96576194826,0.92,994.9504855,7017351.7090653,0
"LIC",2023,3.9,"Repair of gastrointestinal perforations",47137.9974938671,386200.11688254,339062.119388673,60.5262749225526,403205.276110578,403205.276110578,0,0.92,994.9504855,0,0
"LIC",2023,4.1,NA,NA,NA,NA,588.951682544006,4616622.68810736,4616622.68810736,0,0.92,994.9504855,0,0
"LIC",2023,4.2,"Management of acute ventilatory failure",3782596.55609577,8039078.74202838,4256482.1859326,76.4008807294076,3098948.27116494,3098948.27116494,0,0.92,994.9504855,0,0
"LIC",2023,4.3,"Treatment of early-stage breast cancer",152256.178824849,334373.205814924,182117.026990076,220.742014303935,1101035.0350454,1101035.0350454,0,0.92,994.9504855,0,0
"LIC",2023,4.4,"Treatment of early-stage colorectal cancer",1283771.98511905,2911881.73027667,1628109.74515762,137.353446355447,423436.285310481,423436.285310481,0,0.92,994.9504855,0,0
"LIC",2023,5.1,"Tobacco tax",100414.350463912,166131.90617973,65717.5557158172,1648.08166358518,17550660.4709941,17550660.4709941,0,0.92,994.9504855,0,0
"LIC",2023,5.2,"Alcohol tax",278069.662613627,301420.326023473,23350.6634098463,156.791360657224,6164285.90057171,6164285.90057171,0,0.92,994.9504855,0,0
"LIC",2023,5.3,"Tobacco policy",229306.734517592,270184.115658108,40877.3811405162,340.311682987082,17550660.4709941,17550660.4709941,0,0.92,994.9504855,0,0
"LIC",2023,5.4,"Alcohol policy",170206.039993141,202276.593014437,32070.5530212964,504.736031239918,6164285.90057171,6164285.90057171,0,0.92,994.9504855,0,0
"LIC",2023,5.5,"Salt policy",0,1894803.56050726,1894803.56050726,1023.73107811062,9701690.03320658,9701690.03320658,0,0.92,994.9504855,0,0
"LIC",2023,5.6,"Trans fat policy",879023.330179684,1718620.63869977,839597.308520087,675.475722814691,4616622.68810736,4616622.68810736,0,0.92,994.9504855,0,0
"LIC",2024,1.1,"IDU harm reduction measures",150617.137094332,3125306.53878753,2974689.40169319,189.815638644592,1020374.2130772,1006240.14322166,14134.0698555479,0.8464,1072.623505,15160535.5483726,0
"LIC",2024,1.2,"Pulmonary rehabilitation",1115791.0535627,1584244.51947168,468453.465908975,488.619893999557,1511414.06862812,1508235.89230637,3178.17632175054,0.8464,1072.623505,3408986.62574407,0
"LIC",2024,2.1,"Depression chronic treatment",13148882.8109878,20476358.4349677,7327475.62397984,191.620329820106,4164452.85852438,4144230.68357648,20222.1749478931,0.8464,1072.623505,21690780.1713323,0
"LIC",2024,2.11,"Bipolar disorder chronic treatment",14090756.9297355,86734321.7857678,72643564.8560322,5.12359367970066,460709.535324823,444250.285260537,16459.2500642852,0.8464,1072.623505,17654578.493625,0
"LIC",2024,2.12,"Schizophrenia chronic treatment",36691714.1518153,52887321.4511535,16195607.2993382,1.72277066850529,424575.454122876,414163.992259124,10411.4618637518,0.8464,1072.623505,11167578.7164713,0
"LIC",2024,2.13,"Epilepsy acute and chronic treatment",7978055.37175913,21181941.5006544,13203886.1288952,1047.01332629556,1360998.371983,1240804.94719112,120193.424791884,0.8464,1072.623505,128922292.578225,0
"LIC",2024,2.14,"Asthma/COPD chronic treatment",140324726.395668,219968249.738443,79643523.3427757,1052.96653346292,1369254.3412075,1353681.03238341,15573.3088240874,0.8464,1072.623505,16704297.0953401,0
"LIC",2024,2.3,"Diabetes screening and treatment",629312804.871968,901291674.034684,271978869.162715,4681.97825761887,7710293.84340152,7656753.01269372,53540.8307077994,0.8464,1072.623505,57429153.4944114,0
"LIC",2024,2.4,"CVD primary prevention",179972812.038819,274583396.781216,94610584.7423972,46763.7481820565,9164809.17417382,8931785.43130733,233023.742866495,0.8464,1072.623505,249946743.821679,0
"LIC",2024,2.5,"Aspirin for suspected ACS",78020.1810271492,115852.24954548,37832.0685183304,128.996354185762,4383921.64574176,4383319.82283125,601.822910503899,0.8464,1072.623505,645529.399653993,0
"LIC",2024,2.6,"CVD secondary prevention",321023741.870601,463933644.685285,142909902.814684,27800.1301106145,5537552.96275743,5400657.18501343,136895.777743996,0.8464,1072.623505,146837628.943466,0
"LIC",2024,2.7,"Heart failure chronic treatment",33260487.6414165,52440539.4421138,19180051.8006973,21164.4045973823,5831788.47952162,5710175.54374152,121612.935780097,0.8464,1072.623505,130444893.429788,0
"LIC",2024,2.9,"Alcohol use screening/brief intervention",2693321.75977019,55886460.2763675,53193138.5165973,396.490882475321,1773318.0947289,1760201.62252857,13116.4722003264,0.8464,1072.623505,14069036.3847492,0
"LIC",2024,3.1,"Medical management of ACS",49016607.4129741,105326221.593154,56309614.1801798,13678.551320234,4383921.64574176,4315422.4186139,68499.2271278566,0.8464,1072.623505,73473881.0916727,0
"LIC",2024,3.2,"Heart failure acute treatment",91593610.4870775,246097223.393064,154503612.905987,57139.0793840191,5831788.47952162,5514933.69885974,316854.780661878,0.8464,1072.623505,339865885.409549,0
"LIC",2024,3.3,"Cervical cancer screening and treatment",17729418.3836162,60822799.2983497,43093380.9147335,5899.63818961442,966464.01776895,906524.981405471,59939.0363634791,0.8464,1072.623505,64292019.2705174,0
"LIC",2024,3.4,"Asthma/COPD acute treatment",83182157.5023448,242447322.497206,159265164.994861,14107.6166027524,2880668.40983562,2748850.71019009,131817.69964553,0.8464,1072.623505,141390763.014825,0
"LIC",2024,3.6,"Management of bowel obstruction",2003358.73038534,30511043.8435466,28507685.1131613,2803.62830844294,675103.534693243,637492.317255374,37611.217437869,0.8464,1072.623505,40342675.8755242,0
"LIC",2024,3.7,"Management of appendicitis",322709.943447423,4577232.25498742,4254522.31153999,475.225854558874,164176.468253888,153818.944520032,10357.5237338564,0.8464,1072.623505,11109723.4105297,0
"LIC",2024,3.8,"Repair of hernias",9373035.6324511,153227291.172514,143854255.540063,2018.99791512784,773125.291874618,719959.447188989,53165.8446856288,0.8464,1072.623505,57026934.6729848,0
"LIC",2024,3.9,"Repair of gastrointestinal perforations",44852.8674627211,689315.187396331,644462.31993361,119.02623039246,372947.061254456,371768.537098313,1178.52415614238,0.8464,1072.623505,1264112.7110886,0
"LIC",2024,4.1,NA,NA,NA,NA,1187.20645229944,4383921.64574176,4376671.54608527,7250.09965648147,0.8464,1072.623505,7776627.30513445,0
"LIC",2024,4.2,"Management of acute ventilatory failure",3590569.91365211,11641492.880552,8050922.9668999,149.292500538323,2880668.40983562,2879490.6178254,1177.79201021695,0.8464,1072.623505,1263327.3941599,0
"LIC",2024,4.3,"Treatment of early-stage breast cancer",145930.458834299,493733.247216326,347802.788382028,462.53809831481,1072657.66390681,1067583.41425389,5074.24965291719,0.8464,1072.623505,5442759.44795707,0
"LIC",2024,4.4,"Treatment of early-stage colorectal cancer",1226459.77745093,4329576.65892693,3103116.881476,283.882494534524,410904.57392597,408676.137982781,2228.43594318906,0.8464,1072.623505,2390272.77205143,0
"LIC",2024,5.1,"Tobacco tax",95390.981828739,219498.823449803,124107.841621064,4184.63013670668,16574565.1641722,16556132.1265715,18433.0376007432,0.8464,1072.623505,19771709.3991059,177945.384591953
"LIC",2024,5.2,"Alcohol tax",263318.143839771,307330.561032708,44012.4171929375,314.832843929812,5848249.64642443,5846369.2250835,1880.42134093242,0.8464,1072.623505,2016984.12958773,18152.8571662896
"LIC",2024,5.3,"Tobacco policy",216542.80835027,293857.402630899,77314.5942806281,871.997949331675,16574565.1641722,16570309.2199926,4255.94417964088,0.8464,1072.623505,4565025.76305075,41085.2318674568
"LIC",2024,5.4,"Alcohol policy",160792.12214149,221432.654104901,60640.5319634113,1018.32117076109,5848249.64642443,5841977.27959382,6272.36683061136,0.8464,1072.623505,6727888.0944961,60550.9928504649
"LIC",2024,5.5,"Salt policy",0,3581680.67239295,3581680.67239295,2028.00614877575,9164809.17417382,9154477.16366483,10332.0105089962,0.8464,1072.623505,11082357.3258563,11082.3573258563
"LIC",2024,5.6,"Trans fat policy",828134.31978832,2415859.73475913,1587725.41497081,1348.55047094979,4383921.64574176,4376574.70197163,7346.94377012238,0.8464,1072.623505,7880504.57774659,7880.50457774658
"LIC",2025,1.1,"IDU harm reduction measures",142920.400811141,4376941.27724138,4234020.87643024,301.432526539283,998463.753505636,970803.480548834,27660.2729568014,0.778688,1156.382265,31985849.0923043,0
"LIC",2025,1.2,"Pulmonary rehabilitation",1065702.41937011,1736231.95878323,670529.539413122,716.204978587988,1417095.76266403,1411120.26941279,5975.49325124587,0.778688,1156.382265,6909954.42036792,0
"LIC",2025,2.1,"Depression chronic treatment",12501171.3010062,22950459.0531297,10449287.7521235,289.28688070753,3900835.4679775,3864077.24442818,36758.2235493254,0.778688,1156.382265,42506557.8053453,0
"LIC",2025,2.11,"Bipolar disorder chronic treatment",13389183.5616462,116929189.159601,103540005.597955,7.73904211053559,431545.789299029,408218.420266279,23327.3690327498,0.778688,1156.382265,26975355.8385821,0
"LIC",2025,2.12,"Schizophrenia chronic treatment",34955640.2381928,58077866.5574909,23122226.3192981,2.60101196304458,397699.060726556,383002.174881222,14696.8858453342,0.778688,1156.382265,16995218.142274,0
"LIC",2025,2.13,"Epilepsy acute and chronic treatment",7544289.70603577,26228545.5251256,18684255.8190899,1578.40527810269,1265643.33711312,1081199.43896051,184443.898152605,0.778688,1156.382265,213287652.711139,0
"LIC",2025,2.14,"Asthma/COPD chronic treatment",132376809.022052,245021176.885076,112644367.863025,1551.03377739306,1263236.10217298,1234522.48515664,28713.6170163397,0.778688,1156.382265,33203917.4816974,0
"LIC",2025,2.3,"Diabetes screening and treatment",602437820.504182,992017333.77397,389579513.269788,7007.75722158493,7332639.72465585,7230955.33995959,101684.384696264,0.778688,1156.382265,117586019.090198,0
"LIC",2025,2.4,"CVD primary prevention",171850701.800694,307379696.071517,135528994.270823,69590.5675356927,8662044.0790313,8222407.7425522,439636.336479101,0.778688,1156.382265,508387662.554005,0
"LIC",2025,2.5,"Aspirin for suspected ACS",74939.9321265708,129260.189427913,54320.2573013418,192.188203890888,4163372.807492,4162232.37516661,1140.43232539446,0.778688,1156.382265,1318775.71551886,0
"LIC",2025,2.6,"CVD secondary prevention",306849388.714237,511626304.996343,204776916.282106,41454.9974040221,5258440.33963755,4999081.43918326,259358.900454288,0.778688,1156.382265,299918032.755239,0
"LIC",2025,2.7,"Heart failure chronic treatment",31627252.6176694,58996379.1966561,27369126.5789867,31164.1482152658,5528570.83812119,5301470.30812562,227100.529995567,0.778688,1156.382265,262615025.258975,0
"LIC",2025,2.9,"Alcohol use screening/brief intervention",2560146.18386574,78404615.0794748,75844468.8956091,599.687584214553,1663807.99916242,1639110.99672813,24697.0024342858,0.778688,1156.382265,28559175.6136699,0
"LIC",2025,3.1,"Medical management of ACS",47030842.4801953,127649558.046722,80618715.5665271,20385.9975987249,4163372.807492,4033616.41415688,129756.393335123,0.778688,1156.382265,150047992.0231,0
"LIC",2025,3.2,"Heart failure acute treatment",87708205.198046,308501876.400984,220793671.202938,82224.8281284927,5528570.83812119,4948275.18659713,580295.651524056,0.778688,1156.382265,671043599.879038,0
"LIC",2025,3.3,"Cervical cancer screening and treatment",16875370.6436124,78356318.8433601,61480948.1997477,9124.4683832929,929063.228871686,813867.11486529,115196.114006396,0.778688,1156.382265,133210743.233915,0
"LIC",2025,3.4,"Asthma/COPD acute treatment",78761709.7992011,304177230.018079,225415520.218878,20402.4921923989,2680331.86483701,2437957.0579456,242374.806891412,0.778688,1156.382265,280277928.172029,0
"LIC",2025,3.6,"Management of bowel obstruction",1905771.44003066,42484146.6913217,40578375.2512911,4241.98469284246,639341.043085613,568104.725929793,71236.3171558201,0.778688,1156.382265,82376413.7829056,0
"LIC",2025,3.7,"Management of appendicitis",304916.36755327,6335525.4554073,6030609.08785403,704.406423655259,150514.478891222,132392.054777646,18122.424113576,0.778688,1156.382265,20956449.8437477,0
"LIC",2025,3.8,"Repair of hernias",8894951.78255877,213516129.355931,204621177.573373,3029.64350917817,729948.60908631,636494.782619006,93453.8264673039,0.778688,1156.382265,108068347.523178,0
"LIC",2025,3.9,"Repair of gastrointestinal perforations",42639.1281709116,960841.296157978,918202.167987066,175.476453926133,345163.692861026,342982.299104795,2181.39375623014,0.778688,1156.382265,2522525.05268627,0
"LIC",2025,4.1,NA,NA,NA,NA,1797.39857460041,4163372.807492,4149636.78613984,13736.0213521666,0.778688,1156.382265,15884091.4833067,0
"LIC",2025,4.2,"Management of acute ventilatory failure",3404380.92705273,14821214.5214825,11416833.5944298,218.552911652839,2680331.86483701,2678134.01013064,2197.8547063644,0.778688,1156.382265,2541560.20348657,0
"LIC",2025,4.3,"Treatment of early-stage breast cancer",139837.337396461,638183.355741907,498346.018345446,727.480920445515,1045363.16582834,1035468.93704995,9894.22877838903,0.778688,1156.382265,11441510.6851817,0
"LIC",2025,4.4,"Treatment of early-stage colorectal cancer",1172520.52464428,5613071.98360534,4440551.45896106,440.815453989949,398884.05869259,394554.350827711,4329.70786487842,0.778688,1156.382265,5006797.38757642,0
"LIC",2025,5.1,"Tobacco tax",90407.2803793268,266088.781236889,175681.500857563,7474.23247749075,15664288.3946433,15620126.235652,44162.1589913071,0.778688,1156.382265,51068337.4416578,459615.03697492
"LIC",2025,5.2,"Alcohol tax",249008.23820955,311218.425291185,62210.1870816352,474.039101150326,5553638.59743954,5550030.62297112,3607.97446841445,0.778688,1156.382265,4172197.68784727,37549.7791906255
"LIC",2025,5.3,"Tobacco policy",204339.395561158,313908.282238201,109568.886677043,1571.42675948184,15664288.3946433,15654027.8660007,10260.5286426006,0.778688,1156.382265,11865093.3518279,106785.840166451
"LIC",2025,5.4,"Alcohol policy",151723.89728706,237662.757994442,85938.8607073813,1540.8028855867,5553638.59743954,5541540.83027043,12097.7671691038,0.778688,1156.382265,13989643.4004509,125906.790604058
"LIC",2025,5.5,"Salt policy",0,5073371.84333146,5073371.84333146,3008.82560074754,8662044.0790313,8642598.9443969,19445.1346343957,0.778688,1156.382265,22486008.8317524,22486.0088317524
"LIC",2025,5.6,"Trans fat policy",779930.190155895,3029690.52229802,2249760.33214213,2017.01462900386,4163372.807492,4149437.75902477,13935.0484672295,0.778688,1156.382265,16114242.9094196,16114.2429094196
"LIC",2026,1.1,"IDU harm reduction measures",135487.406174005,5487250.09052277,5351762.68434877,426.031551383756,976815.407978364,936225.863821987,40589.5441563767,0.71639296,1246.705096,50603191.5440718,0
"LIC",2026,1.2,"Pulmonary rehabilitation",1018525.37654261,1872542.43047427,854017.053931663,948.28422862194,1327660.43371047,1319244.05842262,8416.37528785255,0.71639296,1246.705096,10492737.9612142,0
"LIC",2026,2.1,"Depression chronic treatment",11872373.8543183,25107863.0987899,13235489.2444716,388.749716555169,3651467.15541646,3600399.7326552,51067.4227612618,0.71639296,1246.705096,63666016.1960515,0
"LIC",2026,2.11,"Bipolar disorder chronic treatment",12704577.9659723,143699081.7379,130994503.771928,10.4045647518897,403958.405479912,374732.538491296,29225.8669886161,0.71639296,1246.705096,36436037.3097259,0
"LIC",2026,2.12,"Schizophrenia chronic treatment",33230696.9388064,62527572.4738767,29296875.5350703,3.49553178550605,372275.393285409,353893.832713897,18381.5605715127,0.71639296,1246.705096,22916385.2369376,0
"LIC",2026,2.13,"Epilepsy acute and chronic treatment",7115458.68931216,30617359.063512,23501900.3741999,2119.767050502,1177315.00249848,940338.401637162,236976.600861314,0.71639296,1246.705096,295439935.926558,0
"LIC",2026,2.14,"Asthma/COPD chronic treatment",124810049.742631,266406561.444425,141596511.701794,2046.23821801961,1165126.32520973,1125428.59941451,39697.7257952294,0.71639296,1246.705096,49491357.0485232,0
"LIC",2026,2.3,"Diabetes screening and treatment",575731520.727735,1071302512.33489,495570991.607154,9422.23058292484,6959218.56780501,6814626.97964874,144591.588156263,0.71639296,1246.705096,180263069.793147,0
"LIC",2026,2.4,"CVD primary prevention",163757051.167618,336147632.991403,172390581.823786,93348.534404379,8173423.29092311,7552261.95256724,621161.338355868,0.71639296,1246.705096,774405005.96644,0
"LIC",2026,2.5,"Aspirin for suspected ACS",71812.6140202621,141040.255317631,69227.6412973685,258.000485034448,3945553.88879472,3943936.52520754,1617.36358718363,0.71639296,1246.705096,2016375.42622667,0
"LIC",2026,2.6,"CVD secondary prevention",293751436.869577,555102897.252651,261351460.383074,55741.1108390795,4984351.42818455,4616499.70643346,367851.721751094,0.71639296,1246.705096,458602616.079463,0
"LIC",2026,2.7,"Heart failure chronic treatment",30286479.5036675,65260724.329616,34974244.8259485,41328.156473107,5231436.05183034,4913814.22240361,317621.829426736,0.71639296,1246.705096,395980753.347154,0
"LIC",2026,2.9,"Alcohol use screening/brief intervention",2431137.86160851,98461421.565807,96030283.7041985,807.856560614759,1559799.13916331,1524961.48903357,34837.6501297453,0.71639296,1246.705096,43432275.9494186,0
"LIC",2026,3.1,"Medical management of ACS",45225403.2747246,148223625.712238,102998222.437514,27373.8600733942,3945553.88879472,3761574.81943725,183979.06935747,0.71639296,1246.705096,229367643.325295,0
"LIC",2026,3.2,"Heart failure acute treatment",84295473.9685549,366862656.940683,282567182.972128,106626.168139403,5231436.05183034,4435391.3586877,796044.693142645,0.71639296,1246.705096,992432975.584692,0
"LIC",2026,3.3,"Cervical cancer screening and treatment",16030360.4685723,93875196.0737229,77844835.6051505,12522.8589995525,892252.451147326,726375.313593865,165877.137553461,0.71639296,1246.705096,206799872.697793,0
"LIC",2026,3.4,"Asthma/COPD acute treatment",74459067.9905403,358027288.371514,283568220.380974,26557.6876457736,2492786.75892021,2158800.91135589,333985.84756432,0.71639296,1246.705096,416381858.150316,0
"LIC",2026,3.6,"Management of bowel obstruction",1809552.17990548,53118094.1743032,51308541.9943977,5756.68996819644,605550.969140022,504345.180843947,101205.788296076,0.71639296,1246.705096,126173772.013415,0
"LIC",2026,3.7,"Management of appendicitis",287811.145922041,7879246.52548308,7591435.37956104,931.579523483264,138069.506642901,113606.526646755,24462.9799961466,0.71639296,1246.705096,30498121.824542,0
"LIC",2026,3.8,"Repair of hernias",8426397.3023917,266861000.07828,258434602.775888,4091.11571184645,689262.118657942,560791.103434981,128471.015222961,0.71639296,1246.705096,160165469.366758,0
"LIC",2026,3.9,"Repair of gastrointestinal perforations",40518.9267182208,1203251.68594684,1162732.75922862,232.148075081145,319390.143215245,316362.460997677,3027.68221756882,0.71639296,1246.705096,3774626.84971163,0
"LIC",2026,4.1,NA,NA,NA,NA,2410.04755081014,3945553.88879472,3926100.48066842,19453.4081263017,0.71639296,1246.705096,24252663.0456281,0
"LIC",2026,4.2,"Management of acute ventilatory failure",3226061.35588988,17622702.6814047,14396641.3255149,288.629248682359,2492786.75892021,2489712.62195635,3074.1369638584,0.71639296,1246.705096,3832542.21864423,0
"LIC",2026,4.3,"Treatment of early-stage breast cancer",133538.983193009,766384.164767651,632845.181574642,1015.49092284984,1017850.07428279,1003394.26437355,14455.8099092421,0.71639296,1246.705096,18022131.8806594,0
"LIC",2026,4.4,"Treatment of early-stage colorectal cancer",1117033.72977885,6747548.20393435,5630514.4741555,607.123783825514,386620.055733,380324.013905097,6296.04182790321,0.71639296,1246.705096,7849307.43147609,0
"LIC",2026,5.1,"Tobacco tax",85449.7202284386,306358.7833459,220909.063117461,11552.5472920046,14787735.9784123,14713316.0788786,74419.8995337813,0.71639296,1246.705096,92779667.9925731,835017.011933158
"LIC",2026,5.2,"Alcohol tax",235102.297854624,313255.192555544,78152.8947009197,640.699690590263,5268204.01531322,5263022.73389709,5181.2814161348,0.71639296,1246.705096,6459529.94530535,58135.7695077481
